step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,best_q,alt_q,delta
1,A2C,A2C_Q,SingleObjective_PolicyBased,3,6,6,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 6): +14.6535. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",34.331077575683594,19.677623748779297,14.653453826904297
2,A2C,A2C_Q,SingleObjective_PolicyBased,10,6,6,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 6): -52.6016. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-35.241539001464844,17.36001205444336,-52.6015510559082
3,A2C,A2C_Q,SingleObjective_PolicyBased,10,6,6,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 6): -53.2048. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-35.248817443847656,17.956016540527344,-53.204833984375
4,A2C,A2C_Q,SingleObjective_PolicyBased,5,6,6,0,"Action 5 was executed via stochastic sampling; the highest-logit action (action 6) was not chosen. TD-trained Q-value of action 5 vs highest-logit action (action 6): -69.0663. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-49.9501953125,19.11612892150879,-69.06632232666016
5,A2C,A2C_Q,SingleObjective_PolicyBased,6,6,2,1,"Action 6 was executed and matches the highest-logit action (action 6). TD-trained Q-value vs next-best action 2: -76.5811. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",18.28986930847168,94.87098693847656,-76.58111572265625
6,A2C,A2C_Q,SingleObjective_PolicyBased,9,0,0,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 0): +10.1248. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-11.794169425964355,-21.918964385986328,10.124794960021973
7,A2C,A2C_Q,SingleObjective_PolicyBased,9,0,0,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 0): +12.7240. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-9.686868667602539,-22.410890579223633,12.724021911621094
8,A2C,A2C_Q,SingleObjective_PolicyBased,4,0,0,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 0): +16.6548. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-5.741818904876709,-22.39662742614746,16.654808044433594
9,A2C,A2C_Q,SingleObjective_PolicyBased,1,0,0,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 0): +30.6378. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",8.453277587890625,-22.184473037719727,30.63775062561035
10,A2C,A2C_Q,SingleObjective_PolicyBased,1,0,0,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 0): +31.9462. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",9.87480354309082,-22.071409225463867,31.946212768554688
11,A2C,A2C_Q,SingleObjective_PolicyBased,9,0,0,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 0): +11.6971. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-10.291727066040039,-21.98883056640625,11.697103500366211
12,A2C,A2C_Q,SingleObjective_PolicyBased,11,0,0,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 0): +21.2525. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-0.5809630751609802,-21.83346176147461,21.252498626708984
13,A2C,A2C_Q,SingleObjective_PolicyBased,4,0,0,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 0): +15.6146. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-5.103267669677734,-20.717910766601562,15.614643096923828
14,A2C,A2C_Q,SingleObjective_PolicyBased,7,0,0,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 0): +9.6745. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-12.076227188110352,-21.75069808959961,9.674470901489258
15,A2C,A2C_Q,SingleObjective_PolicyBased,11,0,0,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 0) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 0): +22.4800. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-0.455593079328537,-22.93555450439453,22.479961395263672
16,A2C,A2C_Q,SingleObjective_PolicyBased,0,0,2,1,"Action 0 was executed and matches the highest-logit action (action 0). TD-trained Q-value vs next-best action 2: -117.1762. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits) to reflect A2C's stochastic policy intent; A2CQNet's greedy TD target estimates a policy different from A2C's own. Match rate is structurally low due to stochastic policy sampling. Reward decomposition not applicable.]",-22.50181770324707,94.67439270019531,-117.17620849609375
