step,leaf_id,abstract_state,env_action,silver_class,g_value
1,3,0,6,2,-38.1425209
2,6,1,10,5,14.76649284362793
3,6,1,6,5,-37.92649078
4,16,7,8,5,57.08435821533203
5,16,7,11,5,19.14202880859375
6,16,7,3,5,-16.72851563
7,16,7,2,5,-4.823992252
8,16,7,3,5,-15.37063217
9,16,7,11,5,17.93523406982422
10,9,2,9,7,61.82033157348633
11,16,7,2,5,-7.340756893
12,16,7,8,5,54.01694869995117
13,16,7,8,5,54.279815673828125
14,16,7,11,5,18.84520912
15,9,2,6,7,-38.46506882
16,16,7,11,5,18.666820526123047
17,16,7,0,5,-30.17442322
18,16,7,7,5,-45.46649551
19,16,7,8,5,53.58526992797852
20,16,7,7,5,-45.74263763
21,16,7,9,5,61.45088195800781
22,9,2,9,7,63.86468124389648
23,16,7,0,5,-29.99362183
24,16,7,0,5,-30.08240891
25,16,7,0,5,-30.20449257
26,16,7,11,5,18.313255310058597
27,16,7,4,5,-31.16290283
28,16,7,6,5,-40.20756149
29,16,7,5,5,43.922019958496094
30,16,7,3,5,-12.76664734
31,9,2,1,7,37.83450698852539
32,15,6,6,7,-38.51203537
33,15,6,1,7,39.42782974243164
34,11,3,2,7,-7.843868732
35,9,2,8,7,57.30231857299805
36,15,6,9,7,60.15856552124024
37,15,6,6,7,-39.62378311
38,16,7,1,5,39.468727111816406
39,11,3,10,7,14.138086318969728
40,6,1,7,5,-45.86739349
41,16,7,11,5,18.48132324
42,6,1,5,5,46.98392105102539
43,16,7,3,5,-16.16777611
44,16,7,5,5,45.53702926635742
45,16,7,11,5,18.004613876342773
46,16,7,4,5,-32.62991333
47,16,7,9,5,60.80327224731445
48,15,6,10,7,13.617176055908203
49,16,7,4,5,-33.75405121
50,16,7,4,5,-33.17296219
51,16,7,4,5,-33.40347672
52,16,7,7,5,-45.39863205
53,16,7,9,5,60.07471848
54,15,6,9,7,62.61429214477539
55,16,7,7,5,-44.43458557
56,16,7,1,5,38.1124382
57,16,7,0,5,-30.7536602
58,16,7,10,5,13.324729919433594
59,16,7,1,5,37.47660827636719
60,15,6,5,7,43.27462768554688
61,16,7,11,5,17.874927520751953
62,16,7,5,5,44.42789459228516
63,16,7,5,5,44.078399658203125
64,16,7,4,5,-32.19599915
65,16,7,4,5,-31.61668396
66,16,7,7,5,-45.25033188
67,16,7,9,5,60.00231552124024
68,16,7,9,5,61.69231033325195
69,16,7,5,5,44.116329193115234
70,16,7,7,5,-45.49666595
71,16,7,5,5,44.51899719238281
72,16,7,0,5,-29.63524246
73,16,7,5,5,45.55831146240234
74,15,6,7,7,-46.21221161
75,15,6,1,7,37.139556884765625
76,11,3,8,7,57.564971923828125
77,15,6,5,7,45.69176483154297
78,15,6,4,7,-32.34587097
79,15,6,4,7,-31.9033432
80,15,6,4,7,-32.49342346
81,13,4,5,4,45.53746414
82,15,6,8,7,56.66755294799805
83,9,2,9,7,60.09209060668945
84,15,6,9,7,62.82311630249024
85,16,7,10,5,13.314821243286133
86,16,7,5,5,42.11247253417969
87,16,7,1,5,41.44112396240234
88,16,7,1,5,39.87145614624024
89,16,7,7,5,-46.41107178
90,16,7,7,5,-46.90170288
91,16,7,6,5,-38.07535553
92,13,4,4,4,-32.83360291
93,13,4,9,4,60.02843475341797
94,15,6,1,7,38.01831055
95,16,7,5,5,45.60857772827149
96,16,7,1,5,38.64123535
97,15,6,6,7,-38.39035797
98,15,6,3,7,-14.19470024
99,13,4,10,4,15.286809921264648
100,15,6,5,7,43.84545516967773
101,16,7,7,5,-46.49281693
102,16,7,4,5,-32.53294373
103,16,7,2,5,-3.738820076
104,16,7,10,5,14.995439529418944
105,16,7,9,5,60.46770858764648
106,15,6,5,7,43.276634216308594
107,16,7,4,5,-30.95816422
108,16,7,3,5,-15.35352802
109,16,7,4,5,-30.89237976
110,16,7,4,5,-31.42599106
111,16,7,5,5,46.09373856
112,15,6,7,7,-45.27820206
113,15,6,5,7,45.523773193359375
114,15,6,5,7,45.11603546142578
115,15,6,7,7,-46.18847275
116,15,6,2,7,-5.578408718
117,15,6,5,7,45.33628463745117
118,15,6,5,7,45.11725234985352
119,15,6,4,7,-32.62094116
120,13,4,11,4,16.633203506469727
121,11,3,4,7,-31.47632217
122,16,7,6,5,-38.01569748
123,16,7,3,5,-12.52643967
124,15,6,1,7,38.45249938964844
125,15,6,7,7,-45.15192795
126,15,6,4,7,-31.19848442
127,15,6,10,7,15.271236419677734
128,15,6,1,7,37.76613235473633
129,15,6,5,7,43.478614807128906
130,16,7,4,5,-34.40261078
131,16,7,10,5,14.572826385498049
132,16,7,1,5,39.31612014770508
133,16,7,7,5,-46.16082001
134,16,7,1,5,37.931739807128906
135,16,7,4,5,-31.9161911
136,15,6,4,7,-31.78981781
137,15,6,8,7,56.36013412475586
138,13,4,1,4,36.40451049804688
139,15,6,8,7,57.36263656616211
140,15,6,2,7,-6.512878895
141,15,6,5,7,45.36510467529297
142,13,4,0,4,-30.86371231
143,15,6,11,7,17.499483108520508
144,15,6,1,7,35.60158157348633
145,16,7,4,5,-33.02242279
146,11,3,1,7,37.02233887
147,15,6,4,7,-32.39912415
148,11,3,0,7,-30.21622276
149,15,6,7,7,-45.29571915
150,11,3,7,7,-46.05616379
151,15,6,7,7,-46.13144302
152,9,2,7,7,-46.14657974
153,9,2,7,7,-45.93201828
154,15,6,7,7,-45.2904129
155,9,2,4,7,-31.3832283
156,15,6,8,7,55.81617355
157,15,6,1,7,37.72433853149414
158,9,2,7,7,-47.50088882
159,15,6,4,7,-31.75358963
160,15,6,4,7,-32.19496918
161,15,6,5,7,46.52652359008789
162,9,2,2,7,-6.378882885
163,9,2,1,7,38.57997131347656
164,15,6,9,7,59.18472290039063
165,13,4,2,4,-6.67670393
166,16,7,5,5,46.31854248046875
167,13,4,1,4,38.24586105
168,15,6,4,7,-33.20606995
169,13,4,4,4,-32.39665604
170,15,6,8,7,55.845359802246094
171,13,4,1,4,37.58231735229492
172,9,2,8,7,56.898536682128906
173,15,6,4,7,-31.5022831
174,15,6,1,7,37.274070739746094
175,15,6,0,7,-31.20409393
176,13,4,0,4,-30.93148041
177,15,6,4,7,-32.54478836
178,13,4,1,4,37.10943603515625
179,15,6,7,7,-46.25163269
180,15,6,4,7,-30.91733551
181,13,4,5,4,45.25761413574219
182,15,6,9,7,60.32062149047852
183,13,4,1,4,39.55588912963867
184,16,7,3,5,-11.38817406
185,16,7,2,5,-5.901900768
186,16,7,3,5,-13.4277153
187,16,7,3,5,-16.38863373
188,14,5,10,5,15.123088836669922
189,15,6,7,7,-45.39139557
190,16,7,3,5,-14.39088058
191,16,7,11,5,17.04605484008789
192,6,1,10,5,15.111990928649902
193,16,7,9,5,61.05281448364258
194,16,7,7,5,-46.59723663
195,16,7,4,5,-29.87235832
196,16,7,11,5,17.65523910522461
197,16,7,10,5,15.289031982421877
198,16,7,10,5,14.53321361541748
199,16,7,4,5,-32.34842682
200,9,2,3,7,-17.26448631
201,9,2,0,7,-30.15573692
202,9,2,5,7,46.006813049316406
203,15,6,4,7,-32.24411774
204,15,6,2,7,-3.653401852
205,11,3,7,7,-46.04639816
206,15,6,9,7,58.86239242553711
207,15,6,1,7,39.24388122558594
208,16,7,7,5,-47.05978012
209,16,7,1,5,38.43497848510742
210,16,7,3,5,-12.56059551
211,16,7,1,5,37.55461120605469
212,15,6,0,7,-30.25203896
213,15,6,4,7,-32.39336395
214,13,4,1,4,37.130130767822266
215,15,6,7,7,-45.99424744
216,15,6,7,7,-46.58442688
217,15,6,7,7,-46.69496536
218,9,2,5,7,45.75530624389648
219,9,2,9,7,58.86897659301758
220,15,6,7,7,-45.39588547
221,15,6,11,7,18.664430618286133
222,16,7,1,5,38.22836685180664
223,16,7,11,5,17.60690689086914
224,16,7,7,5,-45.44726944
225,16,7,7,5,-44.94931793
226,16,7,3,5,-15.36378193
227,16,7,7,5,-44.18381119
228,16,7,0,5,-30.67007637
229,15,6,7,7,-46.14694214
230,11,3,4,7,-30.84118843
231,11,3,4,7,-30.50321579
232,15,6,7,7,-45.81869125
233,11,3,10,7,15.89236545562744
234,15,6,7,7,-46.22439957
235,15,6,8,7,57.514007568359375
236,16,7,5,5,43.863189697265625
237,16,7,7,5,-45.71231461
238,16,7,4,5,-32.34101486
239,16,7,7,5,-47.66938782
240,16,7,1,5,37.763790130615234
241,13,4,7,4,-46.70327759
242,15,6,7,7,-45.62763214
243,14,5,10,5,15.111810684204102
244,15,6,3,7,-14.97513962
245,16,7,1,5,37.87606430053711
246,14,5,7,5,-47.06825638
247,15,6,7,7,-46.66485214
248,15,6,7,7,-46.0393486
249,15,6,8,7,55.93528366088867
250,14,5,7,5,-45.32480621
251,15,6,1,7,37.03961944580078
252,14,5,1,5,37.29109954833984
253,15,6,9,7,59.77453613
254,14,5,5,5,44.91718673706055
255,16,7,7,5,-45.12613297
256,16,7,9,5,59.302547454833984
257,16,7,1,5,41.91111373901367
258,14,5,7,5,-18.73152542
259,14,5,4,5,-9.891615868
260,15,6,10,7,27.63365364074707
261,15,6,1,7,47.33162689208984
262,15,6,5,7,43.06059265136719
263,16,7,4,5,17.322050094604492
264,16,7,7,5,36.15702438354492
265,16,7,4,5,31.168806076049805
266,16,7,1,5,39.366825103759766
267,16,7,7,5,45.53533172607422
268,9,2,8,7,13.801355361938477
269,15,6,2,7,25.70610809326172
270,15,6,3,7,40.63704299926758
271,15,6,10,7,42.139461517333984
272,15,6,1,7,31.040733337402344
273,16,7,0,5,43.40930938720703
274,16,7,10,5,41.70023727416992
275,9,2,0,7,50.462528228759766
276,16,7,4,5,52.90218734741211
277,9,2,7,7,43.59685897827149
278,9,2,7,7,42.46412277
279,15,6,7,7,42.37929153442383
280,15,6,7,7,42.38644027709961
281,9,2,1,7,52.935523986816406
282,15,6,0,7,59.62945175170898
283,9,2,8,7,53.214820861816406
284,15,6,5,7,56.134090423583984
285,15,6,10,7,51.26130294799805
286,9,2,10,7,51.540626525878906
287,16,7,7,5,46.01349258422852
288,16,7,1,5,55.26234817504883
289,16,7,1,5,52.76976776123047
290,15,6,5,7,52.76591110229492
291,9,2,11,7,54.1967659
292,15,6,0,7,40.08433914
293,16,7,7,5,47.75502395629883
294,9,2,0,7,35.497005462646484
295,9,2,11,7,50.5049057006836
296,15,6,7,7,46.91200256347656
297,16,7,1,5,34.26554107666016
298,16,7,7,5,43.46088790893555
299,16,7,5,5,37.28733444213867
300,16,7,4,5,41.05824661254883
301,16,7,10,5,35.51153564453125
302,15,6,7,7,36.66869735717773
303,16,7,7,5,34.29045867919922
304,15,6,3,7,37.08742141723633
305,9,2,7,7,31.55522727966309
306,9,2,4,7,35.25388717651367
307,15,6,9,7,27.72090721130371
308,15,6,7,7,28.470664978027344
309,16,7,3,5,31.470659255981445
310,16,7,3,5,28.14922332763672
311,15,6,7,7,24.652233123779297
312,9,2,7,7,23.14038658
313,14,5,10,5,26.77916145324707
314,15,6,3,7,23.25397109985352
315,16,7,10,5,23.54185485839844
316,16,7,7,5,21.124250411987305
317,16,7,0,5,14.64186954498291
318,16,7,1,5,18.0944938659668
319,16,7,4,5,17.379671096801758
320,15,6,6,7,24.771203994750977
321,15,6,7,7,15.252760887145996
322,15,6,7,7,12.647974014282228
323,14,5,1,5,9.90743923187256
324,15,6,10,7,11.665075302124023
325,14,5,9,5,9.371423721313477
326,16,7,11,5,13.086416244506836
327,16,7,7,5,7.608301162719727
328,16,7,1,5,2.992424964904785
329,16,7,7,5,3.532758474349976
330,16,7,0,5,-1.406765699
331,16,7,3,5,4.409577369689941
332,16,7,7,5,1.3114837408065796
333,15,6,9,7,-3.485022783
334,15,6,5,7,-0.236194476
335,16,7,7,5,-2.296729565
336,15,6,3,7,-1.196686625
337,11,3,6,7,0.9509890079498292
338,15,6,7,7,-5.20524931
339,15,6,11,7,-2.552793264
340,15,6,10,7,-9.662317276
341,15,6,4,7,-9.911597252
342,16,7,0,5,-17.29748726
343,16,7,7,5,-13.69748783
344,15,6,3,7,-13.17408371
345,15,6,3,7,-15.91131973
346,15,6,5,7,-17.55238724
347,15,6,3,7,-15.56534576
348,15,6,5,7,-20.55489159
349,15,6,1,7,-23.19257736
