step,leaf_id,abstract_state,env_action,silver_class,g_value
1,6,0,0,9,-49.561306
2,6,0,8,9,-7.037202835
3,6,0,7,9,-13.97268295
4,6,0,0,9,-48.31749725
5,6,0,10,9,36.08532333374024
6,6,0,2,9,-38.70390701
7,6,0,3,9,10.844533920288086
8,6,0,2,9,-39.40182877
9,6,0,4,9,27.623241424560547
10,6,0,2,9,-39.77627563
11,10,2,4,10,28.56925773620605
12,10,2,9,10,37.39110565185547
13,8,1,5,5,-10.76550865
14,8,1,11,5,-9.22297287
15,8,1,5,5,-11.44368458
16,8,1,3,5,13.262322425842283
17,8,1,9,5,37.20278549194336
18,8,1,9,5,36.751930236816406
19,8,1,10,5,34.27035140991211
20,44,20,10,7,35.53970718383789
21,44,20,0,7,-50.20293427
22,44,20,6,7,-24.09316635
23,28,12,3,10,11.51288604736328
24,28,12,2,10,-39.27613449
25,28,12,2,10,-39.5291481
26,44,20,9,7,36.47809219360352
27,28,12,9,10,35.84527587890625
28,44,20,2,7,-39.3668251
29,44,20,4,7,28.239952087402344
30,28,12,8,10,-7.041086197
31,8,1,1,5,16.733016967773438
32,28,12,7,10,-13.30118275
33,44,20,5,7,-10.34621429
34,28,12,11,10,-12.14993572
35,11,3,8,4,-7.278421879
36,11,3,2,4,-41.30888367
37,10,2,10,10,36.54220962524414
38,8,1,9,5,36.88210678100586
39,6,0,2,9,-40.03059769
40,6,0,6,9,-24.78330612
41,6,0,9,9,37.66777038574219
42,6,0,2,9,-39.91223145
43,8,1,2,5,-41.28084564
44,8,1,1,5,15.533330917358398
45,8,1,0,5,-49.75021362
46,8,1,5,5,-10.43682098
47,8,1,0,5,-49.64915085
48,8,1,6,5,-23.93970871
49,11,3,4,4,28.521764755249023
50,10,2,2,10,-39.79959106
51,10,2,4,10,28.684255599975582
52,28,12,0,10,-49.66919327
53,28,12,1,10,16.003793716430664
54,28,12,5,10,-10.47425365
55,28,12,0,10,-49.60123444
56,46,21,8,4,-6.978915215
57,28,12,3,10,9.76313591
58,28,12,11,10,-10.36996651
59,11,3,2,4,-42.38973236
60,11,3,7,4,-15.01136112
61,11,3,6,4,-25.86092949
62,11,3,11,4,-12.05563068
63,11,3,7,4,-14.34541035
64,11,3,10,4,36.91385269165039
65,11,3,5,4,-10.54256248
66,11,3,2,4,-39.91817856
67,10,2,2,10,-40.72819138
68,11,3,10,4,35.44590377807617
69,10,2,2,10,-39.47729492
70,11,3,8,4,-6.851716518
71,10,2,6,10,-24.72763443
72,10,2,3,10,10.473586082458496
73,10,2,4,10,29.27519989013672
74,10,2,9,10,37.10241699
75,8,1,5,5,-10.65859413
76,44,20,10,7,33.493160247802734
77,44,20,11,7,-10.01361561
78,8,1,3,5,11.605119705200195
79,8,1,6,5,-25.16180801
80,8,1,6,5,-23.8070488
81,8,1,6,5,-23.79986382
82,10,2,0,10,-49.54691696
83,10,2,4,10,28.88667678833008
84,10,2,6,10,-25.01736259
85,10,2,11,10,-12.77557755
86,10,2,2,10,-42.69738007
87,11,3,7,4,-14.44814014
88,11,3,9,4,35.56774139404297
89,8,1,11,5,-7.267450333
90,8,1,2,5,-40.09070206
91,8,1,8,5,-10.66620064
92,11,3,3,4,13.497711181640623
93,11,3,5,4,-11.16273308
94,11,3,0,4,-49.30054092
95,11,3,8,4,-6.892148495
96,11,3,0,4,-48.96682739
97,11,3,4,4,28.05780601501465
98,10,2,5,10,-9.769423485
99,10,2,8,10,-6.540215015
100,11,3,5,4,-10.52214622
