step,leaf_id,abstract_state,env_action,silver_class,g_value
1,4,0,7,5,14.711870217323304
2,6,2,8,3,-15.81763389112738
3,6,2,7,3,14.800794911384582
4,23,7,11,8,-5.433876131729297
5,6,2,3,3,29.12067117802368
6,28,9,1,3,-10.270143844285254
7,28,9,10,3,-2.0664047718000003
8,28,9,5,3,-18.403709433400003
9,28,9,2,3,13.946761702484867
10,28,9,4,3,-15.485256387186036
11,28,9,1,3,-11.219723389660595
12,28,9,0,3,31.760338783166603
13,30,11,1,3,-10.718606615268948
14,30,11,6,3,0.3239841460780273
15,5,1,4,8,-15.43945979773755
16,23,7,2,8,13.482863616714845
17,15,5,0,0,31.7794501542918
18,15,5,7,0,14.639922523498537
19,5,1,3,8,29.00957818026836
20,23,7,6,8,1.1012532220835451
21,23,7,9,8,11.965084099769593
22,35,14,3,8,27.58307030200958
23,41,19,8,1,-15.40294800867874
24,41,19,10,1,-1.280080366139722
25,30,11,11,3,-5.4141037925060065
26,32,12,0,5,30.738958215837503
27,32,12,8,5,-15.77026008404648
28,6,2,9,3,11.66890363693237
29,6,2,3,3,27.155871653556826
30,30,11,1,3,-10.176209427341993
31,28,9,2,3,12.996031381510743
32,28,9,1,3,-10.314260602565918
33,28,9,11,3,-6.16004657848955
34,28,9,11,3,-5.651290844647631
35,23,7,8,8,-15.65650746084514
36,28,9,6,3,0.4084462403533329
37,28,9,8,3,-15.662842952521517
38,28,9,3,3,28.703168152024535
39,30,11,10,3,-1.7928907868526127
40,28,9,11,3,-4.91515941633645
41,28,9,10,3,-1.875764560650708
42,28,9,11,3,-5.3548202977921635
43,30,11,0,3,30.760536575457422
44,30,11,7,3,14.726239657402036
45,35,14,3,8,29.012663555145267
46,5,1,9,8,11.74025001525879
47,23,7,5,8,-18.1816014767
48,30,11,1,3,-10.667124127400001
49,28,9,5,3,-18.142674779300002
50,28,9,8,3,-15.76546408502019
51,28,9,4,3,-15.028498649999511
52,28,9,7,3,14.167420244216919
53,5,1,10,8,-1.6794802189193112
54,23,7,10,8,-1.5140574929513912
55,28,9,3,3,29.022987985610964
56,28,9,3,3,28.84041843476807
57,28,9,8,3,-15.487179386400912
58,28,9,0,3,30.712490224716017
59,5,1,2,8,13.435630801128909
60,40,18,7,9,14.130177426338197
61,5,1,7,8,14.457099461555481
62,5,1,4,8,-15.306587268581666
63,40,18,1,9,-10.690936279819727
64,40,18,5,9,-18.2922121981
65,5,1,9,8,11.924851894378662
66,35,14,3,8,28.30254464149475
67,35,14,11,8,-5.115120983248144
68,23,7,8,8,-15.554721974439822
69,30,11,8,3,-15.523940610541873
70,30,11,1,3,-10.678888224566307
71,30,11,4,3,-15.386502931871338
72,23,7,2,8,13.030744553554197
73,5,1,9,8,12.400588572025299
74,5,1,11,8,-5.870376871958838
75,30,11,8,3,-15.413840986372378
76,30,11,10,3,-2.0414600850351805
77,28,9,2,3,13.528460694833008
78,32,12,2,5,13.458250616007813
79,28,9,8,3,-15.317424011625
80,28,9,3,3,28.67029190048565
81,23,7,11,8,-5.188177491384327
82,5,1,8,8,-15.401515029474185
83,28,9,0,3,29.81154036644805
84,30,11,0,3,30.32350049021094
85,30,11,3,3,29.107667922973633
86,30,11,3,3,28.85997633934021
87,30,11,10,3,-1.9739047526392333
88,30,11,3,3,29.064533042407717
89,30,11,4,3,-15.304238318529787
90,30,11,1,3,-10.624255561338476
91,28,9,0,3,32.05013630403282
92,28,9,11,3,-5.460662269227343
93,23,7,6,8,0.8139700890576176
94,30,11,11,3,-5.527382897897633
95,30,11,4,3,-15.360040998100004
96,5,1,7,8,14.11188714504242
97,35,14,6,8,0.4341067314757323
98,35,14,8,8,-15.76200720556511
99,5,1,0,8,30.80980877874238
100,5,1,0,8,30.8917838563961
101,40,18,7,9,12.883202552795412
102,40,18,9,9,17.885778522491456
103,5,1,9,8,19.565714740730176
104,35,14,9,8,21.396312618255614
105,35,14,9,8,20.421601009368896
106,35,14,9,8,17.32690496444702
107,35,14,8,8,19.01645493508623
108,36,15,5,11,15.44192571640015
109,6,2,5,3,16.648723125457764
110,6,2,5,3,15.785554790496828
111,43,20,5,5,13.966312789916993
112,6,2,5,3,11.454025745391846
113,45,21,5,6,9.164157795906066
114,6,2,5,3,6.264756575885035
115,6,2,5,3,3.10305221244629
116,43,20,5,5,0.1774009467366212
117,6,2,5,3,-3.2408484458999998
118,47,22,7,3,-5.6912414203
119,6,2,7,3,-5.8986144781
120,6,2,7,3,-6.045715069700001
121,45,21,11,6,-4.895748054300001
122,6,2,11,3,-5.426020948500001
123,49,23,11,6,-5.428939996285947
124,49,23,11,6,-5.430487205057747
125,53,25,11,9,-5.091275826067371
126,6,2,8,3,-5.701148821518934
127,53,25,8,9,-4.832870274078471
128,61,30,0,2,0.8422326981219821
129,53,25,0,9,1.5700392126221865
130,53,25,0,9,2.252144050618726
131,53,25,0,9,2.9427729604801023
132,6,2,0,3,2.855201053558447
133,6,2,9,3,0.4468106985062501
134,6,2,9,3,1.2217367768594727
135,49,23,9,6,2.700062614800001
136,53,25,9,9,3.388707566220715
137,53,25,9,9,4.4503753185716075
138,53,25,9,9,4.925746512304955
139,53,25,9,9,4.744585394798268
140,53,25,4,9,3.3721076249611572
141,53,25,4,9,3.5365004419295896
142,53,25,4,9,3.4232305527749998
143,6,2,4,3,2.8441504715676755
144,53,25,1,9,2.3273975729687986
145,6,2,1,3,1.88515439043916
146,53,25,1,9,1.7064203501638189
147,6,2,3,3,3.8130384682515506
148,6,2,3,3,4.04966049190249
