step,leaf_id,abstract_state,env_action,silver_class,g_value
1,0,0,2,8,-3.809261251753345
2,0,0,5,8,-2.491810129779785
3,0,0,11,8,4.033698534984562
4,0,0,1,8,6.765989649295808
5,0,0,5,8,-2.3658971797280284
6,0,0,0,8,6.861683322527345
7,0,0,8,8,-20.05893588288806
8,0,0,11,8,4.165618943924927
9,0,0,11,8,4.048854541303955
10,0,0,8,8,-20.07737755791858
11,0,0,0,8,7.1443539367812505
12,0,0,1,8,6.596907234191895
13,0,0,5,8,-2.4979916549130863
14,0,0,8,8,-20.0061923496
15,0,0,5,8,-2.3772371260917975
16,0,0,1,8,6.560416281223298
17,0,0,10,8,-1.6190219157791141
18,0,0,9,8,7.349693155408447
19,0,0,9,8,7.259952735900878
20,0,0,5,8,-2.626089572952149
21,0,0,11,8,4.074732066397585
22,0,0,2,8,-3.766631198891187
23,0,0,1,8,6.354163646697998
24,0,0,4,8,-4.288952447060449
25,0,0,1,8,6.424461042881012
26,0,0,2,8,-3.731360696679444
27,0,0,7,8,13.965406203262305
28,0,0,5,8,-2.494753549714357
29,0,0,8,8,-19.82248320634851
30,0,0,8,8,-19.808196160809814
31,0,0,9,8,7.294452857971191
32,0,0,0,8,7.204651928039843
33,0,0,1,8,6.771842801570894
34,0,0,8,8,-19.979782107205565
35,0,0,9,8,7.127571392059325
36,0,0,11,8,4.275068761057863
37,0,0,1,8,6.629844796657562
38,0,0,8,8,-19.941174937592407
39,0,0,9,8,7.2749917030334466
40,0,0,8,8,-19.9686826706
41,0,0,10,8,-1.467177677176026
42,0,0,2,8,-3.5798470256297854
43,0,0,7,8,14.019749736752637
44,0,0,8,8,-20.118941736356568
45,0,0,5,8,-2.4182354959199213
46,0,0,9,8,7.238288115777587
47,0,0,9,8,7.1004753589630125
48,0,0,8,8,-20.1603848445
49,0,0,11,8,4.4571612828148215
50,0,0,10,8,-1.677778173869934
51,0,0,9,8,7.182058191299438
52,0,0,5,8,-2.287096309085449
53,0,0,8,8,-19.6585418678291
54,0,0,4,8,-4.5038628332830095
55,0,0,0,8,7.316023397297657
56,0,0,8,8,-20.00308565956482
57,0,0,7,8,13.780373525543848
58,0,0,9,8,7.205194997787475
59,0,0,2,8,-3.5819908382953862
60,0,0,8,8,-20.0990450872
61,0,0,3,8,-2.896665144147656
62,0,0,7,8,13.526183438382422
63,0,0,0,8,7.261249876030471
64,0,0,0,8,7.193687819703907
65,0,0,0,8,7.1980958936562525
66,0,0,4,8,-4.398113966969921
67,0,0,1,8,6.456908106803895
68,0,0,8,8,-19.957583617635745
69,0,0,3,8,-2.3775158881285643
70,0,0,5,8,-2.511348437314452
71,0,0,8,8,-19.83608059754114
72,0,0,6,8,6.1867067336496095
73,0,0,9,8,7.0456657886505125
74,0,0,8,8,-19.886554291018435
75,0,0,0,8,7.155699252108596
76,0,0,3,8,-2.1478165148873534
77,0,0,7,8,13.759477710724315
78,0,0,4,8,-4.508214236979006
79,0,0,7,8,13.722700953487207
80,0,0,8,8,-19.81421990465979
81,0,0,6,8,6.042686844924608
82,0,0,0,8,7.158936835651562
83,0,0,3,8,-2.1702787399229004
84,0,0,10,8,-1.6927804948375982
85,0,0,6,8,6.26080121986953
86,0,0,3,8,-2.0641015530295412
87,0,0,0,8,7.104322432144533
88,0,0,0,8,7.139930677689845
89,0,0,8,8,-19.841049527292846
90,0,0,11,8,3.943638085346315
91,0,0,2,8,-3.628872823920313
92,0,0,11,8,3.8029528133316655
93,0,0,8,8,-19.801547480121705
94,0,0,1,8,6.539917767076202
95,0,0,11,8,4.250552558931154
96,0,0,9,8,7.476599216461182
97,0,0,9,8,7.317725372314452
98,0,0,8,8,-19.97243008807727
99,0,0,9,8,7.260572099685669
100,0,0,9,8,7.419705867767335
101,0,0,3,8,-2.498515844565185
102,0,0,9,8,7.244217825049658
103,0,0,8,8,-19.904367208628294
104,0,0,6,8,6.183182716496875
105,0,0,3,8,-2.0380718230647457
106,0,0,8,8,-19.860226535329346
107,0,0,9,8,7.1622484684480465
108,0,0,2,8,-3.5315224634000004
109,0,0,11,8,4.697652053941408
110,0,0,7,8,13.99172554008467
111,0,0,3,8,-2.3058670041535643
112,0,0,9,8,7.112852525711059
113,0,0,8,8,-20.10354642898218
114,0,0,5,8,-2.093014909706543
115,0,0,7,8,14.12742006782881
116,0,0,7,8,14.109593963495605
117,0,0,9,8,7.266931772232056
118,0,0,11,8,4.605504179652711
119,0,0,10,8,-1.9124628306251588
120,0,0,8,8,-19.650681781
121,0,0,0,8,6.9439333920789075
122,0,0,3,8,-2.2680079938221924
123,0,0,1,8,6.665437531471253
124,0,0,8,8,-19.965730524820923
125,0,0,3,8,-2.4034331799573727
126,0,0,10,8,-1.5878571496477056
127,0,0,4,8,-4.812391519348243
128,0,0,8,8,-19.610339071905518
129,0,0,6,8,6.069229698072266
130,0,0,8,8,-19.61966986557654
131,0,0,11,8,4.12859897687793
132,0,0,8,8,-19.886656473898196
133,0,0,7,8,14.63644058692207
134,0,0,9,8,7.2291943550109865
135,0,0,1,8,7.051057922840118
136,0,0,2,8,-3.332286727362427
137,0,0,1,8,6.8612001657485955
138,0,0,2,8,-3.4713500276045903
139,0,0,7,8,14.021252512947461
140,0,0,0,8,7.296399689089845
141,0,0,5,8,-2.3239452379814445
142,0,0,9,8,7.3398902893066404
143,0,0,9,8,7.121899223327637
144,0,0,11,8,4.850131964213318
145,0,0,7,8,14.205610942809086
146,0,0,7,8,14.124406290186526
147,0,0,5,8,-2.368304156233398
148,0,0,1,8,6.491227698326112
149,0,0,3,8,-2.0589447976979494
150,0,0,11,8,4.111142182802793
151,0,0,1,8,6.69666714668274
152,0,0,7,8,14.122304151663185
153,0,0,7,8,13.828063607333984
154,0,0,5,8,-2.410358716017578
155,0,0,10,8,-1.7243083479509154
156,0,0,7,8,13.78965349184746
157,0,0,5,8,-2.6972382556684558
158,0,0,3,8,-1.672061634232031
159,0,0,6,8,6.0962391851980495
160,0,0,10,8,-1.791978024243042
161,0,0,7,8,13.88361270423584
162,0,0,1,8,6.479387509822845
163,0,0,0,8,7.158875656373438
164,0,0,5,8,-2.512973119925782
165,0,0,11,8,3.9565183407890006
166,0,0,11,8,4.022415805746767
167,0,0,11,8,4.030463099977721
168,0,0,8,8,-19.80532565164734
169,0,0,0,8,6.5098687153000006
170,0,0,10,8,-1.7053810117958983
171,0,0,5,8,-2.5009986885468756
172,0,0,8,8,-19.69719328799109
173,0,0,8,8,-19.63700294587305
174,0,0,1,8,6.558534002304077
175,0,0,7,8,13.812025856935742
176,0,0,10,8,-1.6136159421120853
177,0,0,10,8,-1.7745477422719125
178,0,0,9,8,7.3685907363891605
179,0,0,8,8,-20.005566884100002
180,0,0,3,8,-2.5033381459456785
181,0,0,0,8,7.197059774262501
182,0,0,9,8,7.020124340057373
183,0,0,5,8,-2.199785806743164
184,0,0,8,8,-19.981672001610107
185,0,0,7,8,13.877003622126464
186,0,0,1,8,6.702733635902405
187,0,0,9,8,6.844198656082153
188,0,0,7,8,13.916273713044239
189,0,0,9,8,7.122127914385547
190,0,0,4,8,-4.152139341184864
191,0,0,7,8,13.561122536610643
192,0,0,1,8,6.732502722740173
193,0,0,9,8,6.943403673171997
194,0,0,3,8,-2.282053279922998
195,0,0,2,8,-3.672767068625415
196,0,0,8,8,-20.053291752113402
197,0,0,9,8,6.874907637601196
198,0,0,0,8,7.206952977774219
199,0,0,3,8,-2.7065402029132812
200,0,0,8,8,-20.139426613852542
201,0,0,3,8,-2.4628187178893066
202,0,0,8,8,-20.031279564264164
203,0,0,11,8,4.42270171610663
204,0,0,0,8,6.9238682975085935
205,0,0,11,8,4.075153637537502
206,0,0,3,8,-2.4619374276361814
207,0,0,7,8,14.179659366600779
208,0,0,8,8,-19.745199489481692
209,0,0,11,8,3.8747684472578117
210,0,0,7,8,13.75785694126797
211,0,0,6,8,6.268933963727735
212,0,0,11,8,3.955927110966371
213,0,0,7,8,14.842903864376174
214,0,0,6,8,5.830675982799999
215,0,0,3,8,-2.4498067377078123
216,0,0,7,8,14.044457841007716
217,0,0,7,8,13.982096147466699
218,0,0,3,8,-2.130840921478076
219,0,0,0,8,7.102590252133593
220,0,0,7,8,13.767461609767775
221,0,0,10,8,-1.563482832901795
222,0,0,0,8,7.239639663572657
223,0,0,7,8,13.60265111918662
224,0,0,8,8,-19.310597373267946
225,0,0,7,8,13.772074556366894
226,0,0,7,8,13.670843410582325
227,0,0,1,8,6.298806667327881
228,0,0,6,8,6.021839523118359
229,0,0,0,8,7.083483601421095
230,0,0,8,8,-19.782452202266114
231,0,0,11,8,3.890043808270449
232,0,0,2,8,-3.6793294666098877
233,0,0,9,8,7.118683958053588
234,0,0,11,8,4.327823018595582
235,0,0,9,8,7.255139970779419
236,0,0,11,8,3.9909885400371112
237,0,0,8,8,-19.994403887611938
238,0,0,2,8,-3.627176283817018
239,0,0,2,8,-3.4994307028431395
240,0,0,7,8,13.951427554935256
241,0,0,9,8,6.933155250549317
242,0,0,1,8,6.615105593204499
243,0,0,8,8,-20.285571481158694
244,0,0,6,8,6.148104095427344
245,0,0,11,8,4.558048439056641
246,0,0,4,8,-4.32262487249746
247,0,0,0,8,6.6118059626511725
248,0,0,1,8,6.6806990981102
249,0,0,11,8,4.30887467824701
250,0,0,2,8,-3.662057901869727
251,0,0,7,8,13.918664646294726
252,0,0,9,8,6.799593353271485
253,0,0,2,8,-3.425885094516969
254,0,0,4,8,-4.400753094357033
255,0,0,1,8,6.427073752880096
256,0,0,2,8,-3.4604525565999995
257,0,0,0,8,7.497666750851174
258,0,0,10,8,-1.4790062905646975
259,0,0,1,8,8.971372188794923
260,0,0,6,8,7.04998435989668
261,0,0,8,8,-8.924397373075683
262,0,0,8,8,-7.104584979342041
263,0,0,1,8,10.382098913165576
264,0,0,0,8,8.062816238784178
265,0,0,2,8,3.2715765955141114
266,0,0,0,8,7.799212072898436
267,0,0,11,8,3.002065371890624
268,0,0,8,8,1.94377546315669
269,0,0,11,8,2.955157423182813
270,0,0,11,8,2.847531318547657
271,0,0,4,8,-5.10666169998877
272,0,0,7,8,5.17209587128369
273,0,0,10,8,0.8657815236000004
274,0,0,11,8,3.3259255767537104
275,0,0,4,8,-2.3120325095994634
276,0,0,7,8,1.6533467292751225
277,0,0,7,8,1.204120111519873
278,0,0,6,8,5.917447757720947
279,0,0,6,8,5.276685523986817
280,0,0,10,8,0.8267458797939637
281,0,0,9,8,1.0432421207618405
282,0,0,1,8,1.2468483924437253
283,0,0,6,8,5.064133834838867
284,0,0,5,8,2.286293959495228
285,0,0,6,8,4.61190233216416
286,0,0,11,8,2.654343223610632
287,0,0,4,8,1.849467873573303
288,0,0,1,8,0.9504814384986087
289,0,0,5,8,2.8356613875742793
290,0,0,3,8,3.0135575056060304
291,0,0,6,8,4.274504923820496
292,0,0,7,8,0.7900278570104979
293,0,0,10,8,2.2470671177532955
294,0,0,7,8,1.41421875943667
295,0,0,5,8,2.9540532112154176
296,0,0,0,8,0.19159581648577872
297,0,0,9,8,1.1457347987692017
298,0,0,4,8,1.9288658872229738
299,0,0,8,8,-0.3327491998049805
300,0,0,1,8,1.8690431118011475
301,0,0,6,8,2.103388989000293
302,0,0,10,8,2.0873198032955567
303,0,0,11,8,-0.41935620317861333
304,0,0,9,8,1.3862135171685182
305,0,0,5,8,2.331991290919214
306,0,0,7,8,2.2448953150647464
307,0,0,0,8,-1.1841776751698974
308,0,0,0,8,-1.3247817515965818
309,0,0,9,8,0.7714964327682621
310,0,0,8,8,-1.3832075833528683
311,0,0,11,8,-0.37004873746778566
312,0,0,6,8,-1.3602293177596854
313,0,0,9,8,0.4574693322846013
314,0,0,6,8,-1.3206572293647094
315,0,0,5,8,0.296123838507959
316,0,0,9,8,-0.29196140178725294
317,0,0,8,8,-2.4647340303660887
318,0,0,11,8,-0.8754534482158325
319,0,0,1,8,-0.034657064227075374
320,0,0,8,8,-2.8629689383967776
321,0,0,6,8,-1.7393142433311817
322,0,0,8,8,-2.911573029273437
323,0,0,8,8,-3.0746326260043486
324,0,0,4,8,-1.0472844121980955
325,0,0,11,8,-0.9247185243482665
326,0,0,7,8,-1.9380271197603145
327,0,0,11,8,-1.0788546567365724
328,0,0,2,8,-0.9224119245286624
329,0,0,4,8,-1.7524904728
330,0,0,11,8,-1.347051764052368
331,0,0,0,8,-5.641946014575377
332,0,0,7,8,-2.7219925397515867
333,0,0,6,8,-3.6848440198186103
334,0,0,7,8,-3.2460255860139773
335,0,0,0,8,-6.107021177999999
336,0,0,1,8,-1.334331487785339
337,0,0,0,8,-6.5174129588000005
338,0,0,8,8,-4.201187442486633
339,0,0,11,8,-3.9199346785537723
340,0,0,6,8,-4.290914379582123
341,0,0,3,8,-3.187770509502686
342,0,0,1,8,-2.385767746625
343,0,0,6,8,-4.929062021982757
344,0,0,5,8,-4.192233539634216
345,0,0,2,8,-4.465029371462982
346,0,0,3,8,-4.162250327526366
347,0,0,8,8,-5.673022628845642
348,0,0,9,8,-6.367457796540552
349,0,0,8,8,-6.1566705479364625
350,0,0,9,8,-7.021376054142596
351,0,0,2,8,-5.893629716698584
352,0,0,10,8,-6.143305993380433
353,0,0,10,8,-6.613274026416565
354,0,0,7,8,-8.106612979400873
355,0,0,8,8,-8.02349180474742
356,0,0,8,8,-8.404428969997833
357,0,0,0,8,-11.00896409676513
358,0,0,6,8,-9.164654590171583
359,0,0,4,8,-7.335836314730225
360,0,0,10,8,-9.884928656805053
361,0,0,10,8,-10.416073084117771
362,0,0,8,8,-11.146603125083882
363,0,0,8,8,-11.708765143299999
364,0,0,4,8,-9.988051279094643
365,0,0,2,8,-12.0788155973
366,0,0,8,8,-13.5236100681
367,0,0,4,8,-11.635839749599999
368,0,0,8,8,-14.757958483000001
369,0,0,6,8,-14.3113966003
370,0,0,1,8,-12.8032842868
371,0,0,11,8,-15.6770579451
372,0,0,10,8,-16.5318483584
373,0,0,4,8,-15.291043590200001
374,0,0,1,8,-15.7107659814
375,0,0,7,8,-18.5262719143
376,0,0,8,8,-20.172686864
377,0,0,6,8,-19.7096597662
378,0,0,6,8,-20.829477308699996
379,0,0,9,8,-22.4321519387
380,0,0,7,8,-23.1421531668
381,0,0,11,8,-24.5262047783
382,0,0,7,8,-24.760551501000002
383,0,0,7,8,-25.9291527753
384,0,0,5,8,-26.264772032899998
385,0,0,8,8,-29.8769516928
386,0,0,7,8,-30.3930795664
387,0,0,1,8,-30.6222738274
388,0,0,1,8,-32.211347483400004
389,0,0,8,8,-36.44506588
390,0,0,5,8,-36.094698144
391,0,0,9,8,-39.46318493
392,0,0,2,8,-41.189432337
393,0,0,2,8,-43.080061731
394,0,0,10,8,-45.40525664100001
395,0,0,7,8,-48.403892132
396,0,0,3,8,-48.697259331
397,0,0,7,8,-52.781217771
398,0,0,6,8,-55.514769352
399,0,0,8,8,-58.762866412
400,0,0,8,8,-61.744421577
401,0,0,2,8,-64.158295055
402,0,0,7,8,-66.492063918
403,0,0,6,8,-68.559586334
404,0,0,2,8,-72.99055671299999
405,0,0,7,8,-75.27003593799999
406,0,0,0,8,-80.50177421299999
407,0,0,8,8,-81.90249137699999
408,0,0,2,8,-84.38993837
409,0,0,11,8,-88.21049424399999
410,0,0,8,8,-91.86293373999999
411,0,0,7,8,-94.21932945699999
412,0,0,3,8,-97.278042235
413,0,0,3,8,-101.02901838999999
414,0,0,4,8,-105.352301781
415,0,0,1,8,-108.40065270199999
416,0,0,3,8,-113.07519799399998
417,0,0,9,8,-118.919462192
418,0,0,10,8,-122.15558127700001
419,0,0,1,8,-125.08330038900002
420,0,0,10,8,-131.478742585
421,0,0,4,8,-136.131656633
422,0,0,5,8,-139.674765013
423,0,0,7,8,-144.88621370099997
424,0,0,0,8,-151.067047884
425,0,0,9,8,-154.37052688
426,0,0,2,8,-159.595974733
427,0,0,5,8,-162.29048156300001
428,0,0,8,8,-167.743456277
429,0,0,7,8,-170.863555897
430,0,0,0,8,-176.392730711
431,0,0,10,8,-177.69594192
432,0,0,11,8,-182.82162092699997
433,0,0,10,8,-187.36481779599998
434,0,0,0,8,-193.118264776
435,0,0,7,8,-194.07286299799998
436,0,0,3,8,-196.345026382
437,0,0,9,8,-200.419336705
438,0,0,9,8,-202.70328825500002
439,0,0,5,8,-202.556521599
440,0,0,6,8,-206.12168578
441,0,0,8,8,-205.10032731399997
442,0,0,6,8,-208.04157182299997
443,0,0,8,8,-207.879518137
444,0,0,3,8,-206.01739120399998
445,0,0,4,8,-207.223268878
446,0,0,1,8,-205.785925306
447,0,0,0,8,-207.86070783899999
448,0,0,6,8,-205.131974806
449,0,0,11,8,-202.62198485500002
450,0,0,3,8,-200.0313606216
451,0,0,8,8,-199.06291293639998
452,0,0,1,8,-196.39792405639997
453,0,0,3,8,-194.034659017
454,0,0,10,8,-190.88797694019848
455,0,0,11,8,-191.94850693284863
456,0,0,8,8,-190.1715818432837
457,0,0,10,8,-187.6586933090166
458,0,0,0,8,-186.76542624946194
459,0,0,8,8,-183.04894751092968
460,0,0,1,8,-179.90841980910352
461,0,0,0,8,-180.64389761939452
462,0,0,8,8,-177.98612214222265
463,0,0,8,8,-175.90117874077538
464,0,0,9,8,-174.84285661023435
465,0,0,6,8,-173.58630410171776
466,0,0,1,8,-172.88894443044236
467,0,0,0,8,-174.59030798962795
468,0,0,10,8,-173.68480471265232
469,0,0,11,8,-172.1447931279976
470,0,0,8,8,-171.64407120130662
471,0,0,9,8,-171.66940274319998
472,0,0,8,8,-171.86812277019996
473,0,0,11,8,-171.68420638479998
474,0,0,7,8,-172.3868869674
475,0,0,1,8,-170.74109097299996
476,0,0,4,8,-171.145495795
477,0,0,2,8,-172.644912734
478,0,0,6,8,-172.36583994699998
479,0,0,7,8,-172.980195057
480,0,0,7,8,-174.41697882399998
481,0,0,6,8,-175.17647343200002
482,0,0,7,8,-176.662706184
483,0,0,7,8,-177.721205697
484,0,0,1,8,-176.626069841
485,0,0,5,8,-178.554873077
486,0,0,10,8,-180.262704076
487,0,0,7,8,-181.438155171
488,0,0,3,8,-182.81950416299998
489,0,0,7,8,-184.04901810799998
490,0,0,10,8,-185.886116782
491,0,0,10,8,-188.648541274
492,0,0,10,8,-189.75747300299997
493,0,0,6,8,-190.20798835
494,0,0,7,8,-192.919492347
495,0,0,6,8,-192.72062300399998
496,0,0,0,8,-195.777191534
497,0,0,7,8,-194.48124083099998
498,0,0,10,8,-195.77971000200003
499,0,0,5,8,-195.00633355399998
500,0,0,10,8,-196.697190485
501,0,0,11,8,-196.031917572
502,0,0,8,8,-196.124272548
503,0,0,2,8,-195.82717781199997
504,0,0,5,8,-196.17831841
505,0,0,9,8,-196.42393531
506,0,0,6,8,-197.26223793399998
507,0,0,11,8,-196.81785888000002
508,0,0,5,8,-197.152305229
509,0,0,5,8,-197.490225982
510,0,0,8,8,-198.20537567399998
511,0,0,1,8,-196.212097917
512,0,0,10,8,-197.41389999199998
513,0,0,3,8,-195.19198303099998
514,0,0,5,8,-196.19590377400002
515,0,0,2,8,-196.10938187699998
516,0,0,7,8,-195.372277465
517,0,0,8,8,-195.504439543
518,0,0,8,8,-194.751514428
519,0,0,7,8,-195.82273177999997
520,0,0,0,8,-196.089760577
521,0,0,10,8,-194.71330603300004
522,0,0,6,8,-194.410446546
523,0,0,8,8,-192.90948867399996
524,0,0,11,8,-191.25704688899998
525,0,0,8,8,-190.43064614099998
526,0,0,6,8,-186.433625033
527,0,0,7,8,-185.362407293
528,0,0,7,8,-184.216958621
529,0,0,7,8,-182.757547014
530,0,0,1,8,-180.086042036
531,0,0,7,8,-180.85393065
532,0,0,7,8,-180.73904380300002
533,0,0,8,8,-181.48087844000003
534,0,0,8,8,-182.786131296
535,0,0,0,8,-181.83242607600002
536,0,0,2,8,-181.226921841
537,0,0,7,8,-181.70194625000002
538,0,0,2,8,-183.35708999300002
539,0,0,6,8,-183.12777404800002
540,0,0,10,8,-182.375046171
541,0,0,6,8,-183.91800956699998
542,0,0,7,8,-185.867831405
543,0,0,4,8,-186.789207457
544,0,0,1,8,-188.633170706
545,0,0,3,8,-189.34482193
546,0,0,1,8,-190.161354834
547,0,0,11,8,-191.36984862000003
548,0,0,11,8,-191.82353058200002
549,0,0,5,8,-190.436277779
550,0,0,8,8,-192.395877071
551,0,0,3,8,-192.40916899900003
552,0,0,0,8,-194.61688080199997
553,0,0,11,8,-193.020869823
554,0,0,11,8,-194.598199459
555,0,0,3,8,-194.454072186
556,0,0,7,8,-198.08464278499997
557,0,0,7,8,-198.84179688799998
558,0,0,4,8,-195.01597174999998
559,0,0,3,8,-194.96961554799998
560,0,0,11,8,-195.80405503599997
561,0,0,6,8,-196.125149534
562,0,0,6,8,-197.780330655
563,0,0,0,8,-198.571945572
564,0,0,11,8,-198.494437028
565,0,0,4,8,-197.215747056
566,0,0,7,8,-199.208464817
567,0,0,7,8,-198.660437405
568,0,0,9,8,-200.070022585
569,0,0,11,8,-197.173673998
570,0,0,6,8,-198.06794014
571,0,0,10,8,-199.338269418
572,0,0,3,8,-197.77342948700002
573,0,0,3,8,-196.84655074600002
574,0,0,6,8,-196.113514324
575,0,0,0,8,-196.53331451900002
576,0,0,6,8,-194.37656060499998
577,0,0,1,8,-192.063932806
578,0,0,5,8,-192.06912612500003
579,0,0,0,8,-194.070565414
580,0,0,8,8,-191.80958517800002
581,0,0,0,8,-194.575480665
582,0,0,10,8,-192.737184521
583,0,0,8,8,-191.65908051
584,0,0,8,8,-191.05703088099997
585,0,0,10,8,-190.180165101
586,0,0,8,8,-193.112691514
587,0,0,11,8,-189.68458518999998
588,0,0,2,8,-190.64987334399999
589,0,0,4,8,-190.706105415
590,0,0,6,8,-192.314286429
591,0,0,8,8,-192.239424883
592,0,0,10,8,-194.511104204
593,0,0,7,8,-196.21009406800002
594,0,0,8,8,-195.825844572
595,0,0,5,8,-192.90065154399997
596,0,0,8,8,-195.060077675
597,0,0,8,8,-196.76977919700002
598,0,0,0,8,-197.125827421
599,0,0,7,8,-196.38673667899997
600,0,0,1,8,-194.32509994099996
601,0,0,9,8,-196.650745772
602,0,0,3,8,-196.01832197800002
603,0,0,1,8,-193.085115433
604,0,0,3,8,-192.773809439
605,0,0,9,8,-192.404275881
606,0,0,7,8,-191.39140129
607,0,0,9,8,-192.05595091700002
608,0,0,0,8,-190.06667137999997
609,0,0,0,8,-187.891579444
610,0,0,7,8,-186.77215691799998
611,0,0,1,8,-183.466719811
612,0,0,1,8,-182.44120141399998
613,0,0,3,8,-181.60946540199998
614,0,0,8,8,-182.447164525
615,0,0,11,8,-181.061242289
616,0,0,4,8,-182.109461596
617,0,0,3,8,-182.192794809
618,0,0,2,8,-182.52159347999998
619,0,0,2,8,-181.86186105500002
620,0,0,7,8,-181.234659948
621,0,0,7,8,-181.096221533
622,0,0,7,8,-179.99106902900002
623,0,0,6,8,-178.475026702
624,0,0,0,8,-180.313628019
625,0,0,3,8,-177.190778353
626,0,0,10,8,-177.9654132852
627,0,0,1,8,-177.00579089139998
628,0,0,7,8,-179.0486004026
629,0,0,6,8,-178.5533392022
630,0,0,1,8,-177.350572578
631,0,0,11,8,-177.58766918319998
632,0,0,8,8,-177.4484042082
633,0,0,8,8,-178.57621651379998
634,0,0,2,8,-176.8877135126
635,0,0,9,8,-175.75144065897717
636,0,0,0,8,-178.037498436
637,0,0,8,8,-176.86620112368968
638,0,0,0,8,-180.06641480694842
639,0,0,6,8,-178.22953052393896
640,0,0,11,8,-179.52950354167652
641,0,0,11,8,-180.67002725037815
642,0,0,0,8,-179.81087285463332
643,0,0,0,8,-180.08331928780808
644,0,0,1,8,-178.133627331
645,0,0,6,8,-179.90105971284862
646,0,0,6,8,-182.61857871822951
647,0,0,11,8,-182.6759244964819
648,0,0,3,8,-184.24845904293798
649,0,0,4,8,-184.3164833091377
650,0,0,8,8,-186.58864878908253
651,0,0,10,8,-188.09857388276023
652,0,0,11,8,-186.5186279284248
653,0,0,3,8,-186.8221574715708
654,0,0,10,8,-188.52743052087158
655,0,0,10,8,-189.19260062110547
656,0,0,6,8,-190.0895862071835
657,0,0,0,8,-191.4282341018
658,0,0,8,8,-190.6928694376
659,0,0,8,8,-192.3569167996
660,0,0,9,8,-189.5944900598
661,0,0,1,8,-189.3882022816
662,0,0,2,8,-190.54622192379998
