step,leaf_id,abstract_state,env_action,silver_class,g_value
1,5,0,7,8,35.46900177001953
2,6,1,11,7,63.17145919799805
3,6,1,9,7,36.08488082885742
4,17,7,5,2,-32.05418015
5,18,8,5,7,-30.7007637
6,18,8,4,7,-17.77452087
7,18,8,5,7,-30.5872364
8,18,8,10,7,55.56108474731445
9,18,8,9,7,39.94758224487305
10,18,8,7,7,34.78181457519531
11,17,7,10,2,54.462188720703125
12,17,7,4,2,-17.26136208
13,17,7,10,2,56.16138458251953
14,20,9,1,7,-52.34629822
15,17,7,3,2,9.336804389953612
16,17,7,10,2,55.83483887
17,6,1,10,7,54.20518875
18,17,7,10,2,54.522117614746094
19,17,7,2,2,31.68787002563477
20,20,9,11,7,60.6015625
21,17,7,6,2,-86.56237793
22,18,8,11,7,61.531192779541016
23,17,7,0,2,41.26502990722656
24,17,7,11,2,63.10011672973633
25,17,7,10,2,55.81753158569336
26,17,7,8,2,78.09226989746094
27,17,7,3,2,8.288882256
28,17,7,2,2,30.235015869140625
29,17,7,11,2,62.56190109
30,17,7,2,2,31.671222686767575
31,20,9,2,7,29.79762077331543
32,20,9,2,7,29.70621109008789
33,20,9,1,7,-47.77150726
34,20,9,2,7,30.83488655090332
35,22,10,3,8,9.752301216125488
36,20,9,7,7,35.93608093261719
37,20,9,9,7,38.52401351928711
38,6,1,2,7,34.01128387451172
39,17,7,10,2,54.45394515991211
40,6,1,9,7,39.88736724853516
41,17,7,11,2,60.48729705810547
42,18,8,2,7,31.187164306640625
43,18,8,0,7,40.67865753173828
44,17,7,4,2,-16.00525284
45,17,7,2,2,30.37816619873047
46,17,7,2,2,31.44919204711914
47,17,7,10,2,54.69182586669922
48,8,2,0,2,40.37326431274414
49,17,7,10,2,55.90192031860352
50,6,1,11,7,62.99293137
51,16,6,10,8,54.16181564331055
52,18,8,10,7,54.574005126953125
53,18,8,8,7,78.31626892089844
54,18,8,9,7,37.68915939331055
55,18,8,8,7,79.09432983398438
56,18,8,0,7,40.15283966064453
57,18,8,4,7,-16.37346458
58,17,7,3,2,7.549847602844238
59,6,1,7,7,36.03386688232422
60,6,1,8,7,79.47220611572266
61,13,3,11,9,62.94183349609375
62,6,1,7,7,35.629764556884766
63,15,5,9,2,35.456600189208984
64,17,7,11,2,60.93538284301758
65,22,10,11,8,61.27156829833984
66,22,10,11,8,61.74578475952149
67,22,10,4,8,-16.34203148
68,20,9,1,7,-52.47315598
69,6,1,8,7,78.38773345947266
70,6,1,2,7,31.438024520874023
71,13,3,9,9,39.81953048706055
72,6,1,2,7,36.38836669921875
73,17,7,1,2,-49.34817886
74,17,7,6,2,-85.05007935
75,17,7,8,2,79.77685547
76,20,9,0,7,40.07900238037109
77,22,10,2,8,31.138748168945312
78,20,9,6,7,-84.4959259
79,37,16,7,5,35.77006530761719
80,28,12,5,7,-30.19674492
81,37,16,7,5,35.51350402832031
82,37,16,5,5,-31.5915966
83,28,12,6,7,-84.84654236
84,37,16,3,5,9.022792816
85,37,16,1,5,-51.77570343
86,28,12,5,7,-30.36589241
87,39,18,0,5,40.42537689208984
88,37,16,11,5,62.735931396484375
89,28,12,7,7,35.63792037963867
90,41,19,8,8,78.95490264892578
91,44,21,5,2,-31.86996269
92,41,19,9,8,36.61441040039063
93,20,9,7,7,37.92779541015625
94,22,10,7,8,37.82046890258789
95,22,10,2,8,32.54862976074219
96,36,15,6,2,-84.50641632
97,28,12,4,7,-16.28549576
98,36,15,1,2,-50.82535934
99,36,15,9,2,38.89795303344727
100,28,12,9,7,38.876686096191406
101,41,19,5,8,-30.13032341
102,28,12,8,7,79.97674560546875
103,36,15,7,2,36.097267150878906
104,36,15,3,2,9.595585823059082
105,28,12,6,7,-84.92301178
106,38,17,6,9,-85.04723358
107,28,12,3,7,8.900151252746582
108,28,12,6,7,-85.46053314
109,38,17,9,9,39.29753112792969
110,38,17,5,9,-30.24265289
111,41,19,11,8,60.90324783325195
112,41,19,5,8,-30.77476311
113,44,21,10,2,56.18640137
114,17,7,3,2,10.66048812866211
115,18,8,7,7,36.75272750854492
116,17,7,3,2,9.899359703063965
117,17,7,8,2,79.17582702636719
118,6,1,7,7,36.92217254638672
119,20,9,6,7,-85.17617035
120,20,9,11,7,62.64706802368164
121,20,9,9,7,37.62198257446289
122,20,9,3,7,10.415789604187012
123,22,10,11,8,61.484222412109375
124,22,10,9,8,39.47671508789063
125,20,9,6,7,-85.07574463
126,20,9,6,7,-85.18340302
127,22,10,5,8,-30.45985031
128,20,9,6,7,-84.96237946
129,20,9,4,7,-16.2644062
130,28,12,5,7,-30.00168419
131,28,12,3,7,7.545777320861816
132,28,12,4,7,-16.22222137
133,39,18,6,5,-84.55749512
134,28,12,0,7,40.17133331298828
135,38,17,7,9,35.58292388916016
136,28,12,6,7,-84.26356506
137,28,12,6,7,-84.21818542
138,39,18,1,5,-50.70038986
139,28,12,2,7,32.788612365722656
140,28,12,7,7,35.37477493286133
141,37,16,0,5,39.246620178222656
142,37,16,8,5,79.98364258
143,28,12,3,7,9.452635765075684
144,28,12,7,7,36.77695083618164
145,28,12,0,7,39.96749114990234
146,39,18,9,5,38.81481934
147,28,12,0,7,39.78447723388672
148,41,19,10,8,55.99242782592773
149,20,9,6,7,-84.56768036
150,20,9,5,7,-29.6756115
151,20,9,11,7,62.5098877
152,6,1,8,7,79.31426239013672
153,17,7,4,2,-18.08766174
154,17,7,5,2,-32.53255463
155,17,7,0,2,40.34579849243164
156,17,7,9,2,38.10151672363281
157,17,7,3,2,9.461812019348145
158,18,8,7,7,38.12213516235352
159,17,7,11,2,61.733516693115234
160,17,7,3,2,10.614672660827637
161,22,10,3,8,9.816536903381348
162,20,9,6,7,-85.95275116
163,22,10,11,8,61.83910369873047
164,20,9,0,7,40.02076721191406
