step,leaf_id,abstract_state,env_action,silver_class,g_value
1,3,0,6,1,-38.1425209
2,3,0,10,1,14.76649284362793
3,3,0,6,1,-37.92649078
4,38,16,8,1,57.08435821533203
5,38,16,11,1,19.14202880859375
6,38,16,3,1,-16.72851563
7,45,20,2,1,-4.823992252
8,38,16,3,1,-15.37063217
9,38,16,11,1,17.93523406982422
10,3,0,9,1,61.82033157348633
11,38,16,2,1,-7.340756893
12,46,21,8,2,54.01694869995117
13,46,21,8,2,54.279815673828125
14,46,21,11,2,18.84520912
15,3,0,6,1,-38.46506882
16,38,16,11,1,18.666820526123047
17,38,16,0,1,-30.17442322
18,40,17,7,7,-45.46649551
19,40,17,8,7,53.58526992797852
20,40,17,7,7,-45.74263763
21,40,17,9,7,61.45088195800781
22,3,0,9,1,63.86468124389648
23,40,17,0,7,-29.99362183
24,40,17,0,7,-30.08240891
25,40,17,0,7,-30.20449257
26,40,17,11,7,18.313255310058597
27,40,17,4,7,-31.16290283
28,46,21,6,2,-40.20756149
29,42,18,5,7,43.922019958496094
30,42,18,3,7,-12.76664734
31,3,0,1,1,37.83450698852539
32,27,11,6,5,-38.51203537
33,26,10,1,0,39.42782974243164
34,3,0,2,1,-7.843868732
35,3,0,8,1,57.30231857299805
36,27,11,9,5,60.15856552124024
37,22,8,6,5,-39.62378311
38,40,17,1,7,39.468727111816406
39,3,0,10,1,14.138086318969728
40,7,1,7,3,-45.86739349
41,38,16,11,1,18.48132324
42,7,1,5,3,46.98392105102539
43,38,16,3,1,-16.16777611
44,38,16,5,1,45.53702926635742
45,38,16,11,1,18.004613876342773
46,38,16,4,1,-32.62991333
47,40,17,9,7,60.80327224731445
48,13,3,10,4,13.617176055908203
49,38,16,4,1,-33.75405121
50,45,20,4,1,-33.17296219
51,38,16,4,1,-33.40347672
52,38,16,7,1,-45.39863205
53,38,16,9,1,60.07471848
54,3,0,9,1,62.61429214477539
55,40,17,7,7,-44.43458557
56,40,17,1,7,38.1124382
57,38,16,0,1,-30.7536602
58,38,16,10,1,13.324729919433594
59,40,17,1,7,37.47660827636719
60,40,17,5,7,43.27462768554688
61,40,17,11,7,17.874927520751953
62,38,16,5,1,44.42789459228516
63,38,16,5,1,44.078399658203125
64,46,21,4,2,-32.19599915
