step,leaf_id,abstract_state,env_action,silver_class,g_value
1,4,0,0,8,-49.561306
2,4,0,8,8,-7.037202835
3,6,1,7,0,-13.97268295
4,6,1,0,0,-48.31749725
5,6,1,10,0,36.08532333374024
6,26,11,2,5,-38.70390701
7,39,19,3,11,10.844533920288086
8,39,19,2,11,-39.40182877
9,39,19,4,11,27.623241424560547
10,39,19,2,11,-39.77627563
11,6,1,4,0,28.56925773620605
12,26,11,9,5,37.39110565185547
13,26,11,5,5,-10.76550865
14,39,19,11,11,-9.22297287
15,42,20,5,8,-11.44368458
16,55,27,3,6,13.262322425842283
17,55,27,9,6,37.20278549194336
18,55,27,9,6,36.751930236816406
19,42,20,10,8,34.27035140991211
20,58,28,10,0,35.53970718383789
21,58,28,0,0,-50.20293427
22,58,28,6,0,-24.09316635
23,6,1,3,0,11.51288604736328
24,31,14,2,2,-39.27613449
25,6,1,2,0,-39.5291481
26,37,18,9,5,36.47809219360352
27,7,2,9,11,35.84527587890625
28,60,29,2,1,-39.3668251
29,58,28,4,0,28.239952087402344
30,31,14,8,2,-7.041086197
31,26,11,1,5,16.733016967773438
32,6,1,7,0,-13.30118275
33,37,18,5,5,-10.34621429
34,31,14,11,2,-12.14993572
35,28,13,8,5,-7.278421879
36,42,20,2,8,-41.30888367
37,7,2,10,11,36.54220962524414
38,7,2,9,11,36.88210678100586
39,45,21,2,5,-40.03059769
40,55,27,6,6,-24.78330612
41,55,27,9,6,37.66777038574219
42,55,27,2,6,-39.91223145
43,42,20,2,8,-41.28084564
44,26,11,1,5,15.533330917358398
45,6,1,0,0,-49.75021362
46,26,11,5,5,-10.43682098
47,7,2,0,11,-49.64915085
48,6,1,6,0,-23.93970871
49,28,13,4,5,28.521764755249023
50,6,1,2,0,-39.79959106
51,26,11,4,5,28.684255599975582
52,6,1,0,0,-49.66919327
53,31,14,1,2,16.003793716430664
54,31,14,5,2,-10.47425365
55,11,3,0,7,-49.60123444
56,36,17,8,7,-6.978915215
57,6,1,3,0,9.76313591
58,6,1,11,0,-10.36996651
59,27,12,2,2,-42.38973236
60,42,20,7,8,-15.01136112
61,42,20,6,8,-25.86092949
62,42,20,11,8,-12.05563068
63,49,23,7,0,-14.34541035
64,42,20,10,8,36.91385269165039
65,28,13,5,5,-10.54256248
66,42,20,2,8,-39.91817856
67,6,1,2,0,-40.72819138
68,28,13,10,5,35.44590377807617
69,6,1,2,0,-39.47729492
70,42,20,8,8,-6.851716518
71,6,1,6,0,-24.72763443
72,6,1,3,0,10.473586082458496
73,26,11,4,5,29.27519989013672
74,26,11,9,5,37.10241699
75,26,11,5,5,-10.65859413
76,58,28,10,0,33.493160247802734
77,58,28,11,0,-10.01361561
78,55,27,3,6,11.605119705200195
79,55,27,6,6,-25.16180801
80,55,27,6,6,-23.8070488
81,6,1,6,0,-23.79986382
82,6,1,0,0,-49.54691696
83,26,11,4,5,28.88667678833008
84,6,1,6,0,-25.01736259
85,6,1,11,0,-12.77557755
86,6,1,2,0,-42.69738007
87,45,21,7,5,-14.44814014
88,42,20,9,8,35.56774139404297
89,42,20,11,8,-7.267450333
90,49,23,2,0,-40.09070206
91,55,27,8,6,-10.66620064
92,55,27,3,6,13.497711181640623
93,49,23,5,0,-11.16273308
94,49,23,0,0,-49.30054092
95,49,23,8,0,-6.892148495
96,49,23,0,0,-48.96682739
97,42,20,4,8,28.05780601501465
98,6,1,5,0,-9.769423485
99,21,10,8,8,-6.540215015
100,28,13,5,5,-10.52214622
101,26,11,10,5,35.35356903076172
102,6,1,1,0,15.751087188720703
103,46,22,3,2,10.969362258911133
104,6,1,3,0,10.03852081298828
105,28,13,4,5,28.664390563964844
106,6,1,0,0,-48.31337738
107,6,1,10,0,36.79108047485352
108,6,1,5,0,-9.41620636
109,58,28,4,0,28.558053970336918
110,36,17,7,7,-13.53106213
111,6,1,6,0,-23.11492348
112,36,17,3,7,12.822223663330078
113,21,10,5,8,-8.40117836
114,11,3,6,7,-20.76321983
115,31,14,10,2,29.941164016723636
116,6,1,9,0,33.33992004394531
117,58,28,0,0,-46.15102005
118,60,29,7,1,-10.58605003
119,6,1,0,0,-44.93863297
120,6,1,3,0,14.806744575500488
121,37,18,9,5,30.775747299194336
122,6,1,5,0,-7.480869293
123,58,28,9,0,28.10668182373047
124,66,32,4,6,29.070106506347656
125,66,32,4,6,30.043201446533203
126,66,32,4,6,30.039968490600582
127,66,32,4,6,30.41553307
128,21,10,5,8,-6.81866312
129,12,4,6,6,-16.42873192
130,36,17,9,7,27.697065353393555
131,12,4,4,6,30.65372657775879
132,64,31,6,11,-16.28171158
133,66,32,10,6,22.212276458740234
134,66,32,5,6,-5.135127544
135,66,32,9,6,27.81102943
136,66,32,11,6,-0.759209037
137,60,29,4,1,32.94456481933594
138,60,29,4,1,33.41453170776367
139,66,32,4,6,33.769474029541016
140,66,32,5,6,-3.869815111
141,66,32,0,6,-40.134758
142,66,32,6,6,-13.21890354
143,37,18,5,5,-3.252150297
144,13,5,4,7,29.650144577026367
145,37,18,4,5,30.008459091186523
146,31,14,4,2,29.60126495361328
147,11,3,4,7,30.047527313232425
148,31,14,4,2,29.58503150939941
149,13,5,7,7,-3.683079481
150,21,10,4,8,30.10749053955078
151,28,13,6,5,-11.40358639
152,26,11,11,5,-0.300836205
153,11,3,4,7,30.49765014648437
154,42,20,4,8,29.972925186157227
155,26,11,4,5,29.686595916748047
156,13,5,5,7,1.5445663928985596
157,26,11,4,5,28.905689239501957
158,11,3,4,7,29.47781753540039
159,28,13,9,5,25.71134376525879
160,11,3,5,7,2.6411821842193604
161,42,20,3,8,22.13821601867676
162,55,27,6,6,-7.948541164
163,55,27,6,6,-7.749999523
164,42,20,4,8,28.80195617675781
165,42,20,4,8,29.95438575744629
166,26,11,6,5,-7.251080036
167,13,5,6,7,-7.222616196
168,21,10,4,8,28.65616226196289
169,13,5,11,7,5.747230529785156
170,31,14,4,2,29.750003814697266
171,31,14,0,2,-32.26150894
172,71,34,10,1,26.037168502807617
173,71,34,5,1,6.064916610717773
174,74,36,4,7,29.79646873474121
175,74,36,7,7,0.036242843
176,51,24,1,11,9.18092441558838
177,7,2,4,11,29.80742073059082
178,42,20,8,8,7.722982883453369
179,7,2,1,11,9.275432586669922
180,26,11,5,5,7.415865421295166
181,7,2,4,11,28.491962432861328
182,28,13,2,5,-6.758991718
183,6,1,10,0,30.0410099
184,26,11,3,5,21.979360580444336
185,45,21,5,5,9.992197036743164
186,42,20,0,8,-31.29782295
187,61,30,10,11,28.301197052001957
188,61,30,9,11,27.02389144897461
189,61,30,11,11,14.494855880737305
190,55,27,4,6,33.42071533203125
191,55,27,0,6,-26.65315437
192,55,27,2,6,-4.876249313
193,55,27,4,6,31.80858612060547
194,55,27,5,6,13.461236000061035
195,7,2,10,11,28.68534469604492
196,37,18,10,5,28.599536895751957
197,61,30,3,11,22.479875564575195
198,61,30,3,11,20.64946746826172
199,7,2,10,11,30.956518173217773
200,37,18,0,5,-26.47481918
201,60,29,4,1,31.46327018737793
202,7,2,11,11,12.424302101135254
203,31,14,2,2,-1.50145638
204,58,28,3,0,24.24922180175781
205,58,28,3,0,23.038562774658203
206,58,28,4,0,35.45831680297852
207,58,28,10,0,34.07571029663086
208,58,28,9,0,29.326662063598636
209,61,30,4,11,30.62921524047852
210,61,30,4,11,31.28104019165039
211,6,1,9,0,28.88791847229004
212,6,1,3,0,24.434446334838867
213,60,29,9,1,26.36151695251465
214,66,32,9,6,26.012216567993164
215,66,32,7,6,10.643495559692385
216,42,20,8,8,13.350896835327148
217,46,22,2,2,4.122043609619141
218,6,1,10,0,31.81142234802246
219,26,11,6,5,7.6848368644714355
220,60,29,1,1,11.528846740722656
221,60,29,0,1,-20.23944473
222,36,17,5,7,18.82145881652832
223,31,14,10,2,31.71643447875977
224,6,1,3,0,24.390155792236328
225,60,29,10,1,34.07348633
226,60,29,10,1,33.12793731689453
227,60,29,1,1,11.815999984741213
228,61,30,6,11,10.21851921081543
229,60,29,10,1,31.66076088
230,36,17,2,7,7.985244274139404
231,61,30,10,11,31.61970329284668
232,31,14,2,2,8.707077026367188
233,61,30,10,11,31.087406158447266
234,31,14,10,2,31.44586181640625
235,66,32,10,6,31.58159446716309
236,66,32,10,6,31.65928649902344
237,66,32,10,6,31.425447463989254
238,66,32,0,6,-18.39406776
239,73,35,10,5,31.01073647
240,13,5,7,7,16.00685691833496
241,64,31,10,11,32.93143844604492
242,66,32,10,6,32.27209473
243,66,32,10,6,31.498462677001957
244,66,32,6,6,14.165021896362305
245,66,32,10,6,31.50119400024414
246,73,35,5,5,24.099985122680664
247,12,4,5,6,23.725605010986328
248,31,14,0,2,-16.45473862
249,12,4,10,6,30.865671157836918
250,12,4,10,6,31.235166549682617
251,66,32,0,6,-15.98798466
252,66,32,10,6,30.81765937805176
253,12,4,10,6,30.876853942871094
254,73,35,10,5,31.04408073425293
255,73,35,1,5,12.966851234436035
256,73,35,10,5,30.596614837646484
257,73,35,10,5,30.926916122436523
258,13,5,10,7,31.007274627685547
259,73,35,10,5,31.190261840820312
260,73,35,10,5,31.27274513244629
261,73,35,4,5,27.28795815
262,73,35,10,5,32.87181473
263,31,14,10,2,31.061010360717773
264,69,33,5,7,26.17391014099121
265,71,34,7,1,17.686870574951172
266,73,35,10,5,31.924236297607425
267,73,35,6,5,16.59371566772461
268,73,35,10,5,31.02480697631836
269,73,35,3,5,31.28157997131348
270,12,4,10,6,32.118621826171875
271,37,18,3,5,31.76320075988769
272,77,38,10,10,32.91876602172852
273,77,38,10,10,31.485048294067383
274,36,17,11,7,23.15415573120117
275,42,20,3,8,33.644073486328125
276,55,27,11,6,23.988910675048828
277,55,27,3,6,32.89793014526367
