step,leaf_id,abstract_state,env_action,silver_class,g_value
1,4,0,7,8,14.711870217323304
2,4,0,8,8,-15.81763389112738
3,4,0,7,8,14.800794911384582
4,10,3,11,2,-5.433876131729297
5,4,0,3,8,29.12067117802368
6,10,3,1,2,-10.270143844285254
7,10,3,10,2,-2.0664047718000003
8,12,4,5,4,-18.403709433400003
9,10,3,2,2,13.946761702484867
10,10,3,4,2,-15.485256387186036
11,16,6,1,1,-11.219723389660595
12,10,3,0,2,31.760338783166603
13,23,10,1,11,-10.718606615268948
14,23,10,6,11,0.3239841460780273
15,4,0,4,8,-15.43945979773755
16,22,9,2,10,13.482863616714845
17,21,8,0,3,31.7794501542918
18,21,8,7,3,14.639922523498537
19,4,0,3,8,29.00957818026836
20,21,8,6,3,1.1012532220835451
21,21,8,9,3,11.965084099769593
22,21,8,3,3,27.58307030200958
23,28,12,8,4,-15.40294800867874
24,30,13,10,9,-1.280080366139722
25,23,10,11,11,-5.4141037925060065
26,12,4,0,4,30.738958215837503
27,17,7,8,1,-15.77026008404648
28,4,0,9,8,11.66890363693237
29,4,0,3,8,27.155871653556826
30,23,10,1,11,-10.176209427341993
31,16,6,2,1,12.996031381510743
32,16,6,1,1,-10.314260602565918
33,10,3,11,2,-6.16004657848955
34,10,3,11,2,-5.651290844647631
35,10,3,8,2,-15.65650746084514
36,10,3,6,2,0.4084462403533329
37,10,3,8,2,-15.662842952521517
38,10,3,3,2,28.703168152024535
39,23,10,10,11,-1.7928907868526127
40,10,3,11,2,-4.91515941633645
41,16,6,10,1,-1.875764560650708
42,17,7,11,1,-5.3548202977921635
43,23,10,0,11,30.760536575457422
44,23,10,7,11,14.726239657402036
45,23,10,3,11,29.012663555145267
46,4,0,9,8,11.74025001525879
47,22,9,5,10,-18.1816014767
48,23,10,1,11,-10.667124127400001
49,16,6,5,1,-18.142674779300002
50,16,6,8,1,-15.76546408502019
51,10,3,4,2,-15.028498649999511
52,16,6,7,1,14.167420244216919
53,4,0,10,8,-1.6794802189193112
54,10,3,10,2,-1.5140574929513912
55,10,3,3,2,29.022987985610964
56,10,3,3,2,28.84041843476807
57,10,3,8,2,-15.487179386400912
58,16,6,0,1,30.712490224716017
59,4,0,2,8,13.435630801128909
60,28,12,7,4,14.130177426338197
61,4,0,7,8,14.457099461555481
62,4,0,4,8,-15.306587268581666
63,28,12,1,4,-10.690936279819727
64,28,12,5,4,-18.2922121981
65,4,0,9,8,11.924851894378662
66,22,9,3,10,28.30254464149475
67,23,10,11,11,-5.115120983248144
68,10,3,8,2,-15.554721974439822
69,23,10,8,11,-15.523940610541873
70,23,10,1,11,-10.678888224566307
71,23,10,4,11,-15.386502931871338
72,21,8,2,3,13.030744553554197
73,4,0,9,8,12.400588572025299
74,4,0,11,8,-5.870376871958838
75,23,10,8,11,-15.413840986372378
76,23,10,10,11,-2.0414600850351805
77,10,3,2,2,13.528460694833008
78,12,4,2,4,13.458250616007813
79,10,3,8,2,-15.317424011625
