step,leaf_id,abstract_state,env_action,silver_class,g_value
1,3,0,2,5,-3.809261251753345
2,3,0,5,5,-2.491810129779785
3,29,11,11,11,4.033698534984562
4,5,1,1,10,6.765989649295808
5,46,22,5,11,-2.3658971797280284
6,46,22,0,11,6.861683322527345
7,46,22,8,11,-20.05893588288806
8,37,16,11,8,4.165618943924927
9,3,0,11,5,4.048854541303955
10,37,16,8,8,-20.07737755791858
11,29,11,0,11,7.1443539367812505
12,3,0,1,5,6.596907234191895
13,3,0,5,5,-2.4979916549130863
14,5,1,8,10,-20.0061923496
15,34,14,5,5,-2.3772371260917975
16,35,15,1,1,6.560416281223298
17,5,1,10,10,-1.6190219157791141
18,34,14,9,5,7.349693155408447
19,37,16,9,8,7.259952735900878
20,46,22,5,11,-2.626089572952149
21,37,16,11,8,4.074732066397585
22,46,22,2,11,-3.766631198891187
23,46,22,1,11,6.354163646697998
24,5,1,4,10,-4.288952447060449
25,5,1,1,10,6.424461042881012
26,29,11,2,11,-3.731360696679444
27,5,1,7,10,13.965406203262305
28,34,14,5,5,-2.494753549714357
29,5,1,8,10,-19.82248320634851
30,34,14,8,5,-19.808196160809814
31,34,14,9,5,7.294452857971191
32,34,14,0,5,7.204651928039843
33,39,17,1,0,6.771842801570894
34,39,17,8,0,-19.979782107205565
35,39,17,9,0,7.127571392059325
36,46,22,11,11,4.275068761057863
37,37,16,1,8,6.629844796657562
38,46,22,8,11,-19.941174937592407
39,34,14,9,5,7.2749917030334466
40,34,14,8,5,-19.9686826706
41,39,17,10,0,-1.467177677176026
42,43,20,2,5,-3.5798470256297854
43,39,17,7,0,14.019749736752637
44,21,8,8,7,-20.118941736356568
45,34,14,5,5,-2.4182354959199213
46,34,14,9,5,7.238288115777587
47,34,14,9,5,7.1004753589630125
48,39,17,8,0,-20.1603848445
49,39,17,11,0,4.4571612828148215
50,39,17,10,0,-1.677778173869934
51,40,18,9,8,7.182058191299438
52,46,22,5,11,-2.287096309085449
53,46,22,8,11,-19.6585418678291
54,46,22,4,11,-4.5038628332830095
55,46,22,0,11,7.316023397297657
56,46,22,8,11,-20.00308565956482
57,43,20,7,5,13.780373525543848
58,43,20,9,5,7.205194997787475
59,21,8,2,7,-3.5819908382953862
60,37,16,8,8,-20.0990450872
61,39,17,3,0,-2.896665144147656
62,43,20,7,5,13.526183438382422
63,43,20,0,5,7.261249876030471
64,46,22,0,11,7.193687819703907
65,39,17,0,0,7.1980958936562525
66,39,17,4,0,-4.398113966969921
67,23,9,1,8,6.456908106803895
68,35,15,8,1,-19.957583617635745
69,23,9,3,8,-2.3775158881285643
70,35,15,5,1,-2.511348437314452
71,35,15,8,1,-19.83608059754114
72,35,15,6,1,6.1867067336496095
73,23,9,9,8,7.0456657886505125
74,23,9,8,8,-19.886554291018435
75,43,20,0,5,7.155699252108596
76,35,15,3,1,-2.1478165148873534
77,23,9,7,8,13.759477710724315
78,6,2,4,4,-4.508214236979006
79,35,15,7,1,13.722700953487207
80,35,15,8,1,-19.81421990465979
81,23,9,6,8,6.042686844924608
82,35,15,0,1,7.158936835651562
83,23,9,3,8,-2.1702787399229004
84,53,24,10,0,-1.6927804948375982
85,53,24,6,0,6.26080121986953
86,54,25,3,6,-2.0641015530295412
87,53,24,0,0,7.104322432144533
88,53,24,0,0,7.139930677689845
89,53,24,8,0,-19.841049527292846
90,53,24,11,0,3.943638085346315
91,35,15,2,1,-3.628872823920313
92,39,17,11,0,3.8029528133316655
93,43,20,8,5,-19.801547480121705
94,39,17,1,0,6.539917767076202
95,43,20,11,5,4.250552558931154
96,35,15,9,1,7.476599216461182
97,39,17,9,0,7.317725372314452
98,46,22,8,11,-19.97243008807727
99,46,22,9,11,7.260572099685669
100,46,22,9,11,7.419705867767335
101,39,17,3,0,-2.498515844565185
102,39,17,9,0,7.244217825049658
103,46,22,8,11,-19.904367208628294
104,21,8,6,7,6.183182716496875
105,35,15,3,1,-2.0380718230647457
106,21,8,8,7,-19.860226535329346
107,21,8,9,7,7.1622484684480465
108,35,15,2,1,-3.5315224634000004
109,39,17,11,0,4.697652053941408
110,39,17,7,0,13.99172554008467
111,47,23,3,7,-2.3058670041535643
112,47,23,9,7,7.112852525711059
113,35,15,8,1,-20.10354642898218
114,39,17,5,0,-2.093014909706543
115,21,8,7,7,14.12742006782881
116,21,8,7,7,14.109593963495605
117,35,15,9,1,7.266931772232056
118,21,8,11,7,4.605504179652711
119,39,17,10,0,-1.9124628306251588
120,46,22,8,11,-19.650681781
121,46,22,0,11,6.9439333920789075
122,46,22,3,11,-2.2680079938221924
123,46,22,1,11,6.665437531471253
124,43,20,8,5,-19.965730524820923
125,34,14,3,5,-2.4034331799573727
126,34,14,10,5,-1.5878571496477056
127,34,14,4,5,-4.812391519348243
128,43,20,8,5,-19.610339071905518
129,39,17,6,0,6.069229698072266
130,39,17,8,0,-19.61966986557654
131,43,20,11,5,4.12859897687793
132,34,14,8,5,-19.886656473898196
133,34,14,7,5,14.63644058692207
134,39,17,9,0,7.2291943550109865
135,37,16,1,8,7.051057922840118
136,46,22,2,11,-3.332286727362427
137,46,22,1,11,6.8612001657485955
138,46,22,2,11,-3.4713500276045903
139,39,17,7,0,14.021252512947461
140,34,14,0,5,7.296399689089845
141,21,8,5,7,-2.3239452379814445
142,34,14,9,5,7.3398902893066404
143,34,14,9,5,7.121899223327637
144,39,17,11,0,4.850131964213318
145,39,17,7,0,14.205610942809086
146,46,22,7,11,14.124406290186526
147,46,22,5,11,-2.368304156233398
148,37,16,1,8,6.491227698326112
149,5,1,3,10,-2.0589447976979494
150,34,14,11,5,4.111142182802793
151,5,1,1,10,6.69666714668274
152,46,22,7,11,14.122304151663185
153,39,17,7,0,13.828063607333984
154,47,23,5,7,-2.410358716017578
155,35,15,10,1,-1.7243083479509154
156,34,14,7,5,13.78965349184746
157,39,17,5,0,-2.6972382556684558
158,46,22,3,11,-1.672061634232031
159,39,17,6,0,6.0962391851980495
160,46,22,10,11,-1.791978024243042
161,41,19,7,7,13.88361270423584
162,5,1,1,10,6.479387509822845
163,6,2,0,4,7.158875656373438
164,34,14,5,5,-2.512973119925782
165,21,8,11,7,3.9565183407890006
166,35,15,11,1,4.022415805746767
167,39,17,11,0,4.030463099977721
168,21,8,8,7,-19.80532565164734
169,37,16,0,8,6.5098687153000006
170,43,20,10,5,-1.7053810117958983
171,39,17,5,0,-2.5009986885468756
172,46,22,8,11,-19.69719328799109
173,39,17,8,0,-19.63700294587305
174,47,23,1,7,6.558534002304077
175,39,17,7,0,13.812025856935742
176,6,2,10,4,-1.6136159421120853
177,35,15,10,1,-1.7745477422719125
178,37,16,9,8,7.3685907363891605
179,5,1,8,10,-20.005566884100002
180,39,17,3,0,-2.5033381459456785
181,39,17,0,0,7.197059774262501
182,6,2,9,4,7.020124340057373
183,34,14,5,5,-2.199785806743164
184,37,16,8,8,-19.981672001610107
185,47,23,7,7,13.877003622126464
186,37,16,1,8,6.702733635902405
187,39,17,9,0,6.844198656082153
188,47,23,7,7,13.916273713044239
189,6,2,9,4,7.122127914385547
190,5,1,4,10,-4.152139341184864
191,47,23,7,7,13.561122536610643
192,43,20,1,5,6.732502722740173
193,47,23,9,7,6.943403673171997
194,39,17,3,0,-2.282053279922998
195,47,23,2,7,-3.672767068625415
196,47,23,8,7,-20.053291752113402
197,31,12,9,8,6.874907637601196
198,6,2,0,4,7.206952977774219
199,37,16,3,8,-2.7065402029132812
200,43,20,8,5,-20.139426613852542
201,39,17,3,0,-2.4628187178893066
202,54,25,8,6,-20.031279564264164
203,54,25,11,6,4.42270171610663
204,43,20,0,5,6.9238682975085935
205,37,16,11,8,4.075153637537502
206,6,2,3,4,-2.4619374276361814
207,39,17,7,0,14.179659366600779
208,47,23,8,7,-19.745199489481692
209,39,17,11,0,3.8747684472578117
210,47,23,7,7,13.75785694126797
211,5,1,6,10,6.268933963727735
212,35,15,11,1,3.955927110966371
213,6,2,7,4,14.842903864376174
214,37,16,6,8,5.830675982799999
215,43,20,3,5,-2.4498067377078123
216,47,23,7,7,14.044457841007716
217,37,16,7,8,13.982096147466699
218,47,23,3,7,-2.130840921478076
219,39,17,0,0,7.102590252133593
220,35,15,7,1,13.767461609767775
221,5,1,10,10,-1.563482832901795
222,5,1,0,10,7.239639663572657
223,35,15,7,1,13.60265111918662
224,41,19,8,7,-19.310597373267946
225,47,23,7,7,13.772074556366894
226,41,19,7,7,13.670843410582325
227,41,19,1,7,6.298806667327881
228,47,23,6,7,6.021839523118359
229,35,15,0,1,7.083483601421095
230,6,2,8,4,-19.782452202266114
231,6,2,11,4,3.890043808270449
232,35,15,2,1,-3.6793294666098877
233,39,17,9,0,7.118683958053588
234,39,17,11,0,4.327823018595582
235,46,22,9,11,7.255139970779419
236,46,22,11,11,3.9909885400371112
237,37,16,8,8,-19.994403887611938
238,6,2,2,4,-3.627176283817018
239,29,11,2,11,-3.4994307028431395
240,5,1,7,10,13.951427554935256
241,5,1,9,10,6.933155250549317
242,34,14,1,5,6.615105593204499
243,34,14,8,5,-20.285571481158694
244,39,17,6,0,6.148104095427344
245,46,22,11,11,4.558048439056641
246,37,16,4,8,-4.32262487249746
247,46,22,0,11,6.6118059626511725
248,47,23,1,7,6.6806990981102
249,37,16,11,8,4.30887467824701
250,47,23,2,7,-3.662057901869727
