step,leaf_id,abstract_state,env_action,silver_class,g_value
1,4,0,7,7,35.46900177001953
2,8,1,11,7,63.17145919799805
3,8,1,9,7,36.08488082885742
4,37,17,5,3,-32.05418015
5,37,17,5,3,-30.7007637
6,42,18,4,4,-17.77452087
7,43,19,5,7,-30.5872364
8,45,20,10,7,55.56108474731445
9,37,17,9,3,39.94758224487305
10,37,17,7,3,34.78181457519531
11,10,3,10,9,54.462188720703125
12,42,18,4,4,-17.26136208
13,10,3,10,9,56.16138458251953
14,20,8,1,6,-52.34629822
15,15,5,3,6,9.336804389953612
16,42,18,10,4,55.83483887
17,10,3,10,9,54.20518875
18,10,3,10,9,54.522117614746094
19,10,3,2,9,31.68787002563477
20,20,8,11,6,60.6015625
21,10,3,6,9,-86.56237793
22,42,18,11,4,61.531192779541016
23,42,18,0,4,41.26502990722656
24,42,18,11,4,63.10011672973633
25,15,5,10,6,55.81753158569336
26,15,5,8,6,78.09226989746094
27,15,5,3,6,8.288882256
28,15,5,2,6,30.235015869140625
29,15,5,11,6,62.56190109
30,42,18,2,4,31.671222686767575
31,20,8,2,6,29.79762077331543
32,20,8,2,6,29.70621109008789
33,20,8,1,6,-47.77150726
34,20,8,2,6,30.83488655090332
35,42,18,3,4,9.752301216125488
36,20,8,7,6,35.93608093261719
37,20,8,9,6,38.52401351928711
38,10,3,2,9,34.01128387451172
39,42,18,10,4,54.45394515991211
40,8,1,9,7,39.88736724853516
41,8,1,11,7,60.48729705810547
42,37,17,2,3,31.187164306640625
43,37,17,0,3,40.67865753173828
44,8,1,4,7,-16.00525284
45,10,3,2,9,30.37816619873047
46,42,18,2,4,31.44919204711914
47,10,3,10,9,54.69182586669922
48,8,1,0,7,40.37326431274414
49,9,2,10,9,55.90192031860352
50,4,0,11,7,62.99293137
51,10,3,10,9,54.16181564331055
52,42,18,10,4,54.574005126953125
53,42,18,8,4,78.31626892089844
54,42,18,9,4,37.68915939331055
55,42,18,8,4,79.09432983398438
56,43,19,0,7,40.15283966064453
57,42,18,4,4,-16.37346458
58,15,5,3,6,7.549847602844238
59,4,0,7,7,36.03386688232422
60,4,0,8,7,79.47220611572266
61,14,4,11,8,62.94183349609375
62,4,0,7,7,35.629764556884766
63,14,4,9,8,35.456600189208984
64,15,5,11,6,60.93538284301758
65,43,19,11,7,61.27156829833984
66,42,18,11,4,61.74578475952149
67,42,18,4,4,-16.34203148
68,20,8,1,6,-52.47315598
69,4,0,8,7,78.38773345947266
70,4,0,2,7,31.438024520874023
71,14,4,9,8,39.81953048706055
72,4,0,2,7,36.38836669921875
73,15,5,1,6,-49.34817886
74,15,5,6,6,-85.05007935
75,15,5,8,6,79.77685547
76,20,8,0,6,40.07900238037109
77,20,8,2,6,31.138748168945312
78,20,8,6,6,-84.4959259
79,26,10,7,11,35.77006530761719
80,4,0,5,7,-30.19674492
81,27,11,7,6,35.51350402832031
82,26,10,5,11,-31.5915966
83,4,0,6,7,-84.84654236
84,27,11,3,6,9.022792816
85,27,11,1,6,-51.77570343
86,4,0,5,7,-30.36589241
87,27,11,0,6,40.42537689208984
88,27,11,11,6,62.735931396484375
89,4,0,7,7,35.63792037963867
90,31,13,8,3,78.95490264892578
91,47,22,5,11,-31.86996269
92,32,14,9,9,36.61441040039063
93,32,14,7,9,37.92779541015625
94,47,22,7,11,37.82046890258789
95,47,22,2,11,32.54862976074219
96,27,11,6,6,-84.50641632
97,4,0,4,7,-16.28549576
98,26,10,1,11,-50.82535934
99,26,10,9,11,38.89795303344727
100,4,0,9,7,38.876686096191406
101,32,14,5,9,-30.13032341
102,4,0,8,7,79.97674560546875
103,27,11,7,6,36.097267150878906
104,26,10,3,11,9.595585823059082
105,4,0,6,7,-84.92301178
106,27,11,6,6,-85.04723358
107,4,0,3,7,8.900151252746582
108,4,0,6,7,-85.46053314
109,26,10,9,11,39.29753112792969
110,27,11,5,6,-30.24265289
111,32,14,11,9,60.90324783325195
112,32,14,5,9,-30.77476311
113,47,22,10,11,56.18640137
114,10,3,3,9,10.66048812866211
115,45,20,7,7,36.75272750854492
116,42,18,3,4,9.899359703063965
117,42,18,8,4,79.17582702636719
118,4,0,7,7,36.92217254638672
119,20,8,6,6,-85.17617035
120,4,0,11,7,62.64706802368164
121,25,9,9,9,37.62198257446289
122,20,8,3,6,10.415789604187012
123,42,18,11,4,61.484222412109375
124,43,19,9,7,39.47671508789063
125,20,8,6,6,-85.07574463
126,20,8,6,6,-85.18340302
127,20,8,5,6,-30.45985031
128,20,8,6,6,-84.96237946
129,27,11,4,6,-16.2644062
130,4,0,5,7,-30.00168419
131,4,0,3,7,7.545777320861816
132,4,0,4,7,-16.22222137
133,27,11,6,6,-84.55749512
134,4,0,0,7,40.17133331298828
135,26,10,7,11,35.58292388916016
136,4,0,6,7,-84.26356506
137,4,0,6,7,-84.21818542
138,27,11,1,6,-50.70038986
139,4,0,2,7,32.788612365722656
140,4,0,7,7,35.37477493286133
141,27,11,0,6,39.246620178222656
142,27,11,8,6,79.98364258
143,4,0,3,7,9.452635765075684
144,4,0,7,7,36.77695083618164
145,4,0,0,7,39.96749114990234
146,27,11,9,6,38.81481934
147,4,0,0,7,39.78447723388672
148,32,14,10,9,55.99242782592773
149,20,8,6,6,-84.56768036
150,20,8,5,6,-29.6756115
151,20,8,11,6,62.5098877
152,4,0,8,7,79.31426239013672
153,10,3,4,9,-18.08766174
154,15,5,5,6,-32.53255463
155,15,5,0,6,40.34579849243164
156,42,18,9,4,38.10151672363281
157,15,5,3,6,9.461812019348145
158,42,18,7,4,38.12213516235352
159,42,18,11,4,61.733516693115234
160,15,5,3,6,10.614672660827637
161,43,19,3,7,9.816536903381348
162,20,8,6,6,-85.95275116
163,42,18,11,4,61.83910369873047
164,32,14,0,9,40.02076721191406
165,25,9,6,9,-84.45317841
166,25,9,7,9,35.68331527709961
167,26,10,7,11,36.10966110229492
168,27,11,8,6,79.85955810546875
169,26,10,6,11,-84.89907837
170,4,0,2,7,29.661352157592773
171,4,0,4,7,-16.95590591
172,20,8,3,6,8.914118766784668
173,20,8,7,6,35.60755539
174,4,0,5,7,-31.40708733
175,25,9,7,9,36.02716445922852
176,27,11,2,6,31.97958755493164
177,27,11,7,6,35.35363006591797
178,26,10,8,11,80.03975677490234
179,27,11,11,6,62.25478744506836
180,4,0,9,7,37.29902648925781
181,20,8,5,6,-31.11820793
182,42,18,10,4,54.40982055664063
183,37,17,8,3,80.33837891
184,37,17,3,3,8.160990715026855
185,37,17,5,3,-30.13283348
186,37,17,11,3,62.05529785
187,46,21,6,0,-86.86019897
188,46,21,8,0,78.77961730957031
189,45,20,7,7,37.5337142944336
190,15,5,0,6,39.984466552734375
191,20,8,0,6,40.045555114746094
192,35,16,5,5,-30.29025841
193,4,0,10,7,54.52360534667969
194,14,4,6,8,-84.72227478
195,15,5,6,6,-85.48670197
196,15,5,5,6,-28.44560242
197,15,5,8,6,79.13664245605469
198,35,16,5,5,-32.3626976
199,4,0,10,7,53.891639709472656
200,4,0,8,7,78.98306274414062
201,45,20,11,7,62.39641189575195
202,18,6,0,6,40.10917663574219
203,32,14,4,9,-16.06953239
204,32,14,3,9,10.20107364654541
205,32,14,4,9,-15.93250179
206,47,22,0,11,40.47616958618164
207,32,14,7,9,36.00669479370117
208,32,14,10,9,55.84600067138672
209,32,14,0,9,39.58865737915039
210,47,22,11,11,62.40359115600586
211,32,14,2,9,30.07666016
212,15,5,4,6,-15.87177944
213,35,16,3,5,9.085072517
214,20,8,7,6,36.35280990600586
215,32,14,11,9,63.464881896972656
216,47,22,5,11,-30.33675957
217,25,9,6,9,-85.02194214
218,27,11,3,6,9.883747100830078
219,25,9,3,9,8.564997673034668
220,25,9,10,9,56.11879348754883
221,20,8,11,6,62.50355911254883
222,32,14,11,9,62.51958465576172
223,47,22,6,11,-86.11363983
224,32,14,9,9,35.09040832519531
225,10,3,4,9,-17.22816467
226,42,18,8,4,79.40088653564453
227,42,18,8,4,80.12226867675781
228,15,5,8,6,79.54570770263672
229,14,4,6,8,-84.71733856
230,14,4,3,8,9.080177307128906
231,14,4,4,8,-16.32540703
232,14,4,11,8,62.47932434082031
233,14,4,2,8,31.29450035095215
234,10,3,2,9,32.41173172
235,14,4,4,8,-16.22606468
236,18,6,11,6,64.30882263183594
237,19,7,9,1,39.09688568115234
238,15,5,5,6,-30.56853294
239,42,18,10,4,53.83027648925781
240,9,2,0,9,40.19265365600586
241,37,17,11,3,61.83271789550781
