step,leaf_id,abstract_state,env_action,silver_class,g_value
1,64,32,6,7,-38.1425209
2,64,32,10,7,14.76649284362793
3,64,32,6,7,-37.92649078
4,64,32,8,7,57.08435821533203
5,64,32,11,7,19.14202880859375
6,64,32,3,7,-16.72851563
7,64,32,2,7,-4.823992252
8,56,27,3,7,-15.37063217
9,53,26,11,9,17.93523406982422
10,53,26,9,9,61.82033157348633
11,53,26,2,9,-7.340756893
12,53,26,8,9,54.01694869995117
13,51,24,8,1,54.279815673828125
14,64,32,11,7,18.84520912
15,64,32,6,7,-38.46506882
16,64,32,11,7,18.666820526123047
17,64,32,0,7,-30.17442322
18,64,32,7,7,-45.46649551
19,56,27,8,7,53.58526992797852
20,56,27,7,7,-45.74263763
21,53,26,9,9,61.45088195800781
22,53,26,9,9,63.86468124389648
23,53,26,0,9,-29.99362183
24,53,26,0,9,-30.08240891
25,53,26,0,9,-30.20449257
26,53,26,11,9,18.313255310058597
27,53,26,4,9,-31.16290283
28,53,26,6,9,-40.20756149
29,53,26,5,9,43.922019958496094
30,51,24,3,1,-12.76664734
31,51,24,1,1,37.83450698852539
32,59,29,6,1,-38.51203537
33,63,31,1,5,39.42782974243164
34,56,27,2,7,-7.843868732
35,56,27,8,7,57.30231857299805
36,51,24,9,1,60.15856552124024
37,59,29,6,1,-39.62378311
38,63,31,1,5,39.468727111816406
39,63,31,10,5,14.138086318969728
40,64,32,7,7,-45.86739349
41,64,32,11,7,18.48132324
42,64,32,5,7,46.98392105102539
43,64,32,3,7,-16.16777611
44,64,32,5,7,45.53702926635742
45,64,32,11,7,18.004613876342773
46,64,32,4,7,-32.62991333
47,59,29,9,1,60.80327224731445
48,63,31,10,5,13.617176055908203
49,63,31,4,5,-33.75405121
50,51,24,4,1,-33.17296219
51,59,29,4,1,-33.40347672
52,51,24,7,1,-45.39863205
53,53,26,9,9,60.07471848
54,53,26,9,9,62.61429214477539
55,53,26,7,9,-44.43458557
56,53,26,1,9,38.1124382
57,53,26,0,9,-30.7536602
58,53,26,10,9,13.324729919433594
59,53,26,1,9,37.47660827636719
60,51,24,5,1,43.27462768554688
61,59,29,11,1,17.874927520751953
62,63,31,5,5,44.42789459228516
63,59,29,5,1,44.078399658203125
64,59,29,4,1,-32.19599915
65,51,24,4,1,-31.61668396
66,63,31,7,5,-45.25033188
67,51,24,9,1,60.00231552124024
68,63,31,9,5,61.69231033325195
69,63,31,5,5,44.116329193115234
70,63,31,7,5,-45.49666595
71,64,32,5,7,44.51899719238281
72,64,32,0,7,-29.63524246
73,64,32,5,7,45.55831146240234
74,64,32,7,7,-46.21221161
75,56,27,1,7,37.139556884765625
76,50,23,8,1,57.564971923828125
77,51,24,5,1,45.69176483154297
78,51,24,4,1,-32.34587097
79,51,24,4,1,-31.9033432
80,59,29,4,1,-32.49342346
81,51,24,5,1,45.53746414
82,51,24,8,1,56.66755294799805
83,51,24,9,1,60.09209060668945
84,53,26,9,9,62.82311630249024
85,53,26,10,9,13.314821243286133
86,53,26,5,9,42.11247253417969
87,51,24,1,1,41.44112396240234
88,63,31,1,5,39.87145614624024
89,64,32,7,7,-46.41107178
90,64,32,7,7,-46.90170288
91,64,32,6,7,-38.07535553
92,64,32,4,7,-32.83360291
93,64,32,9,7,60.02843475341797
94,64,32,1,7,38.01831055
95,64,32,5,7,45.60857772827149
96,56,27,1,7,38.64123535
97,56,27,6,7,-38.39035797
98,56,27,3,7,-14.19470024
99,56,27,10,7,15.286809921264648
100,64,32,5,7,43.84545516967773
101,64,32,7,7,-46.49281693
102,56,27,4,7,-32.53294373
103,56,27,2,7,-3.738820076
104,51,24,10,1,14.995439529418944
105,63,31,9,5,60.46770858764648
106,63,31,5,5,43.276634216308594
107,59,29,4,1,-30.95816422
108,56,27,3,7,-15.35352802
109,59,29,4,1,-30.89237976
110,59,29,4,1,-31.42599106
111,63,31,5,5,46.09373856
112,63,31,7,5,-45.27820206
113,64,32,5,7,45.523773193359375
114,64,32,5,7,45.11603546142578
115,64,32,7,7,-46.18847275
116,63,31,2,5,-5.578408718
117,56,27,5,7,45.33628463745117
118,63,31,5,5,45.11725234985352
119,64,32,4,7,-32.62094116
120,64,32,11,7,16.633203506469727
121,64,32,4,7,-31.47632217
122,64,32,6,7,-38.01569748
123,52,25,3,5,-12.52643967
124,51,24,1,1,38.45249938964844
125,50,23,7,1,-45.15192795
126,52,25,4,5,-31.19848442
127,63,31,10,5,15.271236419677734
128,64,32,1,7,37.76613235473633
129,63,31,5,5,43.478614807128906
130,56,27,4,7,-34.40261078
131,51,24,10,1,14.572826385498049
132,59,29,1,1,39.31612014770508
133,59,29,7,1,-46.16082001
134,51,24,1,1,37.931739807128906
135,51,24,4,1,-31.9161911
136,53,26,4,9,-31.78981781
137,53,26,8,9,56.36013412475586
138,53,26,1,9,36.40451049804688
139,53,26,8,9,57.36263656616211
140,53,26,2,9,-6.512878895
141,53,26,5,9,45.36510467529297
142,51,24,0,1,-30.86371231
143,51,24,11,1,17.499483108520508
144,53,26,1,9,35.60158157348633
145,59,29,4,1,-33.02242279
146,51,24,1,1,37.02233887
147,59,29,4,1,-32.39912415
148,51,24,0,1,-30.21622276
149,59,29,7,1,-45.29571915
150,56,27,7,7,-46.05616379
151,64,32,7,7,-46.13144302
152,56,27,7,7,-46.14657974
153,56,27,7,7,-45.93201828
154,59,29,7,1,-45.2904129
155,56,27,4,7,-31.3832283
156,64,32,8,7,55.81617355
157,64,32,1,7,37.72433853149414
158,64,32,7,7,-47.50088882
159,64,32,4,7,-31.75358963
160,64,32,4,7,-32.19496918
161,64,32,5,7,46.52652359008789
162,64,32,2,7,-6.378882885
163,64,32,1,7,38.57997131347656
164,64,32,9,7,59.18472290039063
165,64,32,2,7,-6.67670393
166,64,32,5,7,46.31854248046875
167,64,32,1,7,38.24586105
168,64,32,4,7,-33.20606995
169,56,27,4,7,-32.39665604
170,64,32,8,7,55.845359802246094
171,64,32,1,7,37.58231735229492
172,64,32,8,7,56.898536682128906
173,64,32,4,7,-31.5022831
174,64,32,1,7,37.274070739746094
175,64,32,0,7,-31.20409393
176,64,32,0,7,-30.93148041
177,64,32,4,7,-32.54478836
178,56,27,1,7,37.10943603515625
179,64,32,7,7,-46.25163269
180,56,27,4,7,-30.91733551
181,50,23,5,1,45.25761413574219
182,51,24,9,1,60.32062149047852
183,51,24,1,1,39.55588912963867
184,53,26,3,9,-11.38817406
185,51,24,2,1,-5.901900768
186,53,26,3,9,-13.4277153
187,51,24,3,1,-16.38863373
188,51,24,10,1,15.123088836669922
189,53,26,7,9,-45.39139557
190,51,24,3,1,-14.39088058
191,64,32,11,7,17.04605484008789
192,64,32,10,7,15.111990928649902
193,64,32,9,7,61.05281448364258
194,64,32,7,7,-46.59723663
195,51,24,4,1,-29.87235832
196,51,24,11,1,17.65523910522461
197,53,26,10,9,15.289031982421877
198,53,26,10,9,14.53321361541748
199,59,29,4,1,-32.34842682
200,59,29,3,1,-17.26448631
201,59,29,0,1,-30.15573692
202,59,29,5,1,46.006813049316406
203,59,29,4,1,-32.24411774
204,63,31,2,5,-3.653401852
205,56,27,7,7,-46.04639816
206,63,31,9,5,58.86239242553711
207,64,32,1,7,39.24388122558594
208,64,32,7,7,-47.05978012
