step,leaf_id,abstract_state,env_action,silver_class,g_value
1,47,22,0,4,-49.561306
2,47,22,8,4,-7.037202835
3,47,22,7,4,-13.97268295
4,47,22,0,4,-48.31749725
5,47,22,10,4,36.08532333374024
6,47,22,2,4,-38.70390701
7,47,22,3,4,10.844533920288086
8,47,22,2,4,-39.40182877
9,47,22,4,4,27.623241424560547
10,47,22,2,4,-39.77627563
11,47,22,4,4,28.56925773620605
12,47,22,9,4,37.39110565185547
13,47,22,5,4,-10.76550865
14,47,22,11,4,-9.22297287
15,47,22,5,4,-11.44368458
16,56,27,3,3,13.262322425842283
17,47,22,9,4,37.20278549194336
18,47,22,9,4,36.751930236816406
19,59,29,10,3,34.27035140991211
20,62,31,10,7,35.53970718383789
21,62,31,0,7,-50.20293427
22,59,29,6,3,-24.09316635
23,59,29,3,3,11.51288604736328
24,59,29,2,3,-39.27613449
25,23,11,2,4,-39.5291481
26,62,31,9,7,36.47809219360352
27,62,31,9,7,35.84527587890625
28,62,31,2,7,-39.3668251
29,59,29,4,3,28.239952087402344
30,59,29,8,3,-7.041086197
31,35,16,1,4,16.733016967773438
32,35,16,7,4,-13.30118275
33,47,22,5,4,-10.34621429
34,47,22,11,4,-12.14993572
35,47,22,8,4,-7.278421879
36,47,22,2,4,-41.30888367
37,47,22,10,4,36.54220962524414
38,47,22,9,4,36.88210678100586
39,47,22,2,4,-40.03059769
40,47,22,6,4,-24.78330612
41,47,22,9,4,37.66777038574219
42,47,22,2,4,-39.91223145
43,47,22,2,4,-41.28084564
44,47,22,1,4,15.533330917358398
45,47,22,0,4,-49.75021362
46,47,22,5,4,-10.43682098
47,47,22,0,4,-49.64915085
48,47,22,6,4,-23.93970871
49,47,22,4,4,28.521764755249023
50,47,22,2,4,-39.79959106
51,47,22,4,4,28.684255599975582
52,47,22,0,4,-49.66919327
53,47,22,1,4,16.003793716430664
54,47,22,5,4,-10.47425365
55,47,22,0,4,-49.60123444
56,47,22,8,4,-6.978915215
57,47,22,3,4,9.76313591
58,47,22,11,4,-10.36996651
59,47,22,2,4,-42.38973236
60,47,22,7,4,-15.01136112
61,47,22,6,4,-25.86092949
62,47,22,11,4,-12.05563068
63,47,22,7,4,-14.34541035
64,35,16,10,4,36.91385269165039
65,48,23,5,7,-10.54256248
66,47,22,2,4,-39.91817856
67,47,22,2,4,-40.72819138
68,47,22,10,4,35.44590377807617
69,47,22,2,4,-39.47729492
70,59,29,8,3,-6.851716518
71,35,16,6,4,-24.72763443
72,35,16,3,4,10.473586082458496
73,35,16,4,4,29.27519989013672
74,59,29,9,3,37.10241699
75,62,31,5,7,-10.65859413
76,59,29,10,3,33.493160247802734
77,59,29,11,3,-10.01361561
78,48,23,3,7,11.605119705200195
79,47,22,6,4,-25.16180801
80,47,22,6,4,-23.8070488
81,47,22,6,4,-23.79986382
82,47,22,0,4,-49.54691696
83,47,22,4,4,28.88667678833008
84,47,22,6,4,-25.01736259
85,47,22,11,4,-12.77557755
86,47,22,2,4,-42.69738007
87,47,22,7,4,-14.44814014
88,47,22,9,4,35.56774139404297
89,35,16,11,4,-7.267450333
90,59,29,2,3,-40.09070206
91,59,29,8,3,-10.66620064
92,59,29,3,3,13.497711181640623
93,59,29,5,3,-11.16273308
94,59,29,0,3,-49.30054092
95,23,11,8,4,-6.892148495
96,23,11,0,4,-48.96682739
97,59,29,4,3,28.05780601501465
98,59,29,5,3,-9.769423485
99,35,16,8,4,-6.540215015
100,35,16,5,4,-10.52214622
101,35,16,10,4,35.35356903076172
102,35,16,1,4,15.751087188720703
103,23,11,3,4,10.969362258911133
104,23,11,3,4,10.03852081298828
105,62,31,4,7,28.664390563964844
106,59,29,0,3,-48.31337738
107,59,29,10,3,36.79108047485352
108,59,29,5,3,-9.41620636
109,35,16,4,4,28.558053970336918
110,47,22,7,4,-13.53106213
111,47,22,6,4,-23.11492348
112,47,22,3,4,12.822223663330078
113,47,22,5,4,-8.40117836
114,47,22,6,4,-20.76321983
115,47,22,10,4,29.941164016723636
116,47,22,9,4,33.33992004394531
117,47,22,0,4,-46.15102005
118,47,22,7,4,-10.58605003
119,47,22,0,4,-44.93863297
120,47,22,3,4,14.806744575500488
121,35,16,9,4,30.775747299194336
122,35,16,5,4,-7.480869293
123,59,29,9,3,28.10668182373047
124,59,29,4,3,29.070106506347656
125,23,11,4,4,30.043201446533203
126,62,31,4,7,30.039968490600582
127,23,11,4,4,30.41553307
128,23,11,5,4,-6.81866312
129,23,11,6,4,-16.42873192
130,62,31,9,7,27.697065353393555
131,62,31,4,7,30.65372657775879
132,23,11,6,4,-16.28171158
133,59,29,10,3,22.212276458740234
134,59,29,5,3,-5.135127544
135,59,29,9,3,27.81102943
136,62,31,11,7,-0.759209037
137,59,29,4,3,32.94456481933594
138,59,29,4,3,33.41453170776367
139,48,23,4,7,33.769474029541016
140,35,16,5,4,-3.869815111
141,35,16,0,4,-40.134758
142,23,11,6,4,-13.21890354
143,23,11,5,4,-3.252150297
144,23,11,4,4,29.650144577026367
145,23,11,4,4,30.008459091186523
146,61,30,4,3,29.60126495361328
147,23,11,4,4,30.047527313232425
148,61,30,4,3,29.58503150939941
149,23,11,7,4,-3.683079481
150,35,16,4,4,30.10749053955078
151,35,16,6,4,-11.40358639
152,47,22,11,4,-0.300836205
153,47,22,4,4,30.49765014648437
154,47,22,4,4,29.972925186157227
155,47,22,4,4,29.686595916748047
156,47,22,5,4,1.5445663928985596
157,47,22,4,4,28.905689239501957
158,47,22,4,4,29.47781753540039
159,47,22,9,4,25.71134376525879
160,47,22,5,4,2.6411821842193604
161,47,22,3,4,22.13821601867676
162,47,22,6,4,-7.948541164
163,47,22,6,4,-7.749999523
164,47,22,4,4,28.80195617675781
165,47,22,4,4,29.95438575744629
166,47,22,6,4,-7.251080036
167,47,22,6,4,-7.222616196
168,47,22,4,4,28.65616226196289
169,47,22,11,4,5.747230529785156
170,47,22,4,4,29.750003814697266
171,47,22,0,4,-32.26150894
172,47,22,10,4,26.037168502807617
173,47,22,5,4,6.064916610717773
174,47,22,4,4,29.79646873474121
175,47,22,7,4,0.036242843
176,23,11,1,4,9.18092441558838
177,6,1,4,4,29.80742073059082
178,23,11,8,4,7.722982883453369
179,23,11,1,4,9.275432586669922
180,23,11,5,4,7.415865421295166
181,23,11,4,4,28.491962432861328
182,23,11,2,4,-6.758991718
183,23,11,10,4,30.0410099
184,23,11,3,4,21.979360580444336
185,23,11,5,4,9.992197036743164
186,23,11,0,4,-31.29782295
187,23,11,10,4,28.301197052001957
188,23,11,9,4,27.02389144897461
189,23,11,11,4,14.494855880737305
