step,leaf_id,abstract_state,env_action,silver_class,g_value
1,45,21,7,6,14.711870217323304
2,42,19,8,5,-15.81763389112738
3,42,19,7,5,14.800794911384582
4,47,23,11,6,-5.433876131729297
5,47,23,3,6,29.12067117802368
6,47,23,1,6,-10.270143844285254
7,42,19,10,5,-2.0664047718000003
8,50,25,5,5,-18.403709433400003
9,50,25,2,5,13.946761702484867
10,49,24,4,5,-15.485256387186036
11,50,25,1,5,-11.219723389660595
12,50,25,0,5,31.760338783166603
13,50,25,1,5,-10.718606615268948
14,50,25,6,5,0.3239841460780273
15,50,25,4,5,-15.43945979773755
16,50,25,2,5,13.482863616714845
17,50,25,0,5,31.7794501542918
18,50,25,7,5,14.639922523498537
19,50,25,3,5,29.00957818026836
20,50,25,6,5,1.1012532220835451
21,50,25,9,5,11.965084099769593
22,50,25,3,5,27.58307030200958
23,50,25,8,5,-15.40294800867874
24,47,23,10,6,-1.280080366139722
25,47,23,11,6,-5.4141037925060065
26,47,23,0,6,30.738958215837503
27,46,22,8,4,-15.77026008404648
28,45,21,9,6,11.66890363693237
29,45,21,3,6,27.155871653556826
30,45,21,1,6,-10.176209427341993
31,45,21,2,6,12.996031381510743
32,45,21,1,6,-10.314260602565918
33,45,21,11,6,-6.16004657848955
34,45,21,11,6,-5.651290844647631
35,46,22,8,4,-15.65650746084514
36,45,21,6,6,0.4084462403533329
37,43,20,8,3,-15.662842952521517
38,45,21,3,6,28.703168152024535
39,43,20,10,3,-1.7928907868526127
40,49,24,11,5,-4.91515941633645
41,50,25,10,5,-1.875764560650708
42,47,23,11,6,-5.3548202977921635
43,47,23,0,6,30.760536575457422
44,47,23,7,6,14.726239657402036
45,50,25,3,5,29.012663555145267
46,50,25,9,5,11.74025001525879
47,34,16,5,11,-18.1816014767
48,34,16,1,11,-10.667124127400001
49,34,16,5,11,-18.142674779300002
50,34,16,8,11,-15.76546408502019
51,34,16,4,11,-15.028498649999511
52,34,16,7,11,14.167420244216919
53,34,16,10,11,-1.6794802189193112
54,36,17,10,6,-1.5140574929513912
55,36,17,3,6,29.022987985610964
56,36,17,3,6,28.84041843476807
57,36,17,8,6,-15.487179386400912
58,42,19,0,5,30.712490224716017
59,42,19,2,5,13.435630801128909
60,42,19,7,5,14.130177426338197
61,42,19,7,5,14.457099461555481
62,42,19,4,5,-15.306587268581666
63,50,25,1,5,-10.690936279819727
64,50,25,5,5,-18.2922121981
65,49,24,9,5,11.924851894378662
66,50,25,3,5,28.30254464149475
67,50,25,11,5,-5.115120983248144
68,50,25,8,5,-15.554721974439822
69,50,25,8,5,-15.523940610541873
70,50,25,1,5,-10.678888224566307
71,42,19,4,5,-15.386502931871338
72,46,22,2,4,13.030744553554197
73,46,22,9,4,12.400588572025299
74,46,22,11,4,-5.870376871958838
75,46,22,8,4,-15.413840986372378
76,42,19,10,5,-2.0414600850351805
77,46,22,2,4,13.528460694833008
78,46,22,2,4,13.458250616007813
79,46,22,8,4,-15.317424011625
80,49,24,3,5,28.67029190048565
81,49,24,11,5,-5.188177491384327
82,49,24,8,5,-15.401515029474185
83,50,25,0,5,29.81154036644805
84,50,25,0,5,30.32350049021094
85,50,25,3,5,29.107667922973633
86,49,24,3,5,28.85997633934021
87,49,24,10,5,-1.9739047526392333
88,46,22,3,4,29.064533042407717
89,42,19,4,5,-15.304238318529787
90,42,19,1,5,-10.624255561338476
91,47,23,0,6,32.05013630403282
92,42,19,11,5,-5.460662269227343
93,47,23,6,6,0.8139700890576176
94,42,19,11,5,-5.527382897897633
95,49,24,4,5,-15.360040998100004
96,49,24,7,5,14.11188714504242
97,47,23,6,6,0.4341067314757323
98,42,19,8,5,-15.76200720556511
99,42,19,0,5,30.80980877874238
100,42,19,0,5,30.8917838563961
101,42,19,7,5,12.883202552795412
102,47,23,9,6,17.885778522491456
103,47,23,9,6,19.565714740730176
104,47,23,9,6,21.396312618255614
105,47,23,9,6,20.421601009368896
106,47,23,9,6,17.32690496444702
107,47,23,8,6,19.01645493508623
108,42,19,5,5,15.44192571640015
109,42,19,5,5,16.648723125457764
110,42,19,5,5,15.785554790496828
111,50,25,5,5,13.966312789916993
112,49,24,5,5,11.454025745391846
113,49,24,5,5,9.164157795906066
114,49,24,5,5,6.264756575885035
115,49,24,5,5,3.10305221244629
116,50,25,5,5,0.1774009467366212
117,49,24,5,5,-3.2408484458999998
118,49,24,7,5,-5.6912414203
119,49,24,7,5,-5.8986144781
120,49,24,7,5,-6.045715069700001
121,50,25,11,5,-4.895748054300001
122,50,25,11,5,-5.426020948500001
123,50,25,11,5,-5.428939996285947
124,50,25,11,5,-5.430487205057747
125,49,24,11,5,-5.091275826067371
126,49,24,8,5,-5.701148821518934
127,49,24,8,5,-4.832870274078471
128,49,24,0,5,0.8422326981219821
129,49,24,0,5,1.5700392126221865
130,49,24,0,5,2.252144050618726
131,50,25,0,5,2.9427729604801023
132,50,25,0,5,2.855201053558447
133,50,25,9,5,0.4468106985062501
134,50,25,9,5,1.2217367768594727
135,50,25,9,5,2.700062614800001
136,50,25,9,5,3.388707566220715
137,50,25,9,5,4.4503753185716075
138,50,25,9,5,4.925746512304955
139,50,25,9,5,4.744585394798268
140,50,25,4,5,3.3721076249611572
141,50,25,4,5,3.5365004419295896
142,50,25,4,5,3.4232305527749998
143,50,25,4,5,2.8441504715676755
144,50,25,1,5,2.3273975729687986
145,49,24,1,5,1.88515439043916
146,49,24,1,5,1.7064203501638189
147,49,24,3,5,3.8130384682515506
148,49,24,3,5,4.04966049190249
149,49,24,3,5,4.070986437901514
150,49,24,3,5,4.012181472887305
151,49,24,8,5,3.1616423011859376
152,50,25,8,5,3.458358121002246
153,50,25,11,5,5.465724802058081
154,50,25,11,5,5.853673982692822
155,47,23,11,6,6.255424642633324
156,47,23,11,6,6.033053946623412
157,47,23,2,6,4.007531015479937
158,47,23,2,6,4.622538083684204
159,47,23,2,6,5.406260824257838
160,47,23,2,6,6.470901870620311
161,47,23,2,6,7.384216737598292
162,50,25,2,5,7.825905895107471
163,50,25,10,5,8.084917795787018
164,50,25,10,5,8.285866570512342
165,50,25,10,5,7.96711442484723
166,50,25,10,5,7.20246515277263
167,50,25,10,5,6.05399780274126
168,50,25,6,5,6.194043350145019
169,50,25,6,5,6.3047777177108895
170,50,25,6,5,5.939794921736134
171,50,25,6,5,5.387352467243897
172,50,25,6,5,4.327894783379639
173,50,25,6,5,2.793207169042725
174,50,25,8,5,2.4950469008312988
175,50,25,8,5,2.251155662698486
176,50,25,8,5,1.6793222424057626
177,50,25,8,5,0.9908564104080808
178,50,25,8,5,0.12134971633398361
179,50,25,8,5,-0.4597035408370127
180,50,25,8,5,-1.2054440020339348
181,50,25,8,5,-1.815583754508692
182,50,25,8,5,-2.8531592378820805
183,50,25,5,5,-2.878853034005763
184,50,25,5,5,-3.760939932267774
185,50,25,5,5,-4.249804688435791
186,50,25,5,5,-4.423811148048927
