step,leaf_id,abstract_state,env_action,silver_class,g_value
1,74,36,2,3,-3.809261251753345
2,8,2,5,11,-2.491810129779785
3,8,2,11,11,4.033698534984562
4,8,2,1,11,6.765989649295808
5,8,2,5,11,-2.3658971797280284
6,74,36,0,3,6.861683322527345
7,74,36,8,3,-20.05893588288806
8,7,1,11,11,4.165618943924927
9,7,1,11,11,4.048854541303955
10,74,36,8,3,-20.07737755791858
11,74,36,0,3,7.1443539367812505
12,74,36,1,3,6.596907234191895
13,74,36,5,3,-2.4979916549130863
14,7,1,8,11,-20.0061923496
15,7,1,5,11,-2.3772371260917975
16,7,1,1,11,6.560416281223298
17,7,1,10,11,-1.6190219157791141
18,74,36,9,3,7.349693155408447
19,74,36,9,3,7.259952735900878
20,74,36,5,3,-2.626089572952149
21,74,36,11,3,4.074732066397585
22,74,36,2,3,-3.766631198891187
23,8,2,1,11,6.354163646697998
24,8,2,4,11,-4.288952447060449
25,8,2,1,11,6.424461042881012
26,8,2,2,11,-3.731360696679444
27,8,2,7,11,13.965406203262305
28,8,2,5,11,-2.494753549714357
29,8,2,8,11,-19.82248320634851
30,84,41,8,6,-19.808196160809814
31,84,41,9,6,7.294452857971191
32,84,41,0,6,7.204651928039843
33,84,41,1,6,6.771842801570894
34,84,41,8,6,-19.979782107205565
35,84,41,9,6,7.127571392059325
36,84,41,11,6,4.275068761057863
37,84,41,1,6,6.629844796657562
38,85,42,8,2,-19.941174937592407
39,85,42,9,2,7.2749917030334466
40,85,42,8,2,-19.9686826706
41,85,42,10,2,-1.467177677176026
42,56,26,2,8,-3.5798470256297854
43,23,10,7,9,14.019749736752637
44,19,7,8,1,-20.118941736356568
45,75,37,5,3,-2.4182354959199213
46,75,37,9,3,7.238288115777587
47,75,37,9,3,7.1004753589630125
48,75,37,8,3,-20.1603848445
49,75,37,11,3,4.4571612828148215
50,75,37,10,3,-1.677778173869934
51,75,37,9,3,7.182058191299438
52,75,37,5,3,-2.287096309085449
53,56,26,8,8,-19.6585418678291
54,19,7,4,1,-4.5038628332830095
55,19,7,0,1,7.316023397297657
56,23,10,8,9,-20.00308565956482
57,49,22,7,1,13.780373525543848
58,49,22,9,1,7.205194997787475
59,49,22,2,1,-3.5819908382953862
60,85,42,8,2,-20.0990450872
61,85,42,3,2,-2.896665144147656
62,85,42,7,2,13.526183438382422
63,49,22,0,1,7.261249876030471
64,85,42,0,2,7.193687819703907
65,85,42,0,2,7.1980958936562525
66,85,42,4,2,-4.398113966969921
67,85,42,1,2,6.456908106803895
68,85,42,8,2,-19.957583617635745
69,46,20,3,4,-2.3775158881285643
70,46,20,5,4,-2.511348437314452
71,85,42,8,2,-19.83608059754114
72,46,20,6,4,6.1867067336496095
73,23,10,9,9,7.0456657886505125
74,23,10,8,9,-19.886554291018435
75,56,26,0,8,7.155699252108596
76,56,26,3,8,-2.1478165148873534
77,49,22,7,1,13.759477710724315
78,49,22,4,1,-4.508214236979006
79,85,42,7,2,13.722700953487207
80,85,42,8,2,-19.81421990465979
81,85,42,6,2,6.042686844924608
82,85,42,0,2,7.158936835651562
83,85,42,3,2,-2.1702787399229004
84,85,42,10,2,-1.6927804948375982
85,85,42,6,2,6.26080121986953
86,49,22,3,1,-2.0641015530295412
87,49,22,0,1,7.104322432144533
88,49,22,0,1,7.139930677689845
89,85,42,8,2,-19.841049527292846
90,85,42,11,2,3.943638085346315
91,85,42,2,2,-3.628872823920313
92,85,42,11,2,3.8029528133316655
93,85,42,8,2,-19.801547480121705
94,85,42,1,2,6.539917767076202
95,56,26,11,8,4.250552558931154
96,56,26,9,8,7.476599216461182
97,56,26,9,8,7.317725372314452
98,56,26,8,8,-19.97243008807727
99,49,22,9,1,7.260572099685669
100,56,26,9,8,7.419705867767335
101,85,42,3,2,-2.498515844565185
102,85,42,9,2,7.244217825049658
103,49,22,8,1,-19.904367208628294
104,49,22,6,1,6.183182716496875
105,49,22,3,1,-2.0380718230647457
106,49,22,8,1,-19.860226535329346
107,49,22,9,1,7.1622484684480465
108,85,42,2,2,-3.5315224634000004
109,49,22,11,1,4.697652053941408
110,49,22,7,1,13.99172554008467
111,19,7,3,1,-2.3058670041535643
112,75,37,9,3,7.112852525711059
113,75,37,8,3,-20.10354642898218
114,75,37,5,3,-2.093014909706543
115,75,37,7,3,14.12742006782881
116,75,37,7,3,14.109593963495605
117,75,37,9,3,7.266931772232056
118,75,37,11,3,4.605504179652711
119,75,37,10,3,-1.9124628306251588
120,75,37,8,3,-19.650681781
121,75,37,0,3,6.9439333920789075
122,75,37,3,3,-2.2680079938221924
123,19,7,1,1,6.665437531471253
124,84,41,8,6,-19.965730524820923
125,46,20,3,4,-2.4034331799573727
126,46,20,10,4,-1.5878571496477056
127,46,20,4,4,-4.812391519348243
128,84,41,8,6,-19.610339071905518
129,46,20,6,4,6.069229698072266
130,46,20,8,4,-19.61966986557654
131,46,20,11,4,4.12859897687793
132,84,41,8,6,-19.886656473898196
133,46,20,7,4,14.63644058692207
134,46,20,9,4,7.2291943550109865
135,46,20,1,4,7.051057922840118
136,49,22,2,1,-3.332286727362427
137,56,26,1,8,6.8612001657485955
138,23,10,2,9,-3.4713500276045903
139,75,37,7,3,14.021252512947461
140,23,10,0,9,7.296399689089845
141,23,10,5,9,-2.3239452379814445
142,53,24,9,8,7.3398902893066404
143,53,24,9,8,7.121899223327637
