step,leaf_id,abstract_state,env_action,silver_class,g_value
1,80,40,7,1,35.46900177001953
2,29,13,11,0,63.17145919799805
3,29,13,9,0,36.08488082885742
4,42,20,5,6,-32.05418015
5,35,15,5,4,-30.7007637
6,35,15,4,4,-17.77452087
7,35,15,5,4,-30.5872364
8,33,14,10,2,55.56108474731445
9,37,17,9,6,39.94758224487305
10,37,17,7,6,34.78181457519531
11,33,14,10,2,54.462188720703125
12,41,19,4,6,-17.26136208
13,29,13,10,0,56.16138458251953
14,29,13,1,0,-52.34629822
15,29,13,3,0,9.336804389953612
16,41,19,10,6,55.83483887
17,41,19,10,6,54.20518875
18,41,19,10,6,54.522117614746094
19,41,19,2,6,31.68787002563477
20,29,13,11,0,60.6015625
21,29,13,6,0,-86.56237793
22,24,10,11,9,61.531192779541016
23,29,13,0,0,41.26502990722656
24,29,13,11,0,63.10011672973633
25,29,13,10,0,55.81753158569336
26,78,38,8,4,78.09226989746094
27,78,38,3,4,8.288882256
28,78,38,2,4,30.235015869140625
29,78,38,11,4,62.56190109
30,78,38,2,4,31.671222686767575
31,80,40,2,1,29.79762077331543
32,78,38,2,4,29.70621109008789
33,78,38,1,4,-47.77150726
34,78,38,2,4,30.83488655090332
35,80,40,3,1,9.752301216125488
36,41,19,7,6,35.93608093261719
37,33,14,9,2,38.52401351928711
38,33,14,2,2,34.01128387451172
39,37,17,10,6,54.45394515991211
40,37,17,9,6,39.88736724853516
41,37,17,11,6,60.48729705810547
42,37,17,2,6,31.187164306640625
43,36,16,0,2,40.67865753173828
44,36,16,4,2,-16.00525284
45,29,13,2,0,30.37816619873047
46,36,16,2,2,31.44919204711914
47,24,10,10,9,54.69182586669922
48,28,12,0,9,40.37326431274414
49,39,18,10,6,55.90192031860352
50,39,18,11,6,62.99293137
51,39,18,10,6,54.16181564331055
52,39,18,10,6,54.574005126953125
53,39,18,8,6,78.31626892089844
54,33,14,9,2,37.68915939331055
55,39,18,8,6,79.09432983398438
56,35,15,0,4,40.15283966064453
57,39,18,4,6,-16.37346458
58,35,15,3,4,7.549847602844238
59,35,15,7,4,36.03386688232422
60,27,11,8,2,79.47220611572266
61,39,18,11,6,62.94183349609375
62,39,18,7,6,35.629764556884766
63,33,14,9,2,35.456600189208984
64,33,14,11,2,60.93538284301758
65,37,17,11,6,61.27156829833984
66,37,17,11,6,61.74578475952149
67,36,16,4,2,-16.34203148
68,28,12,1,9,-52.47315598
69,27,11,8,2,78.38773345947266
70,27,11,2,2,31.438024520874023
71,39,18,9,6,39.81953048706055
72,39,18,2,6,36.38836669921875
73,39,18,1,6,-49.34817886
74,39,18,6,6,-85.05007935
75,27,11,8,2,79.77685547
76,27,11,0,2,40.07900238037109
77,39,18,2,6,31.138748168945312
78,35,15,6,4,-84.4959259
79,39,18,7,6,35.77006530761719
80,24,10,5,9,-30.19674492
81,78,38,7,4,35.51350402832031
82,24,10,5,9,-31.5915966
83,24,10,6,9,-84.84654236
84,35,15,3,4,9.022792816
85,37,17,1,6,-51.77570343
86,35,15,5,4,-30.36589241
87,35,15,0,4,40.42537689208984
88,39,18,11,6,62.735931396484375
89,39,18,7,6,35.63792037963867
90,24,10,8,9,78.95490264892578
91,78,38,5,4,-31.86996269
92,70,34,9,7,36.61441040039063
93,70,34,7,7,37.92779541015625
94,33,14,7,2,37.82046890258789
95,35,15,2,4,32.54862976074219
96,37,17,6,6,-84.50641632
97,37,17,4,6,-16.28549576
98,37,17,1,6,-50.82535934
99,37,17,9,6,38.89795303344727
100,37,17,9,6,38.876686096191406
101,37,17,5,6,-30.13032341
102,37,17,8,6,79.97674560546875
103,37,17,7,6,36.097267150878906
104,37,17,3,6,9.595585823059082
105,37,17,6,6,-84.92301178
106,35,15,6,4,-85.04723358
107,35,15,3,4,8.900151252746582
108,35,15,6,4,-85.46053314
109,37,17,9,6,39.29753112792969
110,37,17,5,6,-30.24265289
111,37,17,11,6,60.90324783325195
112,37,17,5,6,-30.77476311
113,37,17,10,6,56.18640137
114,37,17,3,6,10.66048812866211
115,37,17,7,6,36.75272750854492
116,35,15,3,4,9.899359703063965
117,70,34,8,7,79.17582702636719
118,70,34,7,7,36.92217254638672
119,70,34,6,7,-85.17617035
120,24,10,11,9,62.64706802368164
121,70,34,9,7,37.62198257446289
122,70,34,3,7,10.415789604187012
123,70,34,11,7,61.484222412109375
124,39,18,9,6,39.47671508789063
125,39,18,6,6,-85.07574463
126,35,15,6,4,-85.18340302
127,39,18,5,6,-30.45985031
128,35,15,6,4,-84.96237946
129,39,18,4,6,-16.2644062
130,39,18,5,6,-30.00168419
131,33,14,3,2,7.545777320861816
132,33,14,4,2,-16.22222137
133,37,17,6,6,-84.55749512
134,37,17,0,6,40.17133331298828
135,37,17,7,6,35.58292388916016
136,37,17,6,6,-84.26356506
137,37,17,6,6,-84.21818542
138,37,17,1,6,-50.70038986
139,37,17,2,6,32.788612365722656
140,37,17,7,6,35.37477493286133
141,37,17,0,6,39.246620178222656
142,37,17,8,6,79.98364258
143,33,14,3,2,9.452635765075684
144,33,14,7,2,36.77695083618164
145,33,14,0,2,39.96749114990234
146,37,17,9,6,38.81481934
147,37,17,0,6,39.78447723388672
148,37,17,10,6,55.99242782592773
149,37,17,6,6,-84.56768036
150,37,17,5,6,-29.6756115
151,37,17,11,6,62.5098877
152,37,17,8,6,79.31426239013672
153,33,14,4,2,-18.08766174
154,33,14,5,2,-32.53255463
155,24,10,0,9,40.34579849243164
156,39,18,9,6,38.10151672363281
157,39,18,3,6,9.461812019348145
158,78,38,7,4,38.12213516235352
159,24,10,11,9,61.733516693115234
160,24,10,3,9,10.614672660827637
161,35,15,3,4,9.816536903381348
162,35,15,6,4,-85.95275116
163,35,15,11,4,61.83910369873047
164,37,17,0,6,40.02076721191406
165,37,17,6,6,-84.45317841
166,37,17,7,6,35.68331527709961
167,37,17,7,6,36.10966110229492
