source_state,target_state,transition_count,source_visits,transition_probability,mean_source_g,mean_target_g,delta_mean_g
7,7.0,32,36,0.8888888888888888,-34.297275098305555,-34.297275098305555,0.0
4,4.0,195,222,0.8783783783783784,-35.69020769749099,-35.69020769749099,0.0
0,3.0,84,98,0.8571428571428571,-40.5156754202551,-41.617101731997195,-1.1014263117420953
3,3.0,607,712,0.8525280898876404,-41.611478474123594,-41.617101731997195,-0.005623257873601517
5,2.0,72,86,0.8372093023255814,-38.41709678155814,-39.67032511633041,-1.2532283347722668
25,25.0,364,435,0.8367816091954023,-11.6278116052097,-11.6278116052097,0.0
21,21.0,228,300,0.76,-15.931258930805479,-16.033744312571798,-0.1024853817663196
17,17.0,30,40,0.75,-20.400360129274333,-20.400360129274333,0.0
18,18.0,18,24,0.75,-23.99331994883333,-23.99331994883333,0.0
15,15.0,277,376,0.7367021276595744,-27.186388721723404,-27.186388721723404,0.0
