step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,q_a0_scalar,q_a1_scalar,q_a2_scalar,q_a3_scalar,q_a4_scalar,q_a5_scalar,q_a6_scalar,q_a7_scalar,q_a8_scalar,q_a9_scalar,q_a10_scalar,q_a11_scalar,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_total_ues,feat_nb_resources
1,DQN,Scalar,SingleObjective_RDX,0,9,9,0,Action 0 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 9): -86.2768. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-10,-10.06894847,-29.58466813,-49.561306,36.715476989746094,-86.27677917,-49.561306,16.667224884033203,-40.33100891,10.815553665161133,28.79836654663086,-10.2770052,-24.13229561,-13.02554607,-7.01566267,36.715476989746094,35.23474884033203,-12.21450806,26,196.625,16,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,0,0,2.798828125,0,0,0,144,278.28570556640625,0,1027.4285888671875,34,7
2,DQN,Scalar,SingleObjective_RDX,8,9,9,0,Action 8 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 8 vs highest-Q action (action 9): -43.6698. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.120383817,-0.071807409,-18.08519001,-7.037202835,36.632564544677734,-43.66976929,-49.60477066,16.568567276000977,-40.38908768,10.82269573,28.74641227722168,-10.28879547,-24.12477493,-12.9926672,-7.037202835,36.632564544677734,35.14619064331055,-12.18912983,26,196.625,16,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,5.59765625,0.009270259,0.013015747,0,144,278.28570556640625,0,1027.4285888671875,37,7
3,DQN,Scalar,SingleObjective_RDX,7,10,10,0,Action 7 was executed; the highest-Q action (action 10) was not chosen (possible cause: exploration or policy not converged). Q-value of action 7 vs highest-Q action (action 10): -51.5181. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20.12038382,-20.06925,-39.58617069,-13.97268295,37.54544448852539,-51.51812744,-47.98035049,17.205886840820312,-41.0078125,9.52674675,30.582468032836914,-10.2153101,-24.94318008,-13.97268295,-6.394422054,36.88282775878906,37.54544448852539,-10.64234066,26,196.625,12,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,8.396484375,0.009668623,0.014732361,0.018275669,144,278.28570556640625,0,1027.2857666015625,37,7
4,DQN,Scalar,SingleObjective_RDX,0,9,9,0,Action 0 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 9): -85.2313. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-10.12038382,-10.06982149,-29.58715142,-48.31749725,36.913787841796875,-85.2312851,-48.31749725,17.101043701171875,-40.85962677,9.840994834899902,30.189151763916016,-10.16091156,-24.71218872,-13.72855663,-6.588240147,36.913787841796875,36.817134857177734,-11.04780388,26,196.625,12,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,11.1953125,0.009312221,0.014198303,0.018275669,144,278.28570556640625,0,1027.2857666015625,36,7
5,DQN,Scalar,SingleObjective_RDX,10,9,9,0,Action 10 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 9): -0.7632. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.114932364,-18.0871937,36.085323333740234,36.84851837158203,-0.763195038,-48.74146271,16.936710357666016,-40.82675934,10.247259140014648,29.67616081237793,-10.17623901,-24.5376358,-13.48038006,-6.84041214,36.84851837158203,36.085323333740234,-11.43353271,26,196.625,12,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,13.99414063,0.009391785,0.012931824,0.018275669,144,278.28570556640625,0,1027.2857666015625,36,7
6,DQN,Scalar,SingleObjective_RDX,2,9,9,0,Action 2 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 9): -75.9895. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.119734256,-1.867375502,-18.08717189,-38.70390701,37.28562927246094,-75.98953247,-50.87862396,14.518640518188477,-38.70390701,11.159774780273438,25.652660369873047,-10.66023636,-24.5876255,-12.43301105,-8.133318901,37.28562927246094,34.65152359008789,-11.07182503,26,196.625,16,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,16.79296875,0.016587939113378525,0.059295654,0.027361188,143,278.1428527832031,0,1027.2857666015625,36,7
7,DQN,Scalar,SingleObjective_RDX,3,9,9,0,Action 3 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 9): -25.6016. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.119734256,-1.874919086,-18.08815266,10.844533920288086,36.44618225097656,-25.60164833,-50.57331848,14.280580520629883,-39.18284607,10.844533920288086,26.388444900512695,-10.66036987,-24.59634781,-12.56376171,-7.64519453,36.44618225097656,34.90671920776367,-11.86973381,24,194.625,16,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,19.59179688,0.7808189392089844,5.41015625,0.036446709,143,278.1428527832031,0,1027.142822265625,36,7
8,DQN,Scalar,SingleObjective_RDX,2,9,9,0,Action 2 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 9): -77.8723. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.174621906,-1.867115449,-18.08879932,-39.40182877,38.47046661376953,-77.87229919,-50.24148178,14.769634246826172,-39.40182877,9.622554779052734,27.0911808,-9.384185791,-25.32060051,-13.99991131,-7.796029568,38.47046661376953,37.76133728027344,-10.75307655,24,194.625,16,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,22.390625,0.7880047559738159,5.41015625,0.045532227,143,278,0,1027.142822265625,36,7
9,DQN,Scalar,SingleObjective_RDX,4,9,9,0,Action 4 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 4 vs highest-Q action (action 9): -9.2440. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-20,-21.90274364,-39.58978017,27.623241424560547,36.867271423339844,-9.244029999,-50.11149979,14.812274932861328,-39.92208862,9.993860244750977,27.623241424560547,-9.955947876,-24.99681473,-13.33999729,-7.182866573,36.867271423339844,36.64057540893555,-12.13363457,22,192.625,16,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,25.18945313,0.7806004285812378,5.41015625,0.045532227,143,278,0,1027,35,7
10,DQN,Scalar,SingleObjective_RDX,2,9,9,0,Action 2 was executed; the highest-Q action (action 9) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 9): -76.4046. [DQN: single-objective algorithm. q_a{i}_scalar columns contain per-action Q values for SHAP. Reward decomposition not applicable.],-0.061658095,-0.069829314,-18.09042691,-39.77627563,36.62834167480469,-76.40461731,-49.64025879,16.524742126464844,-39.77627563,11.120105743408203,28.49798011779785,-10.39299774,-24.08885765,-12.96247196,-6.951900482,36.62834167480469,35.60028076171875,-11.69722366,22,192.625,20,100.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,27.98828125,0.8143877387046814,5.41015625,0.045532227,143,278,0,1027,34,7
