step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_steps_since_last_mtd,feat_total_ues,feat_nb_resources
1,DQN,Scalar,SingleObjective_RDX,0,4,4,0,Action 0 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 4): -70.6783. [DQN: single-objective algorithm. Reward decomposition not applicable.],-10.0,-10.068819211389378,-29.584668134477152,13.470439910888672,84.14874267578125,-70.67829895019531,26.0,196.625,16.0,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,0.0,0.0,2.798828125,0.0,0.0,0.0,144.0,278.28570556640625,0.0,1027.4285888671875,1.0,34.0,7.0
2,DQN,Scalar,SingleObjective_RDX,8,4,4,0,Action 8 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 8 vs highest-Q action (action 4): -118.6979. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.12038381735644083,-0.06821187607834926,-18.085190006790555,-34.40317916870117,84.29475402832031,-118.69793701171875,26.0,196.625,16.0,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,5.59765625,0.009252275340259075,0.01523590087890625,0.0,144.0,278.28570556640625,0.0,1027.4285888671875,0.0,37.0,7.0
3,DQN,Scalar,SingleObjective_RDX,7,4,4,0,Action 7 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 7 vs highest-Q action (action 4): -122.9959. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.12038381735644,-20.068380399621898,-39.586170688844035,-37.254310607910156,85.74163818359375,-122.9959487915039,26.0,196.625,12.0,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,8.396484375,0.009167807176709175,0.01343536376953125,0.01827566884458065,144.0,278.28570556640625,0.0,1027.2857666015625,1.0,36.0,7.0
4,DQN,Scalar,SingleObjective_RDX,0,4,4,0,Action 0 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 0 vs highest-Q action (action 4): -71.8097. [DQN: single-objective algorithm. Reward decomposition not applicable.],-10.12038381735644,-10.067710056437049,-29.587151417000413,13.375083923339844,85.18482971191406,-71.80974578857422,26.0,196.625,12.0,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,11.1953125,0.009191240184009075,0.01317596435546875,0.01827566884458065,144.0,278.28570556640625,0.0,1027.2857666015625,2.0,36.0,7.0
5,DQN,Scalar,SingleObjective_RDX,10,4,4,0,Action 10 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 10 vs highest-Q action (action 4): -78.1702. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-0.11507075614883451,-18.0871937007753,6.4887919425964355,84.65899658203125,-78.17020416259766,26.0,196.625,12.0,88.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,13.994140625,0.009098052978515625,0.0133514404296875,0.01827566884458065,144.0,278.28570556640625,0.0,1027.2857666015625,0.0,35.0,7.0
6,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -136.6578. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.11973425578764521,-1.8672081939061347,-18.087171889557126,-52.32553482055664,84.33222198486328,-136.6577606201172,26.0,196.625,16.0,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,16.79296875,0.01660810224711895,0.059295654296875,0.0273611880838871,143.0,278.1428527832031,0.0,1027.2857666015625,0.0,35.0,7.0
7,DQN,Scalar,SingleObjective_RDX,3,4,4,0,Action 3 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 3 vs highest-Q action (action 4): -124.5281. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.11973425578764521,-1.874747710606408,-18.088152664778193,-39.84191131591797,84.6861572265625,-124.52806854248047,24.0,194.625,16.0,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,19.591796875,0.7806783318519592,5.41015625,0.0364467091858387,143.0,278.1428527832031,0.0,1027.142822265625,0.0,33.0,7.0
8,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -135.5596. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.17462190577792255,-1.8672847183070207,-18.088799321703647,-51.648712158203125,83.91087341308594,-135.55958557128906,24.0,194.625,16.0,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,22.390625,0.7878984808921814,5.41015625,0.0455322265625,143.0,278.0,0.0,1027.142822265625,0.0,34.0,7.0
9,DQN,Scalar,SingleObjective_RDX,4,4,1,1,Action 4 was executed and is the highest-Q action (action 4). Q-value vs next-best action 1: +43.7979. [DQN: single-objective algorithm. Reward decomposition not applicable.],-20.061658094951998,-21.902899189649826,-39.5897801734278,84.42042541503906,40.62255859375,43.79786682128906,22.0,192.625,16.0,96.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,25.189453125,0.7807426452636719,5.41015625,0.0455322265625,143.0,278.0,0.0,1027.0,1.0,34.0,7.0
10,DQN,Scalar,SingleObjective_RDX,2,4,4,0,Action 2 was executed; the highest-Q action (action 4) was not chosen (possible cause: exploration or policy not converged). Q-value of action 2 vs highest-Q action (action 4): -134.9870. [DQN: single-objective algorithm. Reward decomposition not applicable.],-0.061658094951997804,-1.8674228365118417,-18.09042690685862,-50.7458610534668,84.24118041992188,-134.98704528808594,24.0,194.625,18.0,98.8125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,27.98828125,0.8145675659179688,5.41015625,0.0455322265625,143.0,278.0,0.0,1027.0,0.0,34.0,7.0
