step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,weighted_resource_diff,weighted_network_diff,weighted_security_diff,best_weighted_q_resource,best_weighted_q_network,best_weighted_q_security,alt_weighted_q_resource,alt_weighted_q_network,alt_weighted_q_security,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_steps_since_last_mtd,feat_total_ues,feat_nb_resources
1,EUPG,MORL_vec,MORL_RDX,6,3,3,0,"Action 6 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 6 is better on Resource, Network, worse on Security. Per-component: Resource: gains 6.778 weighted; Network: gains 14.667 weighted; Security: loses 6.635 weighted.",6.7783484,14.666879,-6.6351304,8.091548,12.435441,3.0931516,1.3131996,-2.2314382,9.728282,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066466,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,26.0,196.625,16.0,96.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,0.0,0.0,2.798828125,0.0,0.0,0.0,144.0,278.28570556640625,0.0,1027.4285888671875,0.0,34.0,7.0
2,EUPG,MORL_vec,MORL_RDX,4,1,1,0,"Action 4 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 4 is better on Resource, Security, worse on Network. Per-component: Resource: gains 17.811 weighted; Network: loses 7.222 weighted; Security: gains 1.051 weighted.",17.811249,-7.2215505,1.0506047,-4.225709,-9.812273,-1.5992199,-22.036959,-2.5907228,-2.6498246,0.076252,0.130098,0.08457,0.126548,0.05885,0.038961,0.109946,0.068457,0.090951,0.07163,0.037918,0.105818,0.130098,1,2.420161,26.0,196.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,5.59765625,0.008717128075659275,0.01287841796875,0.00908551923930645,144.0,278.28570556640625,0.0,1027.2857666015625,0.0,34.0,7.0
3,EUPG,MORL_vec,MORL_RDX,1,3,3,0,"Action 1 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 1 is better on Network, worse on Resource, Security. Per-component: Resource: loses 22.700 weighted; Network: gains 0.203 weighted; Security: loses 12.303 weighted.",-22.699812,0.2033435,-12.30267,-21.667482,-2.6729312,-2.9444723,1.032328,-2.8762746,9.358197,0.07816,0.127093,0.094126,0.133613,0.065873,0.0354,0.113271,0.066494,0.10265,0.059526,0.032501,0.091293,0.133613,3,2.408671,26.0,196.625,12.0,92.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,8.396484375,0.009206498973071575,0.0151519775390625,0.0181710384786129,144.0,278.28570556640625,0.0,1027.142822265625,0.0,35.0,7.0
4,EUPG,MORL_vec,MORL_RDX,10,3,3,0,Action 10 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 10 is worse on all objectives. Per-component: Resource: loses 8.496 weighted; Network: loses 9.417 weighted; Security: loses 15.687 weighted.,-8.495506,-9.417342,-15.686907,-7.340355,-12.416997,-6.4146934,1.1551514,-2.9996543,9.272213,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066466,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408686,26.0,196.625,10.0,90.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,11.1953125,0.0088408337906003,0.01419830322265625,0.02725655771791935,144.0,278.1428527832031,0.0,1027.142822265625,0.0,35.0,7.0
5,EUPG,MORL_vec,MORL_RDX,8,3,3,0,"Action 8 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 8 is better on Network, worse on Resource, Security. Per-component: Resource: loses 5.011 weighted; Network: gains 3.780 weighted; Security: loses 19.507 weighted.",-5.011381,3.7798302,-19.506752,-3.6812694,1.3391027,-9.794361,1.3301117,-2.4407277,9.712391,0.078136,0.127086,0.094119,0.133602,0.065933,0.035391,0.113207,0.066466,0.102652,0.059549,0.032488,0.091371,0.133602,3,2.408685,28.0,198.625,12.0,92.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,13.994140625,0.0430624820291996,0.2034912109375,0.0363420769572258,143.0,278.0,0.0,1027.142822265625,0.0,34.0,7.0
6,EUPG,MORL_vec,MORL_RDX,10,1,1,0,"Action 10 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 10 is better on Resource, worse on Network, Security. Per-component: Resource: gains 13.139 weighted; Network: loses 8.811 weighted; Security: loses 3.111 weighted.",13.139069,-8.811301,-3.1107013,-7.8846145,-12.457143,-6.3322725,-21.023684,-3.6458414,-3.2215712,0.079503,0.147872,0.073397,0.133786,0.064211,0.044586,0.138309,0.0805,0.082665,0.05825,0.030609,0.06631,0.147872,1,2.394496,28.0,198.625,10.0,86.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,16.79296875,0.2354736328125,1.5439453125,0.0546177439391613,143.0,278.0,0.0,1027.0,1.0,33.0,7.0
7,EUPG,MORL_vec,MORL_RDX,0,1,1,0,"Action 0 was executed via stochastic sampling; the highest-probability action (action 1) was not chosen. Relative to the highest-probability action: action 0 is better on Resource, Network, worse on Security. Per-component: Resource: gains 34.454 weighted; Network: gains 4.637 weighted; Security: loses 7.674 weighted.",34.45389,4.637186,-7.6735444,13.349474,1.0858004,-10.718774,-21.104418,-3.5513859,-3.0452292,0.075129,0.145522,0.072353,0.131663,0.074505,0.0426,0.128955,0.07519,0.083457,0.061922,0.028442,0.080264,0.145522,1,2.401778,28.0,198.625,10.0,86.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,19.591796875,0.7799633741378784,5.40625,0.0546177439391613,143.0,278.0,0.0,1027.0,2.0,32.0,7.0
8,EUPG,MORL_vec,MORL_RDX,11,3,3,0,"Action 11 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 11 is better on Resource, Network, worse on Security. Per-component: Resource: gains 1.319 weighted; Network: gains 10.905 weighted; Security: loses 16.072 weighted.",1.3187989,10.904954,-16.07207,2.5430648,9.046115,-6.209662,1.224266,-1.8588393,9.862407,0.078071,0.127319,0.093872,0.133563,0.066085,0.035454,0.113317,0.066526,0.10245,0.059593,0.032423,0.091328,0.133563,3,2.4087,28.0,198.625,10.0,86.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,22.390625,0.7802941203117371,5.41015625,0.0546177439391613,143.0,278.0,0.0,1027.0,0.0,32.0,7.0
9,EUPG,MORL_vec,MORL_RDX,6,3,3,0,"Action 6 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 6 is better on Resource, Network, worse on Security. Per-component: Resource: gains 7.230 weighted; Network: gains 14.140 weighted; Security: loses 7.030 weighted.",7.2299714,14.140409,-7.029839,8.365144,12.214227,2.612164,1.1351719,-1.9261826,9.642004,0.078136,0.127086,0.094119,0.133603,0.065932,0.035391,0.113207,0.066467,0.102652,0.059548,0.032488,0.09137,0.133603,3,2.408686,28.0,198.625,14.0,94.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,25.189453125,0.7878395915031433,5.41015625,0.0728934183716774,143.0,277.8571472167969,0.0,1027.0,0.0,32.0,7.0
10,EUPG,MORL_vec,MORL_RDX,11,3,3,0,"Action 11 was executed via stochastic sampling; the highest-probability action (action 3) was not chosen. Relative to the highest-probability action: action 11 is better on Resource, Network, worse on Security. Per-component: Resource: gains 2.734 weighted; Network: gains 11.265 weighted; Security: loses 15.002 weighted.",2.7338521,11.264909,-15.002393,3.739725,9.1608715,-5.7077045,1.0058731,-2.1040373,9.294687,0.077965,0.127486,0.093322,0.133002,0.065339,0.035651,0.112927,0.066609,0.101683,0.060478,0.03288,0.092658,0.133002,3,2.40982,24.0,190.5,16.0,100.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,27.98828125,1.5515702962875366,5.41015625,0.0728934183716774,143.0,277.8571472167969,0.0,1026.857177734375,0.0,31.0,7.0
