feature,mean_abs_shap,mean_shap
feat_mean_remaining_reinst,0.023266922453534847,0.012014214358100008
feat_mean_remaining_mig,0.01289963019301651,0.0061570097431022175
feat_total_ues,0.00813777614434447,0.0030469101304333207
feat_vim0_ram,0.007555369726193012,0.0009733789384133319
feat_vim1_cpu,0.005839290219073664,0.000491165957679993
feat_vim1_ram,0.005578836062097779,0.0010614781046577753
feat_vim0_cpu,0.005454215299269201,0.0005184514236133295
feat_max_apt_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dos_score,0.0,0.0
