feature,mean_abs_shap,mean_shap
feat_total_ues,0.004013165995942148,0.0002768131439686001
feat_mean_remaining_mig,0.002594263796932851,0.00029734741607081024
feat_mean_remaining_reinst,0.002398939494695828,0.0002806630877095253
feat_vim1_ram,0.00045021619159588453,2.1409386818552532e-05
feat_vim0_ram,0.0003899959519218502,1.9586190601977803e-05
feat_vim1_cpu,0.0003057995550960109,1.4323018576163413e-06
feat_vim0_cpu,0.0002930587368463933,1.6226058067645377e-06
feat_max_apt_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dos_score,0.0,0.0
