feature,mean_abs_shap,mean_shap
feat_mean_remaining_mig,1.3091676258931854e-08,7.586449301291486e-09
feat_security_penalty_cumul,1.308939411972056e-08,-9.069397292776082e-09
feat_mean_remaining_reinst,1.1054402835485104e-08,5.529661411967533e-09
feat_vim0_ram,8.873406945221028e-09,7.039829608866125e-09
feat_vim0_cpu,7.2258364803186845e-09,-6.9174705072823635e-09
feat_mean_network_penalty,6.86472506914287e-09,-1.8383942428896127e-09
feat_total_ues,6.296152752091453e-09,-1.7844301066616732e-10
feat_mean_security_penalty,5.369547205931218e-09,-2.2530159633064733e-09
feat_max_network_penalty,4.851819930754798e-09,5.544453611298066e-10
feat_vim1_ram,4.333225309255141e-09,1.352084939365018e-10
feat_max_security_penalty,2.2908194789123807e-09,-8.44854860178561e-10
feat_min_remaining_mig,2.032138171127853e-09,1.3176752861850127e-10
feat_vim1_cpu,5.369555422267546e-10,1.270128915803498e-10
feat_mean_mtd_overhead,4.488863164949625e-12,-2.7987202909836822e-12
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
