feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,2.1554392588710347,-0.020923200797591843
feat_mean_remaining_mig,0.8629569667310456,0.05185431173970668
feat_mean_remaining_reinst,0.6827767593067642,0.011209092578067513
feat_total_ues,0.23393070677111202,-0.07061445717385322
feat_vim0_ram,0.09953014351075354,-0.0015994517813649202
feat_min_remaining_mig,0.06725673320665959,0.0035330987363442743
feat_mean_security_penalty,0.0649834408362397,0.02291160251886424
feat_max_security_penalty,0.04394021051904979,0.007766531790470257
feat_vim1_ram,0.041891433239646426,0.00226006057632981
feat_mean_network_penalty,0.02990490095321209,-0.0028324785540011915
feat_vim0_cpu,0.01572703236887677,-0.005629153764696154
feat_max_network_penalty,0.014902395171012016,0.0011954189370223878
feat_vim1_cpu,0.012489736742405676,0.0008686251947189381
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_mean_mtd_overhead,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
