feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,5.989312476595391,0.011171223732758586
feat_mean_remaining_mig,1.8122606240343817,-0.02425191924050172
feat_mean_remaining_reinst,1.083042252620294,-0.018512092504959807
feat_total_ues,0.3841610529526384,0.16006976154471808
feat_vim1_cpu,0.3608937309427749,0.0697963486873069
feat_mean_security_penalty,0.3510670235819583,-0.09635256061109732
feat_vim1_ram,0.23166817213467433,-0.12307984188381475
feat_mean_network_penalty,0.15680761916380878,-0.006636515899310845
feat_max_network_penalty,0.15006246924603242,0.028299642942934314
feat_min_remaining_mig,0.14121323983115888,0.003312586511013443
feat_vim0_ram,0.13295522891253633,0.01774753828206227
feat_max_security_penalty,0.1290419076014063,-0.08286270339576479
feat_vim0_cpu,0.0938346620163763,0.061245049036293346
feat_mean_mtd_overhead,0.00014372730098550433,5.348279833181188e-05
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
