feature,mean_abs_shap,mean_shap
feat_mean_remaining_mig,1.3749738116063464,-0.45039978862210994
feat_mean_remaining_reinst,0.7701509279126528,0.38703790118948067
feat_max_network_penalty,0.6012339323357406,-0.2411517186596628
feat_mean_network_penalty,0.46193033542852874,0.3047066967309155
feat_vim1_ram,0.33424197741908945,0.04646748717642352
feat_vim0_ram,0.16019562116837427,-0.015699754008837864
feat_mean_security_penalty,0.15017964452282598,-0.07241612819574367
feat_total_ues,0.06869056675391631,0.000902173308876168
feat_vim0_cpu,0.05976662327938835,-0.0368682940903864
feat_max_security_penalty,0.05777048900133084,0.04674291648249607
feat_vim1_cpu,0.057633829949765195,0.03824314031114812
feat_min_remaining_mig,0.026558745025348367,-0.007803557658728305
feat_mean_mtd_overhead,0.0002662639580988381,0.00023892603613066225
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
