feature,mean_abs_shap,mean_shap
feat_mean_remaining_reinst,7.830850863896964e-09,-2.4235509053137345e-09
feat_mean_remaining_mig,6.581952362392061e-09,1.4892123466928812e-09
feat_mean_network_penalty,6.059955396912733e-09,2.3416581399982984e-09
feat_max_network_penalty,4.942515297980886e-09,-2.643331812413386e-09
feat_mean_security_penalty,4.863184564163881e-09,-2.159312390631219e-09
feat_vim1_ram,4.06040469670364e-09,1.679302535744681e-11
feat_max_security_penalty,3.21343387098055e-09,2.8852144052548083e-09
feat_total_ues,1.7830460980698422e-09,1.6553391139106433e-11
feat_vim0_ram,1.5674896000219327e-09,8.670656998544864e-10
feat_vim1_cpu,1.1819490806284022e-09,-1.431978477757202e-10
feat_vim0_cpu,9.517050655097075e-10,-4.403606817331365e-10
feat_min_remaining_mig,6.415568567874936e-10,1.8402431401925224e-10
feat_mean_mtd_overhead,1.5119520200201715e-11,9.232315550550541e-12
feat_mean_dos_score,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
