feature,mean_abs_shap,mean_shap
feat_security_penalty_cumul,1.4611039860687984e-08,2.5409573876329412e-09
feat_vim1_ram,9.06777085879211e-09,2.071292637428237e-09
feat_vim0_ram,6.239768774311038e-09,-1.7984685856627542e-09
feat_max_network_penalty,4.377994311752655e-09,-2.6792716025409736e-09
feat_mean_security_penalty,4.301879310582738e-09,-3.422030754757496e-09
feat_mean_remaining_mig,3.971399506268546e-09,1.8101822334306698e-09
feat_mean_network_penalty,3.786886861931629e-09,2.6158394916042394e-09
feat_mean_remaining_reinst,3.1564506294709844e-09,1.2187472577561698e-09
feat_total_ues,2.5999016609738245e-09,-8.974531898827405e-10
feat_max_security_penalty,2.5001735445676286e-09,-2.2074930957238372e-09
feat_vim1_cpu,1.3331940322913995e-09,-3.013041417787356e-11
feat_min_remaining_mig,1.0611899305943574e-09,7.738515570986253e-10
feat_steps_since_last_mtd,9.177017691628234e-10,-9.83737741227777e-11
feat_vim0_cpu,6.546918855755934e-10,1.0235085191781978e-10
feat_mean_dos_score,0.0,0.0
feat_mean_mtd_overhead,0.0,0.0
feat_max_dos_score,0.0,0.0
feat_mean_dataleak_score,0.0,0.0
feat_min_remaining_reinst,0.0,0.0
feat_max_dataleak_score,0.0,0.0
feat_mean_apt_score,0.0,0.0
feat_max_apt_score,0.0,0.0
feat_nb_resources,0.0,0.0
