feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.015659878,0.053771973,2.843259572982788,4.578125,0,1,8
0.081978932,0.521564782,3.423828125,2.8117306232452397,4.59765625,0,2,3
0.081978932,0.004859379,0.009002686,2.8014068603515625,4.5859375,0,3,2
0.081978932,0.0157184600830078,0.053863525,2.8613955974578857,4.58203125,0,4,4
0.081978932,0.0151089262217283,0.05355835,2.909944772720337,4.69140625,0,5,4
0.081978932,0.0117887770757079,0.054321289,2.802243947982788,4.59765625,0,6,6
0.081978932,0.7766802906990051,5.40234375,2.8000118732452397,4.5859375,0,7,9
0.081978932,0.006170545,0.01802063,2.8019649982452397,4.578125,0,8,11
0.081978932,0.008375168,0.03894043,2.9010162353515625,4.66796875,0,9,1
0.081978932,0.007221767,0.031616211,2.8125674724578857,4.62109375,0,10,8
0.081978932,0.039480209,0.191040039,2.8033599853515625,4.58203125,0,11,5
0.081978932,0.7772244215011597,5.40625,2.8134045600891118,4.6015625,1,2,5
0.081978932,0.7788437604904175,5.40234375,2.8106143474578857,4.578125,1,3,9
0.081978932,0.4430607259273529,2.875,2.8067080974578857,4.5859375,1,4,7
0.081978932,0.006231308,0.023986816,2.808382272720337,4.59375,1,5,5
0.081978932,0.0143909454345703,0.053497314,2.9205474853515625,4.71875,1,6,8
0.081978932,1.5573514699935913,5.40234375,2.8173108100891118,4.578125,1,7,8
0.081978932,0.005459104,0.017730713,2.812288522720337,4.60546875,1,8,2
0.081978932,0.03274972,0.19140625,2.804476022720337,4.59765625,1,9,5
0.081978932,0.005933762,0.022689819,2.8164737224578857,4.58203125,1,10,2
0.081978932,0.008194515,0.03616333,2.823728322982788,4.58984375,1,11,7
0.081978932,0.3393156826496124,2.333984375,2.8097774982452397,4.59375,2,3,1
0.081978932,1.548349380493164,5.40234375,2.8016858100891118,4.578125,2,4,11
0.081978932,0.005187988,0.010955811,2.802522897720337,4.58203125,2,5,10
0.081978932,0.7879881262779236,5.41015625,2.798616647720337,4.578125,2,6,5
0.081978932,0.09566389,0.634765625,2.8008487224578857,4.58203125,2,7,3
0.045532227,0.7880047559738159,5.41015625,2.798337697982788,4.578125,2,8,9
0.081978932,0.2519141733646393,1.670898438,2.8008487224578857,4.59375,2,9,11
0.081978932,0.4942556023597717,3.421875,2.8011279106140137,4.578125,2,10,11
0.081978932,0.272369921,1.670898438,2.8094983100891118,4.6015625,2,11,5
0.081978932,0.0064888,0.011253357,2.802243947982788,4.5859375,3,4,10
0.081978932,0.0126857757568359,0.053863525,2.806150197982788,4.5859375,3,5,6
0.081978932,0.2519141733646393,1.670898438,2.8008487224578857,4.59375,3,6,11
0.081978932,0.006847109,0.028320313,2.8108935356140137,4.609375,3,7,9
0.081978932,0.005735397,0.012710571,2.8008487224578857,4.58203125,3,8,5
0.081978932,0.7778805494308472,5.40234375,2.810056447982788,4.578125,3,9,9
0.081978932,0.007127489,0.02935791,2.8089404106140137,4.6015625,3,10,3
0.081978932,0.8118915557861328,5.40234375,2.8028018474578857,4.5859375,3,11,3
0.081978932,0.032612391,0.190795898,2.8092193603515625,4.58984375,4,5,3
0.081978932,0.059318271,0.19152832,2.8072662353515625,4.58203125,4,6,7
0.081978932,0.0169181823730468,0.06036377,2.7991747856140137,4.58203125,4,7,10
0.081978932,0.007263184,0.029724121,2.8153576850891118,4.62109375,4,8,5
0.081978932,0.0282121393829584,0.127929688,2.8016858100891118,4.58203125,4,9,4
0.081978932,0.014908654615283,0.053588867,2.9250118732452397,4.73046875,4,10,4
0.0,0.0,0.0,0.0,0.0,4,11,9
0.081978932,0.007580348,0.032043457,2.8675341606140137,4.578125,5,6,11
0.081978932,0.016527448,0.054534912,2.7988955974578857,4.578125,5,7,10
0.081978932,0.005440576,0.014320374,2.8014068603515625,4.58203125,5,8,7
0.081978932,0.008265631,0.036865234,2.9054806232452397,4.6796875,5,9,1
0.081978932,0.0145751405507326,0.053955078,2.9250118732452397,4.73046875,5,10,4
0.081978932,0.0144980298355221,0.053619385,2.8111724853515625,4.60546875,5,11,5
0.081978932,0.070969447,0.199707031,2.7988955974578857,4.578125,6,7,4
0.081978932,0.005402701,0.013198853,2.802243947982788,4.59375,6,8,7
0.081978932,0.031696863,0.191162109,2.8145205974578857,4.61328125,6,9,2
0.081978932,0.032941274,0.19152832,2.7988955974578857,4.58203125,6,10,7
0.081978932,0.0170198176056146,0.053955078,2.8594424724578857,4.625,6,11,4
0.081978932,0.005975723,0.016433716,2.8069872856140137,4.58203125,7,8,1
0.081978932,0.014857156202197,0.053375244,2.8226122856140137,4.578125,7,9,8
0.081978932,0.036638532,0.204467773,2.800290822982788,4.58203125,7,10,4
0.081978932,0.7815709710121155,5.41015625,2.800569772720337,4.578125,7,11,4
0.081978932,0.005193983,0.012649536,2.802243947982788,4.59375,8,9,7
0.081978932,0.006310599,0.011909485,2.8069872856140137,4.59765625,8,10,6
0.081978932,0.006120409,0.021942139,2.802522897720337,4.5859375,8,11,8
0.081978932,0.039383478462696,0.191040039,2.8145205974578857,4.61328125,9,10,3
0.081978932,0.7788437604904175,5.40234375,2.8106143474578857,4.578125,9,11,9
0.081978932,0.008562361,0.039154053,2.8320987224578857,4.58203125,10,11,9
