feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.0404635854065418,0.190673828,2.8147997856140137,4.6875,0,1,8
0.081978932,0.016962323,0.053527832,2.7991747856140137,4.578125,0,2,8
0.081978932,0.03678349,0.19128418,2.894319772720337,5.01953125,0,3,8
0.081978932,0.00892067,0.043701172,2.8717193603515625,4.9375,0,4,8
0.081978932,0.7868894934654236,5.40234375,2.798616647720337,4.578125,0,5,8
0.081978932,0.790222704,5.40234375,2.820101022720337,4.72265625,0,6,8
0.081978932,0.0130868637934327,0.070739746,2.991697072982788,5.3359375,0,7,8
0.081978932,0.8117209672927856,5.40234375,2.806429147720337,4.6328125,0,8,8
0.081978932,0.7801055908203125,5.40234375,2.7994537353515625,4.578125,0,9,8
0.081978932,0.016972134,0.05291748,2.8440966606140137,4.83203125,0,10,8
0.081978932,0.0134996687993407,0.05078125,2.8134045600891118,4.6796875,0,11,8
0.081978932,0.0366467051208019,0.19140625,2.8678131103515625,4.91796875,1,2,8
0.081978932,0.0134004866704344,0.049041748,2.8128466606140137,4.66796875,1,3,8
0.081978932,0.0135688781738281,0.051025391,2.8094983100891118,4.6484375,1,4,8
0.081978932,0.0169334411621093,0.053436279,2.8622326850891118,4.90234375,1,5,8
0.081978932,0.0373845770955085,0.191650391,2.8853912353515625,4.9921875,1,6,8
0.081978932,0.642577589,4.3984375,2.798337697982788,4.578125,1,7,8
0.081978932,0.043748312,0.190795898,2.8440966606140137,4.828125,1,8,8
0.081978932,0.009069988,0.044128418,2.8622326850891118,4.8984375,1,9,8
0.081978932,0.0130953108891844,0.043426514,2.8150787353515625,4.6953125,1,10,8
0.081978932,0.039646965,0.191040039,2.8089404106140137,4.6484375,1,11,8
0.081978932,0.7836764454841614,5.453125,2.8254024982452397,4.7578125,2,3,8
0.081978932,0.7817273736000061,5.453125,2.839353322982788,4.8125,2,4,8
0.081978932,0.7834652662277222,5.46484375,2.8485608100891118,4.84765625,2,5,8
0.081978932,0.7918224334716797,5.44921875,2.8173108100891118,4.70703125,2,6,8
0.081978932,0.037322726,0.191162109,2.878415822982788,4.96484375,2,7,8
0.081978932,0.7815853953361511,5.40234375,2.7991747856140137,4.578125,2,8,8
0.081978932,0.008683341,0.018768311,2.7988955974578857,4.578125,2,9,8
0.081978932,0.7814404368400574,5.41015625,2.7991747856140137,4.578125,2,10,8
0.081978932,0.0138511657714843,0.077148438,2.982210397720337,5.3125,2,11,8
0.081978932,0.017262051,0.053253174,2.8733935356140137,4.94140625,3,4,8
0.081978932,0.7858725786209106,5.48046875,2.907991647720337,5.08203125,3,5,8
0.081978932,0.7840442657470703,5.40234375,2.8014068603515625,4.59765625,3,6,8
0.081978932,0.7840873003005981,5.46875,2.9063174724578857,5.07421875,3,7,8
0.081978932,0.042958122,0.19140625,2.7994537353515625,4.578125,3,8,8
0.036446709,0.8077959418296814,5.41015625,2.798337697982788,4.578125,3,9,8
0.081978932,0.039085116,0.191650391,2.823728322982788,4.75,3,10,8
0.081978932,0.009572165,0.046936035,2.870882272720337,4.92578125,3,11,8
0.081978932,1.5532433986663818,5.43359375,2.7997326850891118,4.578125,4,5,8
0.081978932,0.007666451,0.022598267,2.7988955974578857,4.578125,4,6,8
0.081978932,0.0101440977305173,0.053222656,2.876741647720337,4.95703125,4,7,8
0.081978932,0.036547799,0.19128418,2.8759045600891118,4.953125,4,8,8
0.081978932,0.009412766,0.045318604,2.865022897720337,4.91015625,4,9,8
0.081978932,0.7866562604904175,5.42578125,2.7991747856140137,4.578125,4,10,8
0.081978932,0.0128503525629639,0.046386719,2.8136837482452397,4.6796875,4,11,8
0.081978932,0.007232121,0.019134521,2.7997326850891118,4.578125,5,6,8
0.081978932,0.8115476965904236,5.47265625,2.9102237224578857,5.08984375,5,7,8
0.081978932,0.009024756,0.019760132,2.7988955974578857,4.578125,5,8,8
0.081978932,0.035111565,0.053955078,2.8131256103515625,4.66796875,5,9,8
0.081978932,0.011924744,0.062805176,2.8934826850891118,5.0234375,5,10,8
0.081978932,0.0123560773208737,0.050109863,2.8223330974578857,4.7421875,5,11,8
0.081978932,0.8119052052497864,5.4765625,2.9063174724578857,5.07421875,6,7,8
0.081978932,0.016930716,0.053344727,2.874509572982788,4.94921875,6,8,8
0.054722376,0.7801328301429749,5.40625,2.798616647720337,4.578125,6,9,8
0.081978932,0.0104261124506592,0.018127441,2.7988955974578857,4.578125,6,10,8
0.081978932,0.015335900709033,0.053771973,2.8000118732452397,4.578125,6,11,8
0.081978932,0.0121686113998293,0.065612793,2.8973889350891118,5.0390625,7,8,8
0.081978932,0.011886597,0.064331055,2.911897897720337,5.09375,7,9,8
0.081978932,0.0114612579345703,0.059570313,2.899900197982788,5.046875,7,10,8
0.081978932,0.7846946716308594,5.47265625,2.9121768474578857,5.09765625,7,11,8
0.081978932,0.8120146989822388,5.44921875,2.808103322982788,4.64453125,8,9,8
0.081978932,0.036819458,0.19152832,2.8482818603515625,4.84375,8,10,8
0.081978932,0.0135887693613767,0.04864502,2.816194772720337,4.69921875,8,11,8
0.081978932,0.062345505,0.19128418,2.800569772720337,4.578125,9,10,8
0.081978932,0.0101713454350829,0.05166626,2.8731143474578857,4.94140625,9,11,8
0.081978932,0.035242081,0.190673828,2.798616647720337,4.578125,10,11,8
