feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,114.875,68.14286041259766,894.0,16.0,0,1,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.625,262.5714416503906,1020.5714111328124,34.0,0,2,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.5625,238.14285278320312,1014.4285888671876,40.0,0,3,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.875,62.28571319580078,879.1428833007812,16.0,0,4,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.75,254.0,1019.1428833007812,37.0,0,5,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,22.0,110.5625,96.57142639160156,949.2857055664062,14.0,0,6,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.6875,259.28570556640625,1020.1428833007812,38.0,0,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,10.0,168.25,28.0,117.0,66.0,891.1428833007812,14.0,0,8,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,18.0,102.75,44.71428680419922,849.5714111328125,14.0,0,9,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.4375,79.57142639160156,912.8571166992188,11.0,0,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.125,211.85714721679688,1002.5714111328124,42.0,0,11,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.875,40.85714340209961,845.1428833007812,16.0,1,2,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,114.625,85.57142639160156,923.2857055664062,19.0,1,3,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,190.625,18.0,97.75,150.85714721679688,983.4285888671876,20.0,1,4,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,24.0,112.5625,87.57142639160156,928.7142944335938,21.0,1,5,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.875,36.85714340209961,841.5714111328125,14.0,1,6,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,20.0,100.1875,121.28571319580078,973.0,23.0,1,7,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,108.375,120.14286041259766,971.7142944335938,24.0,1,8,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.0,155.57142639160156,986.0,26.0,1,9,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.5625,255.14285278320312,1019.1428833007812,30.0,1,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,107.9375,151.14285278320312,983.8571166992188,21.0,1,11,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.875,40.85714340209961,845.1428833007812,16.0,2,3,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,108.9375,37.85714340209961,842.2857055664062,15.0,2,4,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,18.0,98.4375,231.14285278320312,1011.5714111328124,31.0,2,5,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,18.0,98.1875,214.42857360839844,1003.2857055664062,42.0,2,6,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,105.9375,152.0,984.4285888671876,20.0,2,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.375,221.0,1005.8571166992188,35.0,2,8,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,100.5625,263.28570556640625,1020.7142944335938,37.0,2,9,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.875,41.71428680419922,846.4285888671875,15.0,2,10,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.875,34.57143020629883,839.0,17.0,2,11,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.5,238.14285278320312,1014.2857055664062,39.0,3,4,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,12.0,174.375,26.0,114.875,268.5714416503906,1023.2857055664062,38.0,3,5,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,104.8125,55.85714340209961,863.4285888671875,11.0,3,6,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,104.8125,62.57143020629883,879.2857055664062,14.0,3,7,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,20.0,104.8125,61.14285659790039,875.2857055664062,18.0,3,8,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,18.0,102.125,141.85714721679688,980.7142944335938,17.0,3,9,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.8125,62.28571319580078,879.0,15.0,3,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.75,37.57143020629883,842.1428833007812,15.0,3,11,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.375,92.0,936.7142944335938,19.0,4,5,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,18.0,106.4375,92.57142639160156,938.4285888671876,20.0,4,6,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,112.625,98.14286041259766,951.7142944335938,15.0,4,7,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.25,102.0,956.2857055664062,17.0,4,8,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,104.8125,49.42856979370117,854.7142944335938,12.0,4,9,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.5,81.57142639160156,915.8571166992188,12.0,4,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.9375,52.71428680419922,859.8571166992188,10.0,4,11,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,12.0,92.4375,256.28570556640625,1019.2857055664062,29.0,5,6,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,20.0,104.5625,243.2857208251953,1015.5714111328124,40.0,5,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.4375,232.42857360839844,1012.2857055664062,31.0,5,8,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,16.0,95.75,153.2857208251953,984.8571166992188,21.0,5,9,7
