feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,96.125,208.7142791748047,991.2857055664062,25.0,0,1,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,20.0,100.3125,162.14285278320312,963.5714111328124,46.0,0,2,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,14.0,93.0625,64.0,896.2857055664062,47.0,0,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.375,268.8571472167969,1022.0,44.0,0,4,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,94.3125,36.0,871.8571166992188,52.0,0,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,22.0,110.125,219.2857208251953,998.0,33.0,0,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.125,110.57142639160156,934.5714111328124,41.0,0,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,18.0,102.0,237.85714721679688,1006.1428833007812,47.0,0,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,12.0,86.8125,51.42856979370117,887.0,52.0,0,9,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,108.125,104.42857360839844,928.4285888671876,41.0,0,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,18.0,102.3125,152.2857208251953,957.1428833007812,55.0,0,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.5625,182.0,977.2857055664062,44.0,1,2,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,95.9375,123.0,941.4285888671876,56.0,1,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,12.0,87.9375,110.28571319580078,934.0,44.0,1,4,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,96.25,147.14285278320312,953.5714111328124,63.0,1,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,12.0,91.25,81.28571319580078,909.1428833007812,40.0,1,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,14.0,98.3125,166.0,967.2857055664062,44.0,1,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.5625,200.7142791748047,987.2857055664062,36.0,1,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,95.375,84.0,912.1428833007812,37.0,1,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,190.625,22.0,102.625,177.2857208251953,973.1428833007812,41.0,1,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,18.0,102.0,115.0,936.7142944335938,53.0,1,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,101.375,73.71428680419922,903.4285888671876,40.0,2,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,97.5,83.0,910.1428833007812,40.0,2,4,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,8.0,84.1875,178.7142791748047,973.5714111328124,44.0,2,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,85.25,84.0,912.1428833007812,37.0,2,6,8
