feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.060956955,0.380371094,2.8117306232452397,4.62109375,0,1,5
0.081978932,0.007727487,0.033935547,2.8722774982452397,4.58984375,0,2,8
0.081978932,0.032658714801073,0.19128418,2.8145205974578857,4.578125,0,3,5
0.081978932,0.7807080149650574,5.41796875,2.800290822982788,4.5859375,0,4,6
0.081978932,0.017488752,0.053100586,2.7991747856140137,4.578125,0,5,8
0.081978932,0.80393517,5.40234375,2.8000118732452397,4.578125,0,6,2
0.081978932,0.005933762,0.022689819,2.8164737224578857,4.58203125,0,7,2
0.081978932,0.007526398,0.032501221,2.8853912353515625,4.625,0,8,8
0.081978932,1.5765599012374878,5.40234375,2.810056447982788,4.578125,0,9,9
0.081978932,0.036937442,0.202270508,2.7991747856140137,4.578125,0,10,5
0.081978932,1.5483061075210571,5.40234375,2.8016858100891118,4.578125,0,11,3
0.081978932,0.803638756,5.40234375,2.8134045600891118,4.578125,1,2,5
0.081978932,0.2519141733646393,1.670898438,2.8008487224578857,4.59375,1,3,11
0.081978932,0.034034457,0.190673828,2.810056447982788,4.6015625,1,4,7
0.081978932,0.008755548,0.016036987,2.800569772720337,4.5859375,1,5,7
0.081978932,0.023150036111474,0.066955566,2.7991747856140137,4.58203125,1,6,2
0.081978932,0.031845636665821,0.190917969,2.800569772720337,4.5859375,1,7,2
0.081978932,0.8050150275230408,5.41015625,2.8019649982452397,4.58203125,1,8,5
0.081978932,0.7804540991783142,5.4140625,2.7988955974578857,4.58203125,1,9,1
0.018275669,0.009312221,0.014198303,2.798337697982788,4.578125,1,10,0
0.081978932,0.8106929063796997,5.40234375,2.8106143474578857,4.578125,1,11,11
0.081978932,0.7785603404045105,5.40234375,2.8262393474578857,4.62109375,2,3,9
0.081978932,0.008755548,0.016036987,2.800569772720337,4.5859375,2,4,7
0.081978932,0.7806911468505859,5.41015625,2.7991747856140137,4.58203125,2,5,0
0.081978932,0.7804540991783142,5.4140625,2.7988955974578857,4.58203125,2,6,1
0.081978932,0.034848075,0.22277832,2.888460397720337,4.6328125,2,7,7
0.081978932,0.006898608,0.028015137,2.8092193603515625,4.6015625,2,8,8
0.081978932,0.004695892,0.014678955,2.8089404106140137,4.62109375,2,9,6
0.063703261,0.7806794047355652,5.41015625,2.798616647720337,4.578125,2,10,11
0.081978932,0.272369921,1.670898438,2.8094983100891118,4.6015625,2,11,5
0.081978932,0.8070975542068481,5.4140625,2.7991747856140137,4.58203125,3,4,1
0.081978932,1.5605413913726809,5.4140625,2.798337697982788,4.578125,3,5,6
0.081978932,0.7891074419021606,5.41796875,2.7988955974578857,4.578125,3,6,5
0.081978932,0.007542747,0.032226563,2.8075451850891118,4.59765625,3,7,2
0.081978932,0.0149432588368654,0.053771973,2.8577685356140137,4.62109375,3,8,4
0.081978932,0.7773900628089905,5.40234375,2.810056447982788,4.5859375,3,9,3
0.081978932,1.5535638332366943,5.41796875,2.8008487224578857,4.58203125,3,10,7
0.081978932,0.0429649353027343,0.191650391,2.7991747856140137,4.578125,3,11,2
0.081978932,0.009714944,0.015975952,2.800290822982788,4.5859375,4,5,6
0.081978932,0.7774200439453125,5.40234375,2.8030810356140137,4.58203125,4,6,1
0.081978932,0.80393517,5.40234375,2.8000118732452397,4.578125,4,7,2
0.081978932,0.8070975542068481,5.4140625,2.7991747856140137,4.58203125,4,8,1
0.081978932,0.070969447,0.199707031,2.7988955974578857,4.578125,4,9,8
0.081978932,0.808136523,5.41015625,2.800569772720337,4.578125,4,10,6
0.081978932,0.005205699,0.013687134,2.800569772720337,4.578125,4,11,7
0.081978932,0.010482243,0.016036987,2.7991747856140137,4.58203125,5,6,11
0.081978932,0.043070931,0.197631836,2.7988955974578857,4.578125,5,7,5
0.081978932,0.017488752,0.053100586,2.7991747856140137,4.578125,5,8,8
0.081978932,1.559743881225586,5.40625,2.7988955974578857,4.578125,5,9,0
0.081978932,0.4430607259273529,2.875,2.8067080974578857,4.5859375,5,10,7
0.0,0.009270259,0.013015747,2.798337697982788,4.578125,5,11,8
0.081978932,0.7858251929283142,5.40234375,2.8231701850891118,4.578125,6,7,8
0.081978932,0.7816393971443176,5.41796875,2.7991747856140137,4.58203125,6,8,11
0.081978932,0.009715489,0.015556335,2.7991747856140137,4.58203125,6,9,0
0.081978932,0.0169181823730468,0.06036377,2.7991747856140137,4.58203125,6,10,2
0.054617744,0.016397748,0.056274414,2.798616647720337,4.578125,6,11,5
0.081978932,0.006810052,0.027603149,2.8675341606140137,4.578125,7,8,11
0.081978932,0.7761344909667969,5.40234375,2.8028018474578857,4.59375,7,9,10
0.081978932,0.043070931,0.197631836,2.7988955974578857,4.578125,7,10,5
0.081978932,0.033898491,0.190551758,2.808103322982788,4.58203125,7,11,9
0.081978932,0.006174905,0.022979736,2.8072662353515625,4.59765625,8,9,8
0.081978932,0.8080610632896423,5.4140625,2.7988955974578857,4.578125,8,10,2
0.081978932,0.037125725,0.202392578,2.7991747856140137,4.58203125,8,11,5
0.063703261,0.7806794047355652,5.41015625,2.798616647720337,4.578125,9,10,11
0.081978932,0.7883322834968567,5.4140625,2.7988955974578857,4.578125,9,11,8
0.081978932,0.035947256,0.203369141,2.7991747856140137,4.58203125,10,11,7
