feat_mean_mtd_overhead_bin,feat_mean_network_penalty_bin,feat_max_network_penalty_bin,feat_mean_security_penalty_bin,feat_max_security_penalty_bin,ci,cj,action
0,2,2,1,2,0,1,5
0,0,0,2,1,0,2,8
0,1,1,1,0,0,3,5
0,2,2,0,1,0,4,6
0,1,0,0,0,0,5,8
0,2,2,0,0,0,6,2
0,0,0,1,0,0,7,2
0,0,0,2,2,0,8,8
0,2,2,1,0,0,9,9
0,2,2,0,0,0,10,5
0,2,2,0,0,0,11,3
0,2,2,1,0,1,2,5
0,2,2,0,1,1,3,11
0,1,1,1,2,1,4,7
0,0,0,0,1,1,5,7
0,1,1,0,0,1,6,2
0,1,1,0,1,1,7,2
0,2,2,0,0,1,8,5
0,2,2,0,0,1,9,1
0,0,0,0,0,1,10,0
0,2,2,1,0,1,11,11
0,2,2,2,2,2,3,9
0,0,0,0,1,2,4,7
0,2,2,0,0,2,5,0
0,2,2,0,0,2,6,1
0,2,2,2,2,2,7,7
0,0,0,1,2,2,8,8
0,0,0,1,2,2,9,6
0,2,2,0,0,2,10,11
0,2,2,1,2,2,11,5
0,2,2,0,0,3,4,1
0,2,2,0,0,3,5,6
0,2,2,0,0,3,6,5
0,0,0,1,1,3,7,2
0,1,1,2,2,3,8,4
0,2,2,1,1,3,9,3
0,2,2,0,0,3,10,7
0,2,1,0,0,3,11,2
0,0,0,0,1,4,5,6
0,2,2,0,0,4,6,1
0,2,2,0,0,4,7,2
0,2,2,0,0,4,8,1
0,2,2,0,0,4,9,8
0,2,2,0,0,4,10,6
0,0,0,0,0,4,11,7
0,0,0,0,0,5,6,11
0,2,2,0,0,5,7,5
0,1,0,0,0,5,8,8
0,2,2,0,0,5,9,0
0,2,2,1,1,5,10,7
0,0,0,0,0,5,11,8
0,2,2,1,0,6,7,8
0,2,2,0,0,6,8,11
0,0,0,0,0,6,9,0
0,1,1,0,0,6,10,2
0,1,1,0,0,6,11,5
0,0,0,2,0,7,8,11
0,2,2,0,1,7,9,10
0,2,2,0,0,7,10,5
0,1,1,1,0,7,11,9
0,0,0,1,1,8,9,8
0,2,2,0,0,8,10,2
0,2,2,0,0,8,11,5
0,2,2,0,0,9,10,11
0,2,2,0,0,9,11,8
0,2,2,0,0,10,11,7
