feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.0132699692621827,0.05368042,2.9160830974578857,4.859375,0,1,1
0.081978932,0.7773445844650269,5.40234375,2.812009572982788,4.578125,0,2,9
0.081978932,0.7802505493164062,5.40234375,2.800290822982788,4.5859375,0,3,4
0.081978932,0.0158792231231927,0.053283691,2.800290822982788,4.5859375,0,4,4
0.081978932,0.034423012,0.19140625,2.8016858100891118,4.5859375,0,5,6
0.081978932,2.323992252349853,5.421875,2.800569772720337,4.58984375,0,6,7
0.081978932,1.5523899793624878,5.421875,2.7991747856140137,4.578125,0,7,11
0.081978932,0.780589759,5.41796875,2.8016858100891118,4.59765625,0,8,9
0.081978932,0.0112484525889158,0.05368042,2.9403576850891118,4.92578125,0,9,6
0.081978932,0.778758168,5.40625,2.7991747856140137,4.58203125,0,10,11
0.081978932,0.0106776105239987,0.053649902,3.0567080974578857,5.21484375,0,11,8
0.081978932,0.032946724,0.191650391,2.847444772720337,4.671875,1,2,5
0.081978932,0.0105231152847409,0.053344727,2.9933712482452397,5.06640625,1,3,4
0.081978932,1.5535863637924194,5.4296875,2.798337697982788,4.578125,1,4,4
0.081978932,0.033143453,0.19140625,2.8915295600891118,4.7890625,1,5,3
0.081978932,0.059782844,0.209228516,2.872835397720337,4.7421875,1,6,5
0.081978932,0.7809009552001953,5.40234375,2.8000118732452397,4.5859375,1,7,9
0.081978932,0.0115953171625733,0.053466797,2.9437060356140137,4.93359375,1,8,4
0.081978932,0.010605676099658,0.053894043,3.0572662353515625,5.21875,1,9,6
0.081978932,1.5525962114334106,5.42578125,2.7994537353515625,4.578125,1,10,10
0.081978932,0.033150811,0.19152832,2.890134572982788,4.78515625,1,11,6
0.081978932,0.8133005499839783,5.40234375,2.798616647720337,4.578125,2,3,4
0.081978932,0.032435555,0.19152832,2.8449337482452397,4.6640625,2,4,8
0.081978932,0.0105964113026857,0.053527832,3.128415822982788,5.37109375,2,5,8
0.081978932,0.042866569,0.19140625,2.7991747856140137,4.578125,2,6,10
0.081978932,0.017350333,0.065002441,2.8008487224578857,4.58203125,2,7,11
0.081978932,0.8053150177001953,5.40234375,2.8019649982452397,4.5859375,2,8,3
0.081978932,0.03268351,0.191650391,2.8929247856140137,4.796875,2,9,5
0.081978932,0.008484704,0.021743774,2.7994537353515625,4.58203125,2,10,8
0.081978932,0.009816851,0.029663086,2.798616647720337,4.578125,2,11,11
0.081978932,0.005670003,0.020614624,2.8173108100891118,4.58984375,3,4,3
0.081978932,0.0210249759256839,0.05380249,2.8516299724578857,4.68359375,3,5,3
0.081978932,0.033244271,0.212890625,2.833493947982788,4.6328125,3,6,1
0.081978932,0.036442075,0.191650391,2.8019649982452397,4.578125,3,7,5
0.081978932,0.032499313,0.208007813,2.9091076850891118,4.83984375,3,8,1
0.081978932,0.030099868774414,0.191162109,3.0343868732452397,5.16796875,3,9,7
0.072893418,0.8067054748535156,5.40625,2.798616647720337,4.578125,3,10,1
0.081978932,0.0201911926269531,0.053222656,2.8502349853515625,4.6796875,3,11,5
0.081978932,1.5801827907562256,5.421875,2.8011279106140137,4.58203125,4,5,3
0.081978932,0.006344659,0.024337769,2.820101022720337,4.59765625,4,6,11
0.081978932,1.5517057180404663,5.41796875,2.7997326850891118,4.5859375,4,7,9
0.081978932,0.8158432841300964,5.40234375,2.798616647720337,4.578125,4,8,1
0.081978932,0.032293864,0.190795898,2.8820431232452397,4.765625,4,9,4
0.081978932,0.7863894701004028,5.40625,2.798337697982788,4.578125,4,10,2
0.081978932,0.014825548,0.053131104,2.802522897720337,4.58203125,4,11,6
0.081978932,0.0128487180918455,0.053009033,2.886228322982788,4.77734375,5,6,5
0.081978932,0.8080583214759827,5.40234375,2.7994537353515625,4.578125,5,7,9
0.081978932,0.039744515,0.207763672,2.8156368732452397,4.5859375,5,8,1
0.081978932,0.0130108427256345,0.053527832,2.894319772720337,4.80078125,5,9,8
0.081978932,0.7797508239746094,5.40625,2.7988955974578857,4.578125,5,10,11
0.081978932,0.032963071,0.211181641,2.8502349853515625,4.6796875,5,11,4
0.081978932,0.017035348,0.057037354,2.802243947982788,4.58203125,6,7,1
0.081978932,0.036456518,0.19140625,2.7991747856140137,4.58203125,6,8,3
0.081978932,0.032545906,0.208007813,2.919431447982788,4.8671875,6,9,2
0.081978932,0.0155026568099856,0.055664063,2.8008487224578857,4.58203125,6,10,8
0.081978932,0.0160571504384279,0.053894043,2.7997326850891118,4.58203125,6,11,4
0.081978932,0.009522574,0.023406982,2.7997326850891118,4.578125,7,8,11
0.081978932,1.5585954189300537,5.41015625,2.798616647720337,4.578125,7,9,1
0.081978932,0.0128675187006592,0.053649902,2.895993947982788,4.8046875,7,10,7
0.081978932,0.0370715,0.203491211,2.802522897720337,4.5859375,7,11,10
0.081978932,0.0301701687276363,0.19140625,2.978025197982788,5.02734375,8,9,8
0.081978932,0.008272716,0.038604736,2.7997326850891118,4.58203125,8,10,9
0.081978932,0.010467529,0.037750244,2.8016858100891118,4.58984375,8,11,10
0.081978932,0.0133181978017091,0.05355835,2.8156368732452397,4.5859375,9,10,1
0.081978932,0.018816266,0.061279297,2.958493947982788,4.9765625,9,11,2
0.081978932,0.0170500613749027,0.060974121,2.802522897720337,4.58984375,10,11,3
