feat_mean_mtd_overhead_bin,feat_mean_network_penalty_bin,feat_max_network_penalty_bin,feat_mean_security_penalty_bin,feat_max_security_penalty_bin,ci,cj,action
0,1,1,1,1,0,1,1
0,2,2,1,0,0,2,9
0,2,2,0,0,0,3,4
0,1,0,0,0,0,4,4
0,2,1,0,0,0,5,6
0,2,2,0,0,0,6,7
0,2,2,0,0,0,7,11
0,2,2,0,1,0,8,9
0,1,1,1,1,0,9,6
0,2,2,0,0,0,10,11
0,1,1,2,2,0,11,8
0,1,2,1,1,1,2,5
0,0,0,2,2,1,3,4
0,2,2,0,0,1,4,4
0,1,1,1,1,1,5,3
0,2,2,1,1,1,6,5
0,2,2,0,0,1,7,9
0,1,0,1,1,1,8,4
0,1,1,2,2,1,9,6
0,2,2,0,0,1,10,10
0,1,2,1,1,1,11,6
0,2,2,0,0,2,3,4
0,1,2,1,1,2,4,8
0,1,0,2,2,2,5,8
0,2,1,0,0,2,6,10
0,1,1,0,0,2,7,11
0,2,2,0,0,2,8,3
0,1,2,1,1,2,9,5
0,0,0,0,0,2,10,8
0,0,0,0,0,2,11,11
0,0,0,1,0,3,4,3
0,1,1,1,1,3,5,3
0,1,2,1,1,3,6,1
0,2,2,0,0,3,7,5
0,1,2,1,1,3,8,1
0,1,1,2,2,3,9,7
0,2,2,0,0,3,10,1
0,1,0,1,1,3,11,5
0,2,2,0,0,4,5,3
0,0,0,1,1,4,6,11
0,2,2,0,0,4,7,9
0,2,2,0,0,4,8,1
0,1,1,1,1,4,9,4
0,2,2,0,0,4,10,2
0,1,0,0,0,4,11,6
0,1,0,1,1,5,6,5
0,2,2,0,0,5,7,9
0,2,2,1,0,5,8,1
0,1,0,1,1,5,9,8
0,2,2,0,0,5,10,11
0,1,2,1,1,5,11,4
0,1,1,0,0,6,7,1
0,2,1,0,0,6,8,3
0,1,2,1,1,6,9,2
0,1,1,0,0,6,10,8
0,1,1,0,0,6,11,4
0,0,0,0,0,7,8,11
0,2,2,0,0,7,9,1
0,1,1,1,1,7,10,7
0,2,2,0,0,7,11,10
0,1,1,2,2,8,9,8
0,0,0,0,0,8,10,9
0,0,0,0,0,8,11,10
0,1,0,1,0,9,10,1
0,1,1,2,2,9,11,2
0,1,1,0,0,10,11,3
