feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,12.0,170.25,26.0,114.6875,95.0,943.2857055664062,16.0,0,1,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,14.0,93.6875,153.0,984.7142944335938,21.0,0,2,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,22.0,110.5,74.57142639160156,905.1428833007812,14.0,0,3,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,28.0,116.875,69.42857360839844,896.0,16.0,0,4,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.8125,53.14285659790039,860.4285888671875,12.0,0,5,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,114.625,85.57142639160156,923.1428833007812,19.0,0,6,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,108.4375,74.57142639160156,905.0,14.0,0,7,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,12.0,92.125,108.14286041259766,963.2857055664062,28.0,0,8,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,100.25,120.57142639160156,972.7142944335938,23.0,0,9,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,96.125,206.5714263916016,1001.0,35.0,0,10,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,14.0,94.125,106.57142639160156,962.1428833007812,25.0,0,11,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,114.875,67.71428680419922,893.7142944335938,17.0,1,2,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.8125,55.0,862.0,8.0,1,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,14.0,94.0625,178.14285278320312,993.5714111328124,30.0,1,4,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.5,71.0,898.7142944335938,18.0,1,5,8
