feat_max_apt_score_bin,feat_mean_apt_score_bin,feat_max_dataleak_score_bin,feat_mean_dataleak_score_bin,feat_max_dos_score_bin,feat_mean_dos_score_bin,feat_vim0_cpu_bin,feat_vim0_ram_bin,feat_vim1_cpu_bin,feat_vim1_ram_bin,feat_mean_remaining_mig_bin,feat_mean_remaining_reinst_bin,feat_total_ues_bin,ci,cj,action
0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,7
0,0,0,0,0,0,2,2,0,0,2,2,1,0,2,1
0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,6
0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,5
0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,1
0,0,0,0,0,0,0,0,2,2,1,1,1,0,6,2
0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,2
0,0,0,0,0,0,2,1,0,0,1,1,2,0,8,7
0,0,0,0,0,0,0,0,1,0,1,1,1,0,9,7
0,0,0,0,0,0,2,1,0,0,2,2,2,0,10,5
0,0,0,0,0,0,2,2,0,0,1,1,1,0,11,5
0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,5
0,0,0,0,0,0,1,1,1,1,0,0,0,1,3,8
0,0,0,0,0,0,2,2,0,0,2,2,2,1,4,5
0,0,0,0,0,0,2,1,0,0,0,0,1,1,5,8
0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,5
0,0,0,0,0,0,1,1,1,1,0,0,0,1,7,11
0,0,0,0,0,0,2,2,0,0,1,1,1,1,8,2
0,0,0,0,0,0,2,1,0,0,0,0,0,1,9,1
0,0,0,0,0,0,2,2,0,0,2,2,2,1,10,4
0,0,0,0,0,0,1,1,1,1,1,1,0,1,11,7
0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,1
0,0,0,0,0,0,2,2,0,0,2,2,2,2,4,6
0,0,0,0,0,0,0,0,2,2,0,0,0,2,5,7
0,0,0,0,0,0,0,0,1,1,2,2,2,2,6,4
0,0,0,0,0,0,1,0,0,0,2,2,2,2,7,5
0,0,0,0,0,0,2,2,0,0,1,1,1,2,8,2
0,0,0,0,0,0,1,0,1,2,1,1,0,2,9,7
0,0,0,0,0,0,0,0,1,2,1,1,1,2,10,3
0,0,0,0,0,0,0,0,2,2,2,2,1,2,11,7
0,0,0,0,0,0,2,1,0,0,1,1,0,3,4,7
0,0,0,0,0,0,0,0,2,2,1,1,2,3,5,9
0,0,0,0,0,0,2,1,0,0,0,0,0,3,6,2
0,0,0,0,0,0,0,0,1,1,0,0,0,3,7,8
0,0,0,0,0,0,0,0,1,2,1,1,0,3,8,4
0,0,0,0,0,0,2,2,0,0,2,2,2,3,9,7
0,0,0,0,0,0,1,1,1,1,2,2,2,3,10,1
0,0,0,0,0,0,1,0,1,2,1,1,0,3,11,5
0,0,0,0,0,0,0,0,1,1,1,1,1,4,5,0
0,0,0,0,0,0,2,2,0,0,2,2,2,4,6,7
0,0,0,0,0,0,2,1,0,0,0,0,0,4,7,8
0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3
0,0,0,0,0,0,2,2,0,0,2,2,2,4,9,7
0,0,0,0,0,0,1,1,0,0,2,2,2,4,10,9
0,0,0,0,0,0,0,0,1,2,1,1,1,4,11,1
0,0,0,0,0,0,1,1,0,0,2,2,2,5,6,9
0,0,0,0,0,0,0,0,1,1,0,0,0,5,7,5
0,0,0,0,0,0,2,2,0,0,1,1,1,5,8,2
0,0,0,0,0,0,1,1,0,0,2,2,2,5,9,7
0,0,0,0,0,0,1,1,0,0,2,2,2,5,10,7
0,0,0,0,0,0,2,1,0,0,0,0,0,5,11,7
0,0,0,0,0,0,0,0,2,2,0,0,0,6,7,7
0,0,0,0,0,0,0,0,1,1,1,1,1,6,8,2
0,0,0,0,0,0,2,2,0,0,2,2,2,6,9,7
0,0,0,0,0,0,0,0,1,1,1,1,1,6,10,10
0,0,0,0,0,0,0,0,0,0,2,2,2,6,11,1
0,0,0,0,0,0,2,1,1,1,0,0,0,7,8,2
0,0,0,0,0,0,2,1,0,0,0,0,0,7,9,1
0,0,0,0,0,0,0,0,1,1,1,1,1,7,10,4
0,0,0,0,0,0,0,0,1,1,2,2,2,7,11,5
0,0,0,0,0,0,0,0,1,1,1,1,1,8,9,7
0,0,0,0,0,0,1,1,0,0,2,2,2,8,10,7
0,0,0,0,0,0,2,1,0,0,2,2,1,8,11,2
0,0,0,0,0,0,2,2,0,0,2,2,2,9,10,7
0,0,0,0,0,0,1,1,1,1,1,1,2,9,11,7
0,0,0,0,0,0,0,0,2,2,0,0,0,10,11,0
