feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,96.375,254.2857208251953,1010.7142944335938,17.0,0,1,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,16.0,94.75,138.7142791748047,981.7142944335938,14.0,0,2,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,94.4375,58.28571319580078,963.5714111328124,24.0,0,3,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,96.875,125.57142639160156,980.4285888671876,23.0,0,4,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,104.9375,129.57142639160156,981.2857055664062,25.0,0,5,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,104.3125,30.85714340209961,859.0,26.0,0,6,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,94.625,103.71428680419922,974.2857055664062,17.0,0,7,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,106.25,41.28571319580078,902.7142944335938,28.0,0,8,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,106.25,52.28571319580078,963.1428833007812,25.0,0,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,106.25,43.28571319580078,906.4285888671876,31.0,0,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,104.25,48.57143020629883,957.2857055664062,27.0,0,11,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,12.0,91.625,215.2857208251953,999.5714111328124,10.0,1,2,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,104.3125,30.0,856.2857055664062,30.0,1,3,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,84.625,114.0,976.0,20.0,1,4,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,10.0,85.1875,162.85714721679688,988.4285888671876,14.0,1,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,18.0,98.625,261.0,1015.5714111328124,31.0,1,6,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.3125,258.5714416503906,1013.1428833007812,19.0,1,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,10.0,168.25,28.0,114.375,51.85714340209961,962.4285888671876,27.0,1,8,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,104.3125,15.714285850524902,808.1428833007812,28.0,1,9,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,104.625,80.28571319580078,967.1428833007812,18.0,1,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,12.0,174.375,28.0,114.375,41.14285659790039,888.1428833007812,38.0,1,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.375,240.7142791748047,1007.4285888671876,16.0,2,3,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,98.5,65.14286041259766,964.1428833007812,23.0,2,4,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,96.5625,269.8571472167969,1020.5714111328124,38.0,2,5,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,88.75,115.14286041259766,977.0,24.0,2,6,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.6875,272.1428527832031,1022.7142944335938,36.0,2,7,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,112.6875,89.57142639160156,969.1428833007812,19.0,2,8,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,10.0,168.25,28.0,114.375,51.57143020629883,960.7142944335938,25.0,2,9,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.125,239.0,1006.5714111328124,12.0,2,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.625,270.1428527832031,1021.0,38.0,2,11,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,101.5,173.85714721679688,991.7142944335938,14.0,3,4,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,190.625,18.0,96.625,101.14286041259766,973.5714111328124,17.0,3,5,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,102.25,21.14285659790039,831.4285888671875,26.0,3,6,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,104.3125,15.714285850524902,808.1428833007812,28.0,3,7,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,114.9375,266.7142944335937,1018.5714111328124,38.0,3,8,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,104.3125,29.14285659790039,852.7142944335938,29.0,3,9,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,24.0,112.375,233.5714263916016,1005.8571166992188,15.0,3,10,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,103.75,183.14285278320312,993.0,13.0,3,11,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,96.6875,278.28570556640625,1027.4285888671875,37.0,4,5,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,22.0,104.3125,21.0,823.8571166992188,25.0,4,6,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,102.75,148.14285278320312,983.1428833007812,16.0,4,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,106.375,29.0,852.2857055664062,29.0,4,8,0
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,14.0,93.25,167.7142791748047,990.7142944335938,14.0,4,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,24.0,108.375,238.0,1006.5714111328124,11.0,4,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,112.3125,40.42856979370117,886.1428833007812,34.0,4,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,104.3125,18.0,821.2857055664062,24.0,5,6,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,10.0,168.25,28.0,114.375,52.0,962.5714111328124,27.0,5,7,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,102.875,118.14286041259766,977.5714111328124,25.0,5,8,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,112.375,37.14285659790039,870.2857055664062,30.0,5,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,113.875,200.42857360839844,996.0,14.0,5,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,102.375,63.0,964.1428833007812,24.0,5,11,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,104.3125,26.571428298950195,844.5714111328125,28.0,6,7,10
