feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.5,28.571428298950195,838.2857055664062,0.0,0,1,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,101.1875,175.0,988.7142944335938,33.0,0,2,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,14.0,95.125,84.57142639160156,929.5714111328124,17.0,0,3,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,8.0,166.25,30.0,119.6875,182.42857360839844,993.2857055664062,31.0,0,4,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,115.25,141.7142791748047,971.7142944335938,21.0,0,5,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,99.0,231.2857208251953,1011.0,38.0,0,6,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,190.625,16.0,93.125,65.71428680419922,903.8571166992188,13.0,0,7,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,22.0,111.25,165.42857360839844,985.7142944335938,34.0,0,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,105.75,22.571428298950195,793.7142944335938,0.0,0,9,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,105.125,59.71428680419922,897.2857055664062,14.0,0,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,99.1875,157.57142639160156,983.2857055664062,29.0,0,11,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,12.0,92.9375,129.14285278320312,963.0,16.0,1,2,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,97.75,23.571428298950195,802.1428833007812,0.0,1,3,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,90.9375,110.28571319580078,948.1428833007812,15.0,1,4,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,12.0,92.875,73.71428680419922,920.0,16.0,1,5,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,109.5,148.42857360839844,976.7142944335938,21.0,1,6,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,105.75,17.714284896850586,768.4285888671875,0.0,1,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,107.25,80.57142639160156,926.4285888671876,13.0,1,8,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,14.0,89.5,8.142857551574707,726.1428833007812,0.0,1,9,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,104.4375,28.85714340209961,840.8571166992188,3.0,1,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,107.125,69.42857360839844,911.8571166992188,18.0,1,11,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,24.0,113.25,138.57142639160156,970.8571166992188,18.0,2,3,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,190.625,20.0,101.375,148.2857208251953,976.4285888671876,21.0,2,4,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,14.0,95.25,203.2857208251953,1003.2857055664062,40.0,2,5,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,97.0,264.5714416503906,1019.0,38.0,2,6,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,105.125,120.14286041259766,956.5714111328124,22.0,2,7,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,109.5,207.2857208251953,1004.8571166992188,40.0,2,8,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,103.0625,119.71428680419922,956.4285888671876,21.0,2,9,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,103.1875,151.85714721679688,979.0,27.0,2,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,107.0625,237.0,1012.0,39.0,2,11,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,103.25,150.57142639160156,978.2857055664062,27.0,3,4,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,91.0,111.28571319580078,949.4285888671876,16.0,3,5,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,26.0,115.4375,173.0,988.2857055664062,32.0,3,6,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.5,40.28571319580078,882.0,11.0,3,7,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,26.0,115.375,163.2857208251953,984.7142944335938,30.0,3,8,7
