feat_max_apt_score_bin,feat_mean_apt_score_bin,feat_max_dataleak_score_bin,feat_mean_dataleak_score_bin,feat_max_dos_score_bin,feat_mean_dos_score_bin,feat_vim0_cpu_bin,feat_vim0_ram_bin,feat_vim1_cpu_bin,feat_vim1_ram_bin,feat_mean_remaining_mig_bin,feat_mean_remaining_reinst_bin,feat_total_ues_bin,ci,cj,action
0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6
0,0,0,0,0,0,2,1,0,1,2,2,2,0,2,4
0,0,0,0,0,0,2,2,0,0,1,1,1,0,3,7
0,0,0,0,0,0,0,0,2,2,2,2,2,0,4,10
0,0,0,0,0,0,0,0,2,2,1,1,1,0,5,5
0,0,0,0,0,0,1,2,0,1,2,2,2,0,6,6
0,0,0,0,0,0,1,1,0,0,1,1,1,0,7,3
0,0,0,0,0,0,0,0,1,2,2,2,2,0,8,8
0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,7
0,0,0,0,0,0,1,1,1,1,1,1,1,0,10,7
0,0,0,0,0,0,1,2,0,1,2,2,2,0,11,9
0,0,0,0,0,0,2,2,0,0,1,1,1,1,2,11
0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,4
0,0,0,0,0,0,1,2,0,0,1,1,1,1,4,3
0,0,0,0,0,0,2,2,0,0,1,1,1,1,5,7
0,0,0,0,0,0,0,0,2,2,2,2,1,1,6,11
0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,7
0,0,0,0,0,0,0,0,1,2,1,1,1,1,8,3
0,0,0,0,0,0,2,2,0,0,0,0,0,1,9,6
0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,7
0,0,0,0,0,0,0,0,1,2,1,1,1,1,11,6
0,0,0,0,0,0,0,0,2,2,1,1,1,2,3,7
0,0,0,0,0,0,1,1,1,1,2,2,1,2,4,6
0,0,0,0,0,0,2,2,0,0,2,2,2,2,5,11
0,0,0,0,0,0,2,2,0,0,2,2,2,2,6,1
0,0,0,0,0,0,0,0,1,1,1,1,1,2,7,3
0,0,0,0,0,0,0,0,2,2,2,2,2,2,8,5
0,0,0,0,0,0,1,1,0,1,1,1,1,2,9,8
0,0,0,0,0,0,1,1,0,1,2,2,2,2,10,2
0,0,0,0,0,0,0,0,1,2,2,2,2,2,11,5
0,0,0,0,0,0,1,1,0,1,2,2,2,3,4,6
0,0,0,0,0,0,1,2,0,0,1,1,1,3,5,1
0,0,0,0,0,0,0,0,2,2,2,2,2,3,6,9
0,0,0,0,0,0,0,0,1,2,1,1,1,3,7,1
0,0,0,0,0,0,0,0,2,2,2,2,2,3,8,7
0,0,0,0,0,0,0,0,1,2,0,0,0,3,9,4
0,0,0,0,0,0,0,0,2,2,1,1,1,3,10,3
0,0,0,0,0,0,0,0,1,1,2,2,2,3,11,11
0,0,0,0,0,0,0,0,2,2,2,2,2,4,5,4
0,0,0,0,0,0,1,1,0,1,2,2,2,4,6,9
0,0,0,0,0,0,2,2,0,0,2,2,2,4,7,9
0,0,0,0,0,0,0,0,1,1,2,2,2,4,8,6
0,0,0,0,0,0,1,1,1,1,1,1,1,4,9,4
0,0,0,0,0,0,0,0,2,2,2,2,2,4,10,6
0,0,0,0,0,0,2,2,0,0,2,2,2,4,11,6
0,0,0,0,0,0,0,0,2,2,2,2,2,5,6,0
0,0,0,0,0,0,2,2,0,0,2,2,2,5,7,5
0,0,0,0,0,0,2,2,0,0,2,2,2,5,8,6
0,0,0,0,0,0,0,0,2,2,1,1,0,5,9,6
0,0,0,0,0,0,0,0,1,2,2,2,2,5,10,11
0,0,0,0,0,0,2,2,0,0,2,2,1,5,11,11
0,0,0,0,0,0,0,0,2,2,2,2,2,6,7,6
0,0,0,0,0,0,0,0,2,2,2,2,2,6,8,5
0,0,0,0,0,0,1,1,0,1,1,1,1,6,9,3
0,0,0,0,0,0,1,1,0,1,2,2,2,6,10,5
0,0,0,0,0,0,1,1,0,1,2,2,2,6,11,5
0,0,0,0,0,0,0,0,2,2,1,1,1,7,8,1
0,0,0,0,0,0,1,2,0,0,0,0,0,7,9,7
0,0,0,0,0,0,1,2,0,1,1,1,1,7,10,4
0,0,0,0,0,0,2,2,0,0,1,1,1,7,11,3
0,0,0,0,0,0,0,0,1,2,1,1,1,8,9,3
0,0,0,0,0,0,2,2,0,0,2,2,2,8,10,4
0,0,0,0,0,0,1,2,0,1,2,2,2,8,11,3
0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,2
0,0,0,0,0,0,0,0,2,2,1,1,0,9,11,3
0,0,0,0,0,0,1,1,0,1,2,2,2,10,11,6
