feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_mean_remaining_mig,feat_mean_remaining_reinst,feat_total_ues,ci,cj,action
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,12.0,92.0625,97.71428680419922,905.1428833007812,28.0,0,1,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,103.6875,35.28571319580078,850.8571166992188,45.0,0,2,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,12.0,174.375,28.0,116.625,262.4285583496094,1018.8571166992188,38.0,0,3,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.0,76.57142639160156,884.4285888671875,30.0,0,4,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.375,244.0,1008.8571166992188,34.0,0,5,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.1875,64.0,871.7142944335938,50.0,0,6,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,18.0,97.5625,15.857142448425291,835.4285888671875,53.0,0,7,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,20.0,104.1875,78.71428680419922,887.1428833007812,27.0,0,8,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,14.0,94.125,149.0,954.0,54.0,0,9,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.3125,169.14285278320312,966.0,51.0,0,10,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,12.0,174.375,30.0,118.5625,244.14285278320312,1008.8571166992188,34.0,0,11,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,20.0,100.3125,245.14285278320312,1009.2857055664062,30.0,1,2,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,94.9375,5.285714149475098,820.1428833007812,57.0,1,3,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,192.5,14.0,98.1875,210.5714263916016,990.8571166992188,23.0,1,4,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,12.0,92.25,171.42857360839844,967.5714111328124,49.0,1,5,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.125,78.0,886.2857055664062,27.0,1,6,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.1875,130.42857360839844,937.7142944335938,29.0,1,7,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.1875,72.14286041259766,879.4285888671875,39.0,1,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,16.0,100.25,213.0,993.4285888671876,24.0,1,9,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,28.0,198.625,8.0,83.875,93.57142639160156,900.5714111328125,28.0,1,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,14.0,98.25,171.0,967.1428833007812,49.0,1,11,0
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,14.0,90.4375,175.42857360839844,969.0,40.0,2,3,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,184.5,22.0,106.25,130.85714721679688,939.0,29.0,2,4,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,89.0,1.8571428060531616,803.8571166992188,60.0,2,5,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,14.0,98.125,204.7142791748047,987.2857055664062,25.0,2,6,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,105.125,4.285714149475098,814.8571166992188,56.0,2,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,14.0,94.25,170.57142639160156,967.0,51.0,2,8,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,18.0,98.1875,83.14286041259766,892.0,25.0,2,9,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,96.375,139.14285278320312,946.1428833007812,45.0,2,10,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,16.0,96.5625,112.0,918.1428833007812,22.0,2,11,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,103.375,8.0,828.5714111328125,52.0,3,4,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,184.375,20.0,108.125,258.7142944335937,1016.4285888671876,39.0,3,5,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.1875,81.28571319580078,890.4285888671875,21.0,3,6,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.125,254.7142791748047,1014.2857055664062,36.0,3,7,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,18.0,180.375,24.0,112.375,241.14285278320312,1007.5714111328124,36.0,3,8,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.375,243.0,1008.1428833007812,31.0,3,9,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,20.0,104.1875,128.42857360839844,933.7142944335938,30.0,3,10,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,182.375,18.0,102.625,276.0,1026.4285888671875,31.0,3,11,2
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,28.0,116.5625,238.7142791748047,1005.8571166992188,38.0,4,5,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.125,254.7142791748047,1014.2857055664062,36.0,4,6,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,97.0,3.0,807.2857055664062,60.0,4,7,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,96.0625,62.57143020629883,870.1428833007812,51.0,4,8,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.5,109.0,915.5714111328124,22.0,4,9,1
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.375,173.42857360839844,968.2857055664062,44.0,4,10,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.4375,143.7142791748047,949.4285888671876,54.0,4,11,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,18.0,98.25,196.2857208251953,982.8571166992188,28.0,5,6,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.5,179.0,971.5714111328124,41.0,5,7,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,10.0,86.1875,138.85714721679688,946.0,46.0,5,8,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,182.5,24.0,107.5,7.857142925262451,827.5714111328125,53.0,5,9,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.375,153.57142639160156,956.2857055664062,58.0,5,10,3
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,106.375,268.1428527832031,1021.5714111328124,30.0,5,11,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,26.0,196.625,12.0,88.125,260.7142944335937,1017.5714111328124,38.0,6,7,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,96.375,272.7142944335937,1024.4285888671875,26.0,6,8,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,14.0,89.625,49.71428680419922,862.5714111328125,44.0,6,9,5
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,194.625,16.0,95.6875,56.42856979370117,866.1428833007812,50.0,6,10,7
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.3125,154.0,956.4285888671876,59.0,6,11,11
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,105.125,2.0,804.5714111328125,62.0,7,8,6
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,20.0,104.375,264.8571472167969,1020.2857055664062,32.0,7,9,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,188.5,18.0,102.3125,209.0,990.0,24.0,7,10,9
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,18.0,102.3125,148.0,953.4285888671876,51.0,7,11,8
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,20.0,186.5,22.0,106.4375,122.28571319580078,927.4285888671876,27.0,8,9,10
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,16.0,178.375,22.0,106.4375,160.0,960.0,60.0,8,10,0
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,24.0,190.5,16.0,100.25,147.57142639160156,952.8571166992188,52.0,8,11,0
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,192.625,20.0,100.25,150.57142639160156,955.1428833007812,55.0,9,10,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,22.0,184.375,18.0,106.25,163.0,961.7142944335938,61.0,9,11,4
5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,14.0,176.375,24.0,112.4375,147.0,952.5714111328124,52.0,10,11,7
