feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.780364454,5.41796875,2.798616647720337,4.578125,0,1,8
0.081978932,0.008717673,0.020629883,2.7997326850891118,4.58203125,0,2,8
0.081978932,0.0189748499542474,0.063720703,2.9258487224578857,5.1328125,0,3,8
0.081978932,0.7894259691238403,5.40234375,2.7988955974578857,4.578125,0,4,8
0.081978932,0.7837241291999817,5.41796875,2.798337697982788,4.578125,0,5,8
0.081978932,0.040502276,0.191040039,2.8030810356140137,4.609375,0,6,8
0.081978932,0.010493142530322,0.052978516,2.8524670600891118,4.86328125,0,7,8
0.081978932,0.010493142530322,0.052978516,2.8524670600891118,4.86328125,0,8,8
0.081978932,0.036399841,0.190673828,2.8577685356140137,4.8828125,0,9,8
0.081978932,0.7820590138435364,5.421875,2.7988955974578857,4.578125,0,10,8
0.081978932,0.781879723,5.453125,2.859163522720337,4.88671875,0,11,8
0.081978932,0.0113092148676514,0.061279297,2.8890185356140137,5.00390625,1,2,1
0.081978932,0.0167457032948732,0.053466797,2.8756256103515625,4.953125,1,3,8
0.081978932,0.009937831,0.034301758,2.8011279106140137,4.59375,1,4,8
0.081978932,0.011052812449634,0.042358398,2.7994537353515625,4.578125,1,5,8
0.081978932,0.8113299608230591,5.40234375,2.813962697982788,4.68359375,1,6,8
0.081978932,0.0104958666488528,0.020050049,2.8000118732452397,4.5859375,1,7,8
0.081978932,0.7820001244544983,5.453125,2.8870654106140137,5.0,1,8,8
0.081978932,0.0136909484863281,0.052825928,2.818147897720337,4.71484375,1,9,8
0.081978932,0.0208944585174322,0.053619385,2.8125674724578857,4.67578125,1,10,8
0.081978932,0.7800083160400391,5.40234375,2.8014068603515625,4.578125,1,11,8
0.081978932,0.043442864,0.19140625,2.8365631103515625,4.796875,2,3,8
0.081978932,0.0103784287348389,0.053741455,2.8853912353515625,4.9921875,2,4,8
0.081978932,0.009360994,0.047332764,2.8714404106140137,4.9375,2,5,8
0.081978932,0.0121168410405516,0.064575195,2.9093868732452397,5.0859375,2,6,8
0.081978932,0.0131732393056154,0.045196533,2.804476022720337,4.61328125,2,7,8
0.081978932,0.010811942,0.055786133,2.8446545600891118,4.83203125,2,8,8
0.081978932,0.120791845023632,0.826171875,2.9225006103515625,5.13671875,2,9,8
0.081978932,0.0128356385976076,0.051055908,2.800569772720337,4.58203125,2,10,8
0.081978932,1.003998637199402,5.40234375,2.802243947982788,4.60546875,2,11,8
0.081978932,0.009329115,0.045654297,2.8605587482452397,4.890625,3,4,8
0.081978932,0.012629372999072,0.069458008,2.9149670600891118,5.1015625,3,5,8
0.081978932,1.5823843479156494,5.44921875,2.8184268474578857,4.71875,3,6,8
0.081978932,0.0155587876215577,0.056854248,2.798616647720337,4.578125,3,7,8
0.081978932,1.5819121599197388,5.453125,2.7988955974578857,4.58203125,3,8,8
0.081978932,0.035847254,0.191162109,2.8653018474578857,4.91015625,3,9,8
0.081978932,0.008490971,0.028488159,2.7994537353515625,4.578125,3,10,8
0.081978932,0.0108272,0.056793213,2.9517974853515625,5.21875,3,11,8
0.081978932,0.036057882,0.198852539,2.7988955974578857,4.578125,4,5,8
0.081978932,0.01083374,0.05569458,2.878694772720337,4.96484375,4,6,8
0.081978932,0.0128705156967043,0.070251465,2.9894649982452397,5.33203125,4,7,8
0.081978932,0.0188448764383792,0.062805176,2.9105029106140137,5.08984375,4,8,8
0.081978932,0.0116694318130612,0.04586792,2.7994537353515625,4.58203125,4,9,8
0.081978932,0.8115008473396301,5.40234375,2.8097774982452397,4.65234375,4,10,8
0.081978932,0.018491473,0.053100586,2.8008487224578857,4.578125,4,11,8
0.081978932,0.8147116899490356,5.40625,2.798616647720337,4.578125,5,6,8
0.081978932,0.009896959,0.04977417,2.8404693603515625,4.80859375,5,7,8
0.081978932,0.017246792,0.053527832,2.8781368732452397,4.9609375,5,8,8
0.054722376,0.009426117,0.015945435,2.7991747856140137,4.578125,5,9,8
0.081978932,0.01492473,0.053375244,2.7994537353515625,4.58203125,5,10,8
0.081978932,0.009380885,0.046539307,2.841306447982788,4.8125,5,11,8
0.081978932,0.0104653490707278,0.031341553,2.800569772720337,4.578125,6,7,8
0.081978932,0.010017395,0.050506592,2.851351022720337,4.859375,6,8,8
0.081978932,0.0148803163319826,0.053405762,2.7994537353515625,4.58203125,6,9,8
0.081978932,0.0109836030751466,0.021362305,2.7991747856140137,4.578125,6,10,8
0.081978932,0.0110274720937013,0.057159424,2.8934826850891118,5.0234375,6,11,8
0.081978932,0.010493142530322,0.052978516,2.8524670600891118,4.86328125,7,8,8
0.081978932,0.011713845655322,0.062316895,2.9269649982452397,5.15234375,7,9,8
0.081978932,0.809305727,5.45703125,2.8703243732452397,4.93359375,7,10,8
0.081978932,0.037472043,0.19152832,2.7994537353515625,4.578125,7,11,8
0.081978932,0.039264951,0.191040039,2.8030810356140137,4.58984375,8,9,8
0.081978932,0.7825785875320435,5.41796875,2.7988955974578857,4.578125,8,10,8
0.081978932,0.8372824788093567,5.453125,2.825960397720337,4.76171875,8,11,8
0.081978932,0.7840186357498169,5.43359375,2.7997326850891118,4.578125,9,10,8
0.081978932,1.5528723001480105,5.41796875,2.7991747856140137,4.578125,9,11,8
0.081978932,0.7817273736000061,5.453125,2.839353322982788,4.8125,10,11,8
