shap_feat_mean_mtd_overhead,shap_feat_mean_network_penalty,shap_feat_max_network_penalty,shap_feat_mean_security_penalty,shap_feat_max_security_penalty,ci,cj,action
0.0,-0.0004581666666666,-0.0004160163934426,5.19043715846885e-05,0.0009651311475409,0,1,9
0.0,-0.0002125109289617,0.0037507103825137,0.0040045601092896,0.0100300437158469,0,2,8
0.0,-2.0269125683053217e-05,0.0006574166666666,-0.0007191598360655,0.0058495040983606,0,3,5
0.0,0.0004972349726776,0.0033368579234972,0.0005625464480874,0.0037875901639344,0,4,8
0.0,0.0003294672131147,-0.0056687978142076,-0.0005055901639344,-0.0032655054644808,0,5,8
0.0,-3.981830601092022e-05,0.0012290204918032,0.0024307172131147,-0.0013944275956284,0,6,8
0.0,0.0001585259562841,0.000360769125683,-0.0004454685792349,0.0026741571038251,0,7,9
0.0,-0.0029472855191256,0.0005198374316939,-0.0035000095628415,0.002350900273224,0,8,8
0.0,0.0026640983606557,0.005640281420765,0.0013465573770491,0.0068329153005464,0,9,8
0.0,0.0001995846994535,-0.0023455300546448,0.0027582540983606,0.0016131830601093,0,10,8
0.0,0.0007450683060109,-0.0001536967213114,0.0043665491803278,0.0053494726775955,0,11,9
0.0,0.0004589817850637,-0.0021208078324225,0.002070121129326,0.0,1,2,8
0.0,-6.647404371585858e-05,0.0004745614754098,0.0022065806010929,-0.0023043729508196,1,3,8
0.0,2.4321038251378952e-05,0.0004971680327868,0.0010839795081967,-0.0040552554644808,1,4,9
0.0,0.0022988073770491,-0.0007042909836065,0.0004913674863388,0.0001396079234972,1,5,8
0.0,7.532786885246917e-05,-0.0006254016393442,-0.0026285519125682,-0.0082876366120218,1,6,8
0.0,-2.1168032786896554e-05,4.454234972676418e-05,0.002306725409836,-0.0022598046448087,1,7,8
0.0,0.0001145013661202,-0.003262400273224,-0.0014428948087432,-0.0048116325136611,1,8,8
0.0,-9.344262295083242e-05,0.0009988224043715,0.0023840573770491,-0.0010639453551912,1,9,8
0.0,0.0006410382513661,-0.0036425710382513,-0.0039271639344262,-0.0098500901639344,1,10,8
0.0,-0.0001481748633879,-0.0003541557377049,-0.000887975409836,0.0023601584699453,1,11,9
0.0,-0.0002849221311475,0.0026167909836065,0.0009973948087431,0.0047719658469945,2,3,8
0.0,0.0004361243169399,-0.0001689576502732,0.0008967636612021,0.0042352991803278,2,4,9
0.0,3.334699453593805e-06,0.0006776352459016,-0.0006832008196721,0.0058957226775955,2,5,5
0.0,-0.0001105409836065,0.0006749890710382,0.0015366857923497,-0.0019818387978142,2,6,8
0.0,-0.0001037167577413,-0.0003698260473588,0.0,0.0022013460837886,2,7,9
0.0,0.0001404918032786,-0.0003382677595628,-0.0006798715846994,0.0022034999999999,2,8,9
0.0,-1.9021857923516225e-05,0.0012273551912568,0.0013041721311475,0.0100347076502732,2,9,8
0.0,-0.0004101543715846,-0.0008036461748633,8.192486338797189e-05,0.0012757281420764,2,10,9
0.0,0.0002583770491803,0.0009897213114754,0.000474606557377,0.009152868852459,2,11,8
0.0,-0.0001921857923497,0.0008414071038251,0.0044223715846994,0.0065219808743169,3,4,8
0.0,1.983060109286318e-05,0.0011623797814207,0.0009737950819672,0.0058465683060109,3,5,5
0.0,-5.3935792349746325e-05,0.0002417663934425,-0.0002819658469945,-0.0042952909836065,3,6,9
0.0,7.226775956292371e-06,0.0002981775956284,0.0021387486338797,-0.0021218579234972,3,7,8
0.0,0.004349087431694,0.007160800546448,0.000922193989071,-0.0001786885245901,3,8,2
0.0,-0.0002438306010928,0.0004138415300546,0.0019930546448087,0.0026064262295081,3,9,8
