feat_mean_mtd_overhead,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_security_penalty,feat_max_security_penalty,ci,cj,action
0.081978932,0.036038261,0.190917969,2.815915822982788,4.6328125,0,1,9
0.081978932,0.8066321611404419,5.4140625,2.7994537353515625,4.578125,0,2,8
0.081978932,0.018159320577979,0.056976318,3.1649670600891118,5.59375,0,3,5
0.081978932,1.5560798645019531,5.40234375,2.798616647720337,4.578125,0,4,8
0.081978932,0.3222416341304779,2.203125,2.7994537353515625,4.58203125,0,5,8
0.081978932,0.007695062,0.02381897,2.8000118732452397,4.58203125,0,6,8
0.081978932,0.006587165,0.026901245,2.8736724853515625,4.79296875,0,7,9
0.081978932,0.0465289540588855,0.235351563,2.7994537353515625,4.58203125,0,8,8
0.081978932,1.552843689918518,5.421875,2.798616647720337,4.578125,0,9,8
0.081978932,0.7871617078781128,5.40234375,2.7991747856140137,4.58203125,0,10,8
0.081978932,0.011701857,0.062408447,2.9696545600891118,5.0546875,0,11,9
0.081978932,0.7781489491462708,5.40234375,2.7991747856140137,4.58203125,1,2,8
0.081978932,0.034683499,0.201538086,2.800569772720337,4.58203125,1,3,8
0.081978932,0.015765598,0.090698242,2.837400197982788,4.69140625,1,4,9
0.081978932,1.577375411987305,5.40234375,2.7991747856140137,4.578125,1,5,8
0.081978932,0.010237013,0.025115967,2.7991747856140137,4.578125,1,6,8
0.081978932,0.015921457,0.06463623,2.7991747856140137,4.578125,1,7,8
0.081978932,0.8081223368644714,5.40234375,2.798337697982788,4.578125,1,8,8
0.081978932,0.006800788,0.016174316,2.7988955974578857,4.578125,1,9,8
0.081978932,0.7864633202552795,5.4140625,2.7988955974578857,4.578125,1,10,8
0.081978932,0.014674867503345,0.053771973,2.853025197982788,4.734375,1,11,9
0.081978932,0.804931104,5.40234375,2.7991747856140137,4.578125,2,3,8
0.081978932,0.010446276,0.053039551,2.960726022720337,5.03125,2,4,9
0.081978932,0.0133222853764891,0.073669434,3.1563174724578857,5.5703125,2,5,5
0.081978932,0.008918217,0.018539429,2.7991747856140137,4.578125,2,6,8
0.081978932,0.0347262807190418,0.19152832,2.8214962482452397,4.6484375,2,7,9
0.081978932,0.008911951,0.044189453,2.9593310356140137,5.02734375,2,8,9
0.081978932,0.012040274,0.06451416,3.063962697982788,5.31640625,2,9,8
0.081978932,0.0172928404062986,0.098937988,2.810335397720337,4.6171875,2,10,9
0.081978932,0.0189977381378412,0.113647461,3.0382931232452397,5.24609375,2,11,8
0.081978932,0.0120220184326171,0.065124512,2.9816524982452397,5.08984375,3,4,8
0.081978932,0.020758493,0.075866699,3.140413522720337,5.52734375,3,5,5
0.081978932,0.015253884717822,0.087280273,2.8251233100891118,4.66015625,3,6,9
0.081978932,0.034409661,0.197265625,2.7997326850891118,4.578125,3,7,8
0.081978932,0.7836453318595886,5.40234375,2.7997326850891118,4.578125,3,8,2
0.081978932,0.0193301606923341,0.114929199,2.980257272720337,5.0859375,3,9,8
0.081978932,0.062451772,0.229370117,2.8170318603515625,4.63671875,3,10,9
0.081978932,0.019083295,0.114990234,2.972444772720337,5.0625,3,11,8
0.081978932,0.010840825,0.055877686,2.970212697982788,5.05859375,4,5,9
0.081978932,0.0156309939920902,0.053649902,2.9473330974578857,4.99609375,4,6,9
0.081978932,0.021363394,0.079406738,3.126462697982788,5.48828125,4,7,5
0.081978932,0.8096691966056824,5.40234375,2.806150197982788,4.60546875,4,8,9
0.081978932,0.0413071773946285,0.19128418,2.798616647720337,4.578125,4,9,8
0.081978932,0.00907135,0.043701172,2.815915822982788,4.6328125,4,10,9
0.081978932,0.0135582517832517,0.075073242,3.1524112224578857,5.55859375,4,11,5
0.081978932,0.0200843811035156,0.075683594,2.7991747856140137,4.58203125,5,6,8
0.081978932,0.022965567,0.090209961,2.825681447982788,4.66015625,5,7,9
0.081978932,0.008377893,0.039459229,2.8147997856140137,4.62890625,5,8,9
0.081978932,0.7819031476974487,5.40234375,2.798337697982788,4.578125,5,9,8
0.081978932,0.0158228185027837,0.053497314,2.7994537353515625,4.578125,5,10,8
0.081978932,0.066364013,0.242553711,2.806429147720337,4.6015625,5,11,9
0.081978932,0.007173811,0.031463623,2.8597216606140137,4.75390625,6,7,9
0.081978932,0.3617886006832123,2.474609375,2.7988955974578857,4.578125,6,8,8
0.081978932,0.019081387668848,0.063842773,2.968538522720337,5.0546875,6,9,9
0.081978932,0.038903374,0.190917969,3.0569872856140137,5.296875,6,10,8
0.081978932,0.7786740064620972,5.40234375,2.7988955974578857,4.578125,6,11,8
0.081978932,0.0193026401102542,0.088134766,2.7997326850891118,4.58203125,7,8,8
0.081978932,1.552610158920288,5.421875,2.798616647720337,4.578125,7,9,8
0.081978932,0.036149435,0.191650391,2.9559826850891118,5.01953125,7,10,9
0.081978932,0.7788737416267395,5.40234375,2.798337697982788,4.578125,7,11,8
0.081978932,0.7836238145828247,5.40234375,2.800290822982788,4.58203125,8,9,2
0.081978932,0.011313029564917,0.05947876,3.015134572982788,5.1796875,8,10,5
0.081978932,0.015503475,0.089538574,2.9124560356140137,4.8984375,8,11,9
0.081978932,0.7861897349357605,5.40234375,2.7991747856140137,4.58203125,9,10,8
0.081978932,0.008381708,0.038787842,2.841306447982788,4.703125,9,11,9
0.081978932,0.006853104,0.028549194,2.8795318603515625,4.80859375,10,11,9
